district_code,district_name,col_0,col_1,col_2,col_3
555,Belgaum,"47,79,661","24,23,063","23,56,598",7.82
556,Bagalkot,"18,89,752","9,50,111","9,39,641",3.09
557,Bijapur,"21,77,331","11,11,022","10,66,309",3.56
558,Bidar,"17,03,300","8,70,665","8,32,635",2.79
559,Raichur,"19,28,812","9,64,511","9,64,301",3.16
560,Koppal,"13,89,920","6,99,926","6,89,994",2.28
561,Gadag,"10,64,570","5,37,147","5,27,423",1.74
562,Dharwad,"18,47,023","9,37,206","9,09,817",3.02
563,Uttara Kannada,"14,37,169","7,26,256","7,10,913",2.35
564,Haveri,"15,97,668","8,19,128","7,78,540",2.62
565,Bellary,"24,52,595","12,36,954","12,15,641",4.01
566,Chitradurga,"16,59,456","8,40,843","8,18,613",2.72
567,Davanagere,"19,45,497","9,86,400","9,59,097",3.18
568,Shimoga,"17,52,753","8,77,415","8,75,338",2.87
569,Udupi,"11,77,361","5,62,131","6,15,230",1.93
570,Chikmagalur,"11,37,961","5,66,622","5,71,339",1.86
571,Tumkur,"26,78,980","13,50,594","13,28,386",4.38
572,Bangalore,"96,21,551","50,22,661","45,98,890",15.75
573,Mandya,"18,05,769","9,05,085","9,00,684",2.96
574,Hassan,"17,76,421","8,83,667","8,92,754",2.91
575,Dakshina Kannada,"20,89,649","10,34,714","10,54,935",3.42
576,Kodagu,"5,54,519","2,74,608","2,79,911",0.91
577,Mysore,"30,01,127","15,11,600","14,89,527",4.91
578,Chamarajanagar,"10,20,791","5,12,231","5,08,560",1.67
579,Gulbarga,"25,66,326","13,01,755","12,64,571",4.20
580,Yadgir,"11,74,271","5,90,329","5,83,942",1.92
581,Kolar,"15,36,401","7,76,396","7,60,005",2.51
582,Chikkaballapura,"12,55,104","6,36,437","6,18,667",2.05
583,Bangalore Rural,"9,90,923","5,09,172","4,81,751",1.62
584,Ramanagara,"10,82,636","5,48,008","5,34,628",1.77
