district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"47,79,661","35,68,466","12,11,195",13.41,11.45,19.60
556,Bagalkot,"18,89,752","12,91,906","5,97,846",14.40,10.10,24.94
557,Bijapur,"21,77,331","16,75,353","5,01,978",20.50,18.75,26.73
558,Bidar,"17,03,300","12,77,348","4,25,952",13.37,10.35,23.51
559,Raichur,"19,28,812","14,38,464","4,90,348",15.51,15.18,16.52
560,Koppal,"13,89,920","11,56,216","2,33,704",16.21,15.88,17.86
561,Gadag,"10,64,570","6,85,261","3,79,309",9.54,8.83,10.85
562,Dharwad,"18,47,023","7,97,484","10,49,539",15.13,10.40,19.01
563,Uttara Kannada,"14,37,169","10,18,188","4,18,981",6.17,5.43,8.01
564,Haveri,"15,97,668","12,42,167","3,55,501",11.02,8.95,18.89
565,Bellary,"24,52,595","15,32,356","9,20,239",20.99,16.06,30.19
566,Chitradurga,"16,59,456","13,29,923","3,29,533",9.33,6.94,20.16
567,Davanagere,"19,45,497","13,16,487","6,29,010",8.63,5.49,15.84
568,Shimoga,"17,52,753","11,29,026","6,23,727",6.71,5.37,9.23
569,Udupi,"11,77,361","8,43,300","3,34,061",5.85,-6.91,61.89
570,Chikmagalur,"11,37,961","8,98,453","2,39,508",-0.26,-2.15,7.54
571,Tumkur,"26,78,980","20,79,902","5,99,078",3.65,0.12,18.11
572,Bangalore,"96,21,551","8,71,607","87,49,944",47.18,12.16,51.91
573,Mandya,"18,05,769","14,97,407","3,08,362",2.38,1.11,9.07
574,Hassan,"17,76,421","13,99,658","3,76,763",3.18,-1.22,23.66
575,Dakshina Kannada,"20,89,649","10,93,563","9,96,086",10.11,-6.41,36.58
576,Kodagu,"5,54,519","4,73,531","80,988",1.09,0.07,7.44
577,Mysore,"30,01,127","17,55,714","12,45,413",13.63,5.84,26.81
578,Chamarajanagar,"10,20,791","8,45,817","1,74,974",5.73,3.48,18.15
579,Gulbarga,"25,66,326","17,30,775","8,35,551",18.01,16.54,21.17
580,Yadgir,"11,74,271","9,53,594","2,20,677",22.81,20.23,35.34
581,Kolar,"15,36,401","10,56,328","4,80,073",10.77,7.51,18.68
582,Chikkaballapura,"12,55,104","9,73,985","2,81,119",9.23,4.96,27.19
583,Bangalore Rural,"9,90,923","7,22,179","2,68,744",16.45,9.65,39.73
584,Ramanagara,"10,82,636","8,14,877","2,67,759",5.05,-0.07,24.50
