district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"24,23,063","18,11,094","6,11,969",12.70,11.06,17.84
556,Bagalkot,"9,50,111","6,50,267","2,99,844",13.89,9.95,23.47
557,Bijapur,"11,11,022","8,57,562","2,53,460",19.93,18.57,24.77
558,Bidar,"8,70,665","6,51,250","2,19,415",12.92,10.07,22.33
559,Raichur,"9,64,511","7,17,972","2,46,539",14.57,14.53,14.68
560,Koppal,"6,99,926","5,82,958","1,16,968",16.01,15.96,16.29
561,Gadag,"5,37,147","3,47,585","1,89,562",8.84,8.75,9.00
562,Dharwad,"9,37,206","4,09,416","5,27,790",13.85,10.27,16.79
563,Uttara Kannada,"7,26,256","5,14,910","2,11,346",5.73,5.10,7.30
564,Haveri,"8,19,128","6,38,450","1,80,678",10.62,8.78,17.68
565,Bellary,"12,36,954","7,74,093","4,62,861",20.13,15.79,28.15
566,Chitradurga,"8,40,843","6,75,573","1,65,270",8.33,6.32,17.40
567,Davanagere,"9,86,400","6,68,267","3,18,133",7.49,4.80,13.60
568,Shimoga,"8,77,415","5,65,821","3,11,594",5.64,4.74,7.33
569,Udupi,"5,62,131","3,98,847","1,63,284",7.64,-5.27,61.39
570,Chikmagalur,"5,66,622","4,47,545","1,19,077",-1.44,-2.98,4.80
571,Tumkur,"13,50,594","10,48,710","3,01,884",2.80,-0.32,15.36
572,Bangalore,"50,22,661","4,64,256","45,58,405",46.58,14.29,50.92
573,Mandya,"9,05,085","7,51,243","1,53,842",1.92,0.94,7.01
574,Hassan,"8,83,667","6,95,583","1,88,084",2.86,-1.19,21.24
575,Dakshina Kannada,"10,34,714","5,41,484","4,93,230",10.26,-5.77,35.59
576,Kodagu,"2,74,608","2,34,161","40,447",-0.08,-0.89,4.89
577,Mysore,"15,11,600","8,87,500","6,24,100",12.41,4.98,25.00
578,Chamarajanagar,"5,12,231","4,24,884","87,347",4.55,2.44,16.22
579,Gulbarga,"13,01,755","8,77,144","4,24,611",17.23,16.49,18.79
580,Yadgir,"5,90,329","4,79,078","1,11,251",22.39,19.96,34.05
581,Kolar,"7,76,396","5,35,431","2,40,965",10.65,7.71,17.78
582,Chikkaballapura,"6,36,437","4,94,463","1,41,974",8.88,4.94,25.26
583,Bangalore Rural,"5,09,172","3,71,369","1,37,803",16.39,9.88,38.46
584,Ramanagara,"5,48,008","4,12,438","1,35,570",4.44,-0.40,22.60
