district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"23,56,598","17,57,372","5,99,226",14.15,11.86,21.46
556,Bagalkot,"9,39,641","6,41,639","2,98,002",14.92,10.25,26.45
557,Bijapur,"10,66,309","8,17,791","2,48,518",21.10,18.94,28.81
558,Bidar,"8,32,635","6,26,098","2,06,537",13.85,10.65,24.79
559,Raichur,"9,64,301","7,20,492","2,43,809",16.47,15.82,18.44
560,Koppal,"6,89,994","5,73,258","1,16,736",16.40,15.79,19.47
561,Gadag,"5,27,423","3,37,676","1,89,747",10.27,8.92,12.76
562,Dharwad,"9,09,817","3,88,068","5,21,749",16.49,10.54,21.34
563,Uttara Kannada,"7,10,913","5,03,278","2,07,635",6.62,5.77,8.74
564,Haveri,"7,78,540","6,03,717","1,74,823",11.44,9.14,20.16
565,Bellary,"12,15,641","7,58,263","4,57,378",21.88,16.34,32.32
566,Chitradurga,"8,18,613","6,54,350","1,64,263",10.37,7.59,23.08
567,Davanagere,"9,59,097","6,48,220","3,10,877",9.83,6.22,18.22
568,Shimoga,"8,75,338","5,63,205","3,12,133",7.80,6.01,11.20
569,Udupi,"6,15,230","4,44,453","1,70,777",4.27,-8.33,62.37
570,Chikmagalur,"5,71,339","4,50,908","1,20,431",0.94,-1.31,10.39
571,Tumkur,"13,28,386","10,31,192","2,97,194",4.52,0.57,21.05
572,Bangalore,"45,98,890","4,07,351","41,91,539",47.85,9.82,53.00
573,Mandya,"9,00,684","7,46,164","1,54,520",2.86,1.28,11.20
574,Hassan,"8,92,754","7,04,075","1,88,679",3.50,-1.26,26.17
575,Dakshina Kannada,"10,54,935","5,52,079","5,02,856",9.97,-7.02,37.57
576,Kodagu,"2,79,911","2,39,370","40,541",2.26,1.04,10.10
577,Mysore,"14,89,527","8,68,214","6,21,313",14.90,6.72,28.68
578,Chamarajanagar,"5,08,560","4,20,933","87,627",6.95,4.56,20.15
579,Gulbarga,"12,64,571","8,53,631","4,10,940",18.82,16.59,23.74
580,Yadgir,"5,83,942","4,74,516","1,09,426",23.24,20.51,36.67
581,Kolar,"7,60,005","5,20,897","2,39,108",10.89,7.30,19.61
582,Chikkaballapura,"6,18,667","4,79,522","1,39,145",9.60,4.97,29.23
583,Bangalore Rural,"4,81,751","3,50,810","1,30,941",16.51,9.40,41.09
584,Ramanagara,"5,34,628","4,02,439","1,32,189",5.69,0.27,26.52
