district_code,district_name,col_0,col_1,col_2,col_3
555,Belgaum,75.97,24.03,74.66,25.34
556,Bagalkot,71.03,28.97,68.36,31.64
557,Bijapur,78.08,21.92,76.95,23.05
558,Bidar,77.04,22.96,74.99,25.01
559,Raichur,74.80,25.20,74.58,25.42
560,Koppal,83.42,16.58,83.19,16.81
561,Gadag,64.79,35.21,64.37,35.63
562,Dharwad,45.03,54.97,43.18,56.82
563,Uttara Kannada,71.34,28.66,70.85,29.15
564,Haveri,79.22,20.78,77.75,22.25
565,Bellary,65.13,34.87,62.48,37.52
566,Chitradurga,81.93,18.07,80.14,19.86
567,Davanagere,69.68,30.32,67.67,32.33
568,Shimoga,65.24,34.76,64.41,35.59
569,Udupi,81.45,18.55,71.63,28.37
570,Chikmagalur,80.48,19.52,78.95,21.05
571,Tumkur,80.38,19.62,77.64,22.36
572,Bangalore,11.89,88.11,9.06,90.94
573,Mandya,83.97,16.03,82.92,17.08
574,Hassan,82.30,17.70,78.79,21.21
575,Dakshina Kannada,61.57,38.43,52.33,47.67
576,Kodagu,86.26,13.74,85.39,14.61
577,Mysore,62.81,37.19,58.50,41.50
578,Chamarajanagar,84.66,15.34,82.86,17.14
579,Gulbarga,68.29,31.71,67.44,32.56
580,Yadgir,82.95,17.05,81.21,18.79
581,Kolar,70.84,29.16,68.75,31.25
582,Chikkaballapura,80.76,19.24,77.60,22.40
583,Bangalore Rural,77.40,22.60,72.88,27.12
584,Ramanagara,79.13,20.87,75.27,24.73
