district_code,district_name,col_0,col_1
555,Belgaum,314,356
556,Bagalkot,252,288
557,Bijapur,172,207
558,Bidar,276,313
559,Raichur,198,228
560,Koppal,215,250
561,Gadag,209,229
562,Dharwad,377,434
563,Uttara Kannada,132,140
564,Haveri,298,331
565,Bellary,240,290
566,Chitradurga,180,197
567,Davanagere,302,328
568,Shimoga,194,207
569,Udupi,311,329
570,Chikmagalur,158,158
571,Tumkur,244,253
572,Bangalore,"2,977","4,381"
573,Mandya,355,364
574,Hassan,253,261
575,Dakshina Kannada,390,430
576,Kodagu,134,135
577,Mysore,419,476
578,Chamarajanagar,171,181
579,Gulbarga,199,234
580,Yadgir,181,223
581,Kolar,349,386
582,Chikkaballapura,271,296
583,Bangalore Rural,370,431
584,Ramanagara,293,308
