district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"6,26,269","4,87,103","1,39,166",14.81,15.38,12.98,13.10,13.65,11.49
556,Bagalkot,"2,71,908","1,93,893","78,015",16.03,16.77,14.23,14.39,15.01,13.05
557,Bijapur,"3,18,406","2,51,849","66,557",15.87,16.25,14.55,14.62,15.03,13.26
558,Bidar,"2,24,442","1,68,796","55,646",16.08,16.09,16.01,13.18,13.21,13.06
559,Raichur,"2,83,733","2,19,804","63,929",16.95,17.74,14.60,14.71,15.28,13.04
560,Koppal,"2,01,654","1,70,550","31,104",17.39,17.83,15.18,14.51,14.75,13.31
561,Gadag,"1,32,442","87,350","45,092",14.18,14.57,13.47,12.44,12.75,11.89
562,Dharwad,"2,19,942","1,01,160","1,18,782",13.61,14.63,12.76,11.91,12.68,11.32
563,Uttara Kannada,"1,50,115","1,06,741","43,374",12.82,13.23,11.79,10.45,10.48,10.35
564,Haveri,"1,95,317","1,52,010","43,307",14.16,14.15,14.17,12.23,12.24,12.18
565,Bellary,"3,44,152","2,22,971","1,21,181",15.74,16.75,13.85,14.03,14.55,13.17
566,Chitradurga,"1,84,280","1,49,294","34,986",13.15,13.36,12.18,11.10,11.23,10.62
567,Davanagere,"2,17,731","1,47,770","69,961",13.42,13.66,12.84,11.19,11.22,11.12
568,Shimoga,"1,82,751","1,19,703","63,048",12.67,13.17,11.74,10.43,10.60,10.11
569,Udupi,"1,03,160","74,293","28,867",10.30,10.56,9.18,8.76,8.81,8.64
570,Chikmagalur,"1,05,328","82,205","23,123",12.15,12.29,11.60,9.26,9.15,9.65
571,Tumkur,"2,65,742","2,03,685","62,057",11.92,11.94,11.83,9.92,9.79,10.36
572,Bangalore,"10,52,837","1,00,793","9,52,044",11.82,13.06,11.65,10.94,11.56,10.88
573,Mandya,"1,72,685","1,41,058","31,627",11.63,11.60,11.79,9.56,9.42,10.26
574,Hassan,"1,65,637","1,28,037","37,600",11.60,11.64,11.39,9.32,9.15,9.98
575,Dakshina Kannada,"2,08,297","1,11,076","97,221",12.02,12.47,11.29,9.97,10.16,9.76
576,Kodagu,"54,733","46,781","7,952",12.68,12.78,12.05,9.87,9.88,9.82
577,Mysore,"3,05,561","1,84,028","1,21,533",12.25,12.83,11.27,10.18,10.48,9.76
578,Chamarajanagar,"1,00,648","82,603","18,045",11.90,11.95,11.64,9.86,9.77,10.31
579,Gulbarga,"3,65,372","2,54,972","1,10,400",16.50,17.07,15.26,14.24,14.73,13.21
580,Yadgir,"1,90,279","1,58,127","32,152",18.58,18.98,16.65,16.20,16.58,14.57
581,Kolar,"1,70,423","1,16,231","54,192",13.41,13.65,12.80,11.09,11.00,11.29
582,Chikkaballapura,"1,32,286","1,00,028","32,258",13.10,13.14,12.95,10.54,10.27,11.47
583,Bangalore Rural,"1,07,062","77,405","29,657",12.61,12.55,12.81,10.80,10.72,11.04
584,Ramanagara,"1,07,841","77,329","30,512",11.48,11.16,12.69,9.96,9.49,11.40
