district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"3,23,761","2,51,599","72,162",15.11,15.71,13.22,13.36,13.89,11.79
556,Bagalkot,"1,40,551","1,00,150","40,401",16.37,17.11,14.58,14.79,15.40,13.47
557,Bijapur,"1,64,856","1,30,258","34,598",16.06,16.40,14.82,14.84,15.19,13.65
558,Bidar,"1,15,550","86,615","28,935",16.13,16.17,16.03,13.27,13.30,13.19
559,Raichur,"1,45,468","1,12,671","32,797",17.12,17.95,14.67,15.08,15.69,13.30
560,Koppal,"1,03,016","87,254","15,762",17.65,18.13,15.28,14.72,14.97,13.48
561,Gadag,"68,025","44,898","23,127",14.31,14.72,13.55,12.66,12.92,12.20
562,Dharwad,"1,13,127","52,331","60,796",13.65,14.66,12.81,12.07,12.78,11.52
563,Uttara Kannada,"76,794","54,554","22,240",12.98,13.40,11.93,10.57,10.59,10.52
564,Haveri,"1,00,369","77,825","22,544",14.06,14.03,14.18,12.25,12.19,12.48
565,Bellary,"1,75,543","1,13,910","61,633",15.92,16.94,14.01,14.19,14.72,13.32
566,Chitradurga,"94,629","76,667","17,962",13.21,13.43,12.21,11.25,11.35,10.87
567,Davanagere,"1,11,793","75,951","35,842",13.46,13.71,12.88,11.33,11.37,11.27
568,Shimoga,"93,221","61,149","32,072",12.81,13.35,11.82,10.62,10.81,10.29
569,Udupi,"52,689","37,902","14,787",11.20,11.61,9.52,9.37,9.50,9.06
570,Chikmagalur,"53,493","41,714","11,779",12.31,12.47,11.65,9.44,9.32,9.89
571,Tumkur,"1,35,671","1,03,989","31,682",12.03,12.09,11.79,10.05,9.92,10.49
572,Bangalore,"5,41,656","51,616","4,90,040",11.60,12.79,11.44,10.78,11.12,10.75
573,Mandya,"89,063","72,792","16,271",11.94,11.96,11.83,9.84,9.69,10.58
574,Hassan,"83,971","64,762","19,209",11.87,11.93,11.59,9.50,9.31,10.21
575,Dakshina Kannada,"1,06,985","56,932","50,053",12.45,13.03,11.55,10.34,10.51,10.15
576,Kodagu,"27,676","23,648","4,028",12.80,12.96,11.84,10.08,10.10,9.96
577,Mysore,"1,55,807","93,757","62,050",12.27,12.80,11.36,10.31,10.56,9.94
578,Chamarajanagar,"51,529","42,281","9,248",11.94,11.99,11.70,10.06,9.95,10.59
579,Gulbarga,"1,88,076","1,31,174","56,902",16.74,17.37,15.41,14.45,14.95,13.40
580,Yadgir,"97,522","80,922","16,600",18.87,19.28,16.88,16.52,16.89,14.92
581,Kolar,"86,845","59,459","27,386",13.49,13.69,12.99,11.19,11.10,11.37
582,Chikkaballapura,"67,734","51,117","16,617",13.19,13.25,12.96,10.64,10.34,11.70
583,Bangalore Rural,"54,908","39,747","15,161",12.65,12.59,12.86,10.78,10.70,11.00
584,Ramanagara,"54,963","39,425","15,538",11.60,11.29,12.73,10.03,9.56,11.46
