district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"3,02,508","2,35,504","67,004",14.49,15.05,12.73,12.84,13.40,11.18
556,Bagalkot,"1,31,357","93,743","37,614",15.69,16.43,13.88,13.98,14.61,12.62
557,Bijapur,"1,53,550","1,21,591","31,959",15.68,16.08,14.27,14.40,14.87,12.86
558,Bidar,"1,08,892","82,181","26,711",16.01,16.02,16.00,13.08,13.13,12.93
559,Raichur,"1,38,265","1,07,133","31,132",16.79,17.53,14.53,14.34,14.87,12.77
560,Koppal,"98,638","83,296","15,342",17.12,17.53,15.07,14.30,14.53,13.14
561,Gadag,"64,417","42,452","21,965",14.05,14.42,13.38,12.21,12.57,11.58
562,Dharwad,"1,06,815","48,829","57,986",13.56,14.61,12.71,11.74,12.58,11.11
563,Uttara Kannada,"73,321","52,187","21,134",12.65,13.06,11.64,10.31,10.37,10.18
564,Haveri,"94,948","74,185","20,763",14.26,14.28,14.15,12.20,12.29,11.88
565,Bellary,"1,68,609","1,09,061","59,548",15.56,16.56,13.68,13.87,14.38,13.02
566,Chitradurga,"89,651","72,627","17,024",13.08,13.28,12.16,10.95,11.10,10.36
567,Davanagere,"1,05,938","71,819","34,119",13.37,13.62,12.81,11.05,11.08,10.98
568,Shimoga,"89,530","58,554","30,976",12.53,12.99,11.66,10.23,10.40,9.92
569,Udupi,"50,471","36,391","14,080",9.50,9.65,8.85,8.20,8.19,8.24
570,Chikmagalur,"51,835","40,491","11,344",11.99,12.10,11.54,9.07,8.98,9.42
571,Tumkur,"1,30,071","99,696","30,375",11.81,11.79,11.88,9.79,9.67,10.22
572,Bangalore,"5,11,181","49,177","4,62,004",12.05,13.36,11.88,11.12,12.07,11.02
573,Mandya,"83,622","68,266","15,356",11.32,11.23,11.75,9.28,9.15,9.94
574,Hassan,"81,666","63,275","18,391",11.33,11.35,11.20,9.15,8.99,9.75
575,Dakshina Kannada,"1,01,312","54,144","47,168",11.59,11.94,11.03,9.60,9.81,9.38
576,Kodagu,"27,057","23,133","3,924",12.56,12.61,12.26,9.67,9.66,9.68
577,Mysore,"1,49,754","90,271","59,483",12.24,12.86,11.18,10.05,10.40,9.57
578,Chamarajanagar,"49,119","40,322","8,797",11.87,11.92,11.57,9.66,9.58,10.04
579,Gulbarga,"1,77,296","1,23,798","53,498",16.25,16.76,15.11,14.02,14.50,13.02
580,Yadgir,"92,757","77,205","15,552",18.29,18.67,16.41,15.88,16.27,14.21
581,Kolar,"83,578","56,772","26,806",13.32,13.61,12.62,11.00,10.90,11.21
582,Chikkaballapura,"64,552","48,911","15,641",13.01,13.02,12.94,10.43,10.20,11.24
583,Bangalore Rural,"52,154","37,658","14,496",12.57,12.51,12.75,10.83,10.73,11.07
584,Ramanagara,"52,878","37,904","14,974",11.36,11.03,12.64,9.89,9.42,11.33
