district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,921,923,915,934,936,929
556,Bagalkot,940,945,924,935,936,931
557,Bijapur,928,932,914,931,933,924
558,Bidar,941,948,921,942,949,923
559,Raichur,964,969,948,950,951,949
560,Koppal,953,952,958,958,955,973
561,Gadag,952,950,955,947,946,950
562,Dharwad,943,942,944,944,933,954
563,Uttara Kannada,946,947,945,955,957,950
564,Haveri,957,959,946,946,953,921
565,Bellary,947,953,934,960,957,966
566,Chitradurga,946,947,944,947,947,948
567,Davanagere,946,950,934,948,946,952
568,Shimoga,956,957,954,960,958,966
569,Udupi,958,957,966,958,960,952
570,Chikmagalur,959,960,952,969,971,963
571,Tumkur,949,950,946,959,959,959
572,Bangalore,943,953,941,944,953,943
573,Mandya,934,929,960,939,938,944
574,Hassan,958,964,932,973,977,957
575,Dakshina Kannada,952,947,960,947,951,942
576,Kodagu,977,975,988,978,978,974
577,Mysore,962,967,952,961,963,959
578,Chamarajanagar,964,965,960,953,954,951
579,Gulbarga,931,939,911,943,944,940
580,Yadgir,952,955,938,951,954,937
581,Kolar,965,971,949,962,955,979
582,Chikkaballapura,952,953,949,953,957,941
583,Bangalore Rural,939,944,925,950,947,956
584,Ramanagara,945,947,938,962,961,964
