district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"5,77,418","4,48,375","1,29,043",24.98,21.75,37.67
556,Bagalkot,"3,19,149","2,38,014","81,135",27.35,22.91,42.44
557,Bijapur,"4,42,773","3,64,088","78,685",32.47,30.37,43.13
558,Bidar,"3,99,785","3,30,419","69,366",33.79,28.11,69.59
559,Raichur,"4,00,933","3,13,581","87,352",26.37,26.26,26.76
560,Koppal,"2,58,608","2,22,935","35,673",39.63,40.28,35.70
561,Gadag,"1,74,196","1,27,515","46,681",26.77,25.71,29.76
562,Dharwad,"1,77,855","71,387","1,06,468",34.77,30.55,37.75
563,Uttara Kannada,"1,16,431","78,859","37,572",14.26,11.48,20.58
564,Haveri,"2,19,976","1,88,161","31,815",25.44,23.51,38.26
565,Bellary,"5,17,409","3,66,016","1,51,393",38.26,35.24,46.17
566,Chitradurga,"3,89,117","3,33,571","55,546",15.64,13.33,31.78
567,Davanagere,"3,92,595","3,15,926","76,669",17.82,14.66,32.89
568,Shimoga,"3,08,158","2,25,316","82,842",14.34,12.84,18.60
569,Udupi,"75,429","55,996","19,433",11.43,-0.73,72.29
570,Chikmagalur,"2,53,651","2,18,406","35,245",8.80,7.57,17.08
571,Tumkur,"5,06,901","4,29,957","76,944",6.93,4.42,23.51
572,Bangalore,"11,98,385","1,99,870","9,98,515",40.81,3.25,51.87
573,Mandya,"2,65,294","2,21,943","43,351",7.31,6.90,9.47
574,Hassan,"3,45,031","2,98,013","47,018",10.68,8.20,29.53
575,Dakshina Kannada,"1,48,178","1,02,737","45,441",12.97,3.74,41.45
576,Kodagu,"73,584","64,618","8,966",9.14,8.99,10.23
577,Mysore,"5,36,643","3,80,388","1,56,255",14.76,9.06,31.46
578,Chamarajanagar,"2,59,445","2,21,650","37,795",9.18,6.75,26.04
579,Gulbarga,"6,48,782","4,89,697","1,59,085",25.48,26.11,23.59
580,Yadgir,"2,73,315","2,41,721","31,594",36.28,33.57,61.32
581,Kolar,"4,65,867","3,27,424","1,38,443",17.36,13.41,27.88
582,Chikkaballapura,"3,12,565","2,72,891","39,674",13.77,10.36,44.45
583,Bangalore Rural,"2,13,700","1,81,501","32,199",14.52,10.95,39.87
584,Ramanagara,"2,03,819","1,64,788","39,031",6.67,2.96,25.81
