district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"2,89,096","2,25,418","63,678","2,88,322","2,22,957","65,365"
556,Bagalkot,"1,58,135","1,18,054","40,081","1,61,014","1,19,960","41,054"
557,Bijapur,"2,26,440","1,86,568","39,872","2,16,333","1,77,520","38,813"
558,Bidar,"2,04,280","1,68,884","35,396","1,95,505","1,61,535","33,970"
559,Raichur,"2,00,359","1,56,829","43,530","2,00,574","1,56,752","43,822"
560,Koppal,"1,29,341","1,11,858","17,483","1,29,267","1,11,077","18,190"
561,Gadag,"87,745","64,485","23,260","86,451","63,030","23,421"
562,Dharwad,"89,137","36,366","52,771","88,718","35,021","53,697"
563,Uttara Kannada,"57,841","39,392","18,449","58,590","39,467","19,123"
564,Haveri,"1,12,212","96,191","16,021","1,07,764","91,970","15,794"
565,Bellary,"2,58,582","1,83,550","75,032","2,58,827","1,82,466","76,361"
566,Chitradurga,"1,96,819","1,69,160","27,659","1,92,298","1,64,411","27,887"
567,Davanagere,"1,98,299","1,59,704","38,595","1,94,296","1,56,222","38,074"
568,Shimoga,"1,53,546","1,12,674","40,872","1,54,612","1,12,642","41,970"
569,Udupi,"36,988","27,453","9,535","38,441","28,543","9,898"
570,Chikmagalur,"1,25,016","1,07,779","17,237","1,28,635","1,10,627","18,008"
571,Tumkur,"2,54,535","2,15,949","38,586","2,52,366","2,14,008","38,358"
572,Bangalore,"6,07,725","1,01,739","5,05,986","5,90,660","98,131","4,92,529"
573,Mandya,"1,31,675","1,10,241","21,434","1,33,619","1,11,702","21,917"
574,Hassan,"1,69,961","1,46,830","23,131","1,75,070","1,51,183","23,887"
575,Dakshina Kannada,"73,324","51,082","22,242","74,854","51,655","23,199"
576,Kodagu,"35,759","31,359","4,400","37,825","33,259","4,566"
577,Mysore,"2,69,331","1,91,232","78,099","2,67,312","1,89,156","78,156"
578,Chamarajanagar,"1,30,894","1,11,886","19,008","1,28,551","1,09,764","18,787"
579,Gulbarga,"3,30,091","2,49,515","80,576","3,18,691","2,40,182","78,509"
580,Yadgir,"1,37,204","1,21,312","15,892","1,36,111","1,20,409","15,702"
581,Kolar,"2,32,546","1,64,018","68,528","2,33,321","1,63,406","69,915"
582,Chikkaballapura,"1,57,628","1,37,654","19,974","1,54,937","1,35,237","19,700"
583,Bangalore Rural,"1,07,424","91,184","16,240","1,06,276","90,317","15,959"
584,Ramanagara,"1,02,612","83,140","19,472","1,01,207","81,648","19,559"
