district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,979,976,993,997,989,"1,026"
556,Bagalkot,"1,021","1,026","1,004","1,018","1,016","1,024"
557,Bijapur,953,956,941,955,952,973
558,Bidar,945,948,925,957,956,960
559,Raichur,991,995,978,"1,001","1,000","1,007"
560,Koppal,997,997,"1,000",999,993,"1,040"
561,Gadag,969,967,974,985,977,"1,007"
562,Dharwad,969,969,970,995,963,"1,018"
563,Uttara Kannada,986,983,993,"1,013","1,002","1,037"
564,Haveri,946,943,968,960,956,986
565,Bellary,985,989,974,"1,001",994,"1,018"
566,Chitradurga,955,956,948,977,972,"1,008"
567,Davanagere,956,963,924,980,978,987
568,Shimoga,977,974,988,"1,007","1,000","1,027"
569,Udupi,"1,030","1,032","1,019","1,039","1,040","1,038"
570,Chikmagalur,996,"1,001",964,"1,029","1,026","1,045"
571,Tumkur,966,971,931,991,991,994
572,Bangalore,956,966,953,972,965,973
573,Mandya,999,"1,004",973,"1,015","1,013","1,023"
574,Hassan,"1,006","1,011",969,"1,030","1,030","1,033"
575,Dakshina Kannada,993,988,"1,008","1,021","1,011","1,043"
576,Kodagu,"1,020","1,025",984,"1,058","1,061","1,038"
577,Mysore,969,974,956,993,989,"1,001"
578,Chamarajanagar,957,960,932,982,981,988
579,Gulbarga,952,962,921,965,963,974
580,Yadgir,984,988,953,992,993,988
581,Kolar,991,987,"1,002","1,003",996,"1,020"
582,Chikkaballapura,975,976,966,983,982,986
583,Bangalore Rural,971,973,954,989,990,983
584,Ramanagara,967,967,966,986,982,"1,004"
