district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,10.96,11.50,9.26,12.08,12.56,10.65
556,Bagalkot,15.17,16.50,11.90,16.89,18.42,13.57
557,Bijapur,18.50,19.80,13.88,20.34,21.73,15.67
558,Bidar,19.89,22.28,11.86,23.47,25.87,16.28
559,Raichur,19.00,19.89,16.37,20.79,21.80,17.81
560,Koppal,15.48,15.93,13.26,18.61,19.28,15.26
561,Gadag,14.14,16.11,10.51,16.36,18.61,12.31
562,Dharwad,8.23,7.57,8.76,9.63,8.95,10.14
563,Uttara Kannada,7.53,7.32,8.03,8.10,7.75,8.97
564,Haveri,12.19,13.36,7.70,13.77,15.15,8.95
565,Bellary,18.46,20.50,14.65,21.10,23.89,16.45
566,Chitradurga,22.17,23.67,15.37,23.45,25.08,16.86
567,Davanagere,18.61,22.08,10.62,20.18,24.00,12.19
568,Shimoga,16.41,18.63,12.23,17.58,19.96,13.28
569,Udupi,6.09,6.23,5.47,6.41,6.64,5.82
570,Chikmagalur,20.43,22.11,13.52,22.29,24.31,14.72
571,Tumkur,18.34,19.82,12.28,18.92,20.67,12.84
572,Bangalore,13.02,24.91,11.41,12.46,22.93,11.41
573,Mandya,14.02,14.02,14.01,14.69,14.82,14.06
574,Hassan,18.11,19.44,11.91,19.42,21.29,12.48
575,Dakshina Kannada,6.91,8.48,4.40,7.09,9.39,4.56
576,Kodagu,12.29,12.53,10.79,13.27,13.65,11.07
577,Mysore,17.71,21.02,12.10,17.88,21.67,12.55
578,Chamarajanagar,24.61,25.40,20.25,25.42,26.21,21.60
579,Gulbarga,23.77,26.15,18.67,25.28,28.29,19.04
580,Yadgir,20.97,22.82,12.01,23.28,25.35,14.32
581,Kolar,28.62,29.38,26.76,30.32,31.00,28.84
582,Chikkaballapura,23.91,26.65,12.43,24.90,28.02,14.11
583,Bangalore Rural,21.93,24.84,11.97,21.57,25.13,11.98
584,Ramanagara,18.54,19.63,14.43,18.83,20.22,14.58
