district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"2,97,198","2,53,876","43,322",22.08,19.38,40.74
556,Bagalkot,"97,203","80,820","16,383",21.23,14.96,65.80
557,Bijapur,"39,314","31,644","7,670",30.82,17.78,140.82
558,Bidar,"2,35,822","2,14,759","21,063",29.42,26.23,74.22
559,Raichur,"3,67,071","3,34,023","33,048",21.13,20.19,31.52
560,Koppal,"1,64,271","1,52,563","11,708",18.53,18.52,18.63
561,Gadag,"61,654","50,637","11,017",13.31,10.43,28.79
562,Dharwad,"87,548","50,089","37,459",24.28,13.32,42.75
563,Uttara Kannada,"34,239","27,949","6,290",43.98,47.22,31.15
564,Haveri,"1,41,380","1,26,249","15,131",11.18,9.00,33.47
565,Bellary,"4,51,406","3,34,131","1,17,275",23.80,18.77,40.77
566,Chitradurga,"3,02,554","2,66,526","36,028",13.64,12.88,19.60
567,Davanagere,"2,33,112","1,91,754","41,358",11.16,9.09,21.90
568,Shimoga,"65,412","49,963","15,449",16.81,14.62,24.54
569,Udupi,"52,897","41,596","11,301",27.12,15.99,96.50
570,Chikmagalur,"44,970","40,142","4,828",9.63,7.87,26.82
571,Tumkur,"2,09,559","1,80,024","29,535",8.12,5.94,23.63
572,Bangalore,"1,90,239","28,415","1,61,824",121.16,57.21,138.18
573,Mandya,"22,402","17,361","5,041",30.30,28.59,36.54
574,Hassan,"32,329","27,896","4,433",22.22,15.26,97.11
575,Dakshina Kannada,"82,268","65,844","16,424",30.72,20.95,93.31
576,Kodagu,"58,054","56,298","1,756",25.89,25.40,44.05
577,Mysore,"3,34,547","2,57,081","77,466",23.29,14.64,64.48
578,Chamarajanagar,"1,20,219","96,434","23,785",13.30,13.59,12.12
579,Gulbarga,"65,259","50,074","15,185",38.45,28.08,88.92
580,Yadgir,"1,46,849","1,28,724","18,125",37.17,34.80,56.67
581,Kolar,"78,875","72,143","6,732",15.77,12.51,67.75
582,Chikkaballapura,"1,56,487","1,39,201","17,286",13.74,10.52,48.66
583,Bangalore Rural,"52,903","44,412","8,491",21.14,14.79,70.50
584,Ramanagara,"22,946","19,163","3,783",28.30,22.50,68.73
