district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"1,48,673","1,27,133","21,540","1,48,525","1,26,743","21,782"
556,Bagalkot,"48,470","40,322","8,148","48,733","40,498","8,235"
557,Bijapur,"19,912","16,124","3,788","19,402","15,520","3,882"
558,Bidar,"1,19,787","1,09,197","10,590","1,16,035","1,05,562","10,473"
559,Raichur,"1,82,101","1,65,593","16,508","1,84,970","1,68,430","16,540"
560,Koppal,"82,761","76,987","5,774","81,510","75,576","5,934"
561,Gadag,"30,975","25,558","5,417","30,679","25,079","5,600"
562,Dharwad,"44,173","25,586","18,587","43,375","24,503","18,872"
563,Uttara Kannada,"17,095","13,976","3,119","17,144","13,973","3,171"
564,Haveri,"72,109","64,580","7,529","69,271","61,669","7,602"
565,Bellary,"2,25,451","1,67,653","57,798","2,25,955","1,66,478","59,477"
566,Chitradurga,"1,52,939","1,35,209","17,730","1,49,615","1,31,317","18,298"
567,Davanagere,"1,17,808","96,936","20,872","1,15,304","94,818","20,486"
568,Shimoga,"32,707","25,045","7,662","32,705","24,918","7,787"
569,Udupi,"26,228","20,630","5,598","26,669","20,966","5,703"
570,Chikmagalur,"21,990","19,627","2,363","22,980","20,515","2,465"
571,Tumkur,"1,05,265","90,558","14,707","1,04,294","89,466","14,828"
572,Bangalore,"99,164","14,940","84,224","91,075","13,475","77,600"
573,Mandya,"11,310","8,814","2,496","11,092","8,547","2,545"
574,Hassan,"15,986","13,779","2,207","16,343","14,117","2,226"
575,Dakshina Kannada,"40,961","32,782","8,179","41,307","33,062","8,245"
576,Kodagu,"28,510","27,643",867,"29,544","28,655",889
577,Mysore,"1,66,697","1,28,281","38,416","1,67,850","1,28,800","39,050"
578,Chamarajanagar,"59,369","47,749","11,620","60,850","48,685","12,165"
579,Gulbarga,"32,830","25,232","7,598","32,429","24,842","7,587"
580,Yadgir,"73,564","64,574","8,990","73,285","64,150","9,135"
581,Kolar,"39,997","36,448","3,549","38,878","35,695","3,183"
582,Chikkaballapura,"79,156","70,304","8,852","77,331","68,897","8,434"
583,Bangalore Rural,"27,147","22,809","4,338","25,756","21,603","4,153"
584,Ramanagara,"11,619","9,693","1,926","11,327","9,470","1,857"
