district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,980,980,975,999,997,"1,011"
556,Bagalkot,996,995,"1,000","1,005","1,004","1,011"
557,Bijapur,944,941,973,974,963,"1,025"
558,Bidar,950,952,920,969,967,989
559,Raichur,993,996,961,"1,016","1,017","1,002"
560,Koppal,978,977,992,985,982,"1,028"
561,Gadag,961,965,941,990,981,"1,034"
562,Dharwad,944,937,956,982,958,"1,015"
563,Uttara Kannada,985,990,969,"1,003","1,000","1,017"
564,Haveri,941,942,936,961,955,"1,010"
565,Bellary,985,981,"1,000","1,002",993,"1,029"
566,Chitradurga,955,956,943,978,971,"1,032"
567,Davanagere,961,966,936,979,978,982
568,Shimoga,969,970,968,"1,000",995,"1,016"
569,Udupi,"1,023","1,020","1,043","1,017","1,016","1,019"
570,Chikmagalur,994,"1,000",936,"1,045","1,045","1,043"
571,Tumkur,962,966,935,991,988,"1,008"
572,Bangalore,913,948,904,918,902,921
573,Mandya,978,961,"1,043",981,970,"1,020"
574,Hassan,989,999,890,"1,022","1,025","1,009"
575,Dakshina Kannada,993,"1,004",927,"1,008","1,009","1,008"
576,Kodagu,996,997,938,"1,036","1,037","1,025"
577,Mysore,983,982,986,"1,007","1,004","1,017"
578,Chamarajanagar,994,989,"1,016","1,025","1,020","1,047"
579,Gulbarga,956,956,957,988,985,999
580,Yadgir,989,990,977,996,993,"1,016"
581,Kolar,980,983,932,972,979,897
582,Chikkaballapura,969,971,949,977,980,953
583,Bangalore Rural,955,959,917,949,947,957
584,Ramanagara,945,950,916,975,977,964
