district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,5.78,6.64,3.04,6.22,7.11,3.58
556,Bagalkot,4.85,5.99,2.06,5.14,6.26,2.74
557,Bijapur,1.66,1.90,0.80,1.81,1.89,1.53
558,Bidar,12.13,14.70,3.51,13.85,16.81,4.94
559,Raichur,18.15,22.25,5.97,19.03,23.22,6.74
560,Koppal,11.59,12.90,4.98,11.82,13.20,5.01
561,Gadag,5.60,7.28,2.50,5.79,7.39,2.90
562,Dharwad,4.39,6.12,2.98,4.74,6.28,3.57
563,Uttara Kannada,1.76,1.97,1.24,2.38,2.74,1.50
564,Haveri,8.84,10.16,3.79,8.85,10.16,4.26
565,Bellary,17.99,21.31,11.79,18.41,21.81,12.74
566,Chitradurga,17.54,18.99,10.98,18.23,20.04,10.93
567,Davanagere,11.71,14.08,6.25,11.98,14.57,6.58
568,Shimoga,3.41,4.07,2.17,3.73,4.43,2.48
569,Udupi,3.74,3.96,2.79,4.49,4.93,3.38
570,Chikmagalur,3.60,4.05,1.71,3.95,4.47,2.02
571,Tumkur,7.50,8.18,4.71,7.82,8.66,4.93
572,Bangalore,1.32,2.33,1.18,1.98,3.26,1.85
573,Mandya,0.97,0.91,1.31,1.24,1.16,1.63
574,Hassan,1.54,1.71,0.74,1.82,1.99,1.18
575,Dakshina Kannada,3.32,4.66,1.16,3.94,6.02,1.65
576,Kodagu,8.41,9.49,1.62,10.47,11.89,2.17
577,Mysore,10.27,13.52,4.80,11.15,14.64,6.22
578,Chamarajanagar,10.99,10.39,14.33,11.78,11.40,13.59
579,Gulbarga,2.17,2.63,1.17,2.54,2.89,1.82
580,Yadgir,11.20,12.04,7.10,12.51,13.50,8.21
581,Kolar,4.91,6.53,0.99,5.13,6.83,1.40
582,Chikkaballapura,11.97,13.57,5.26,12.47,14.29,6.15
583,Bangalore Rural,5.13,5.87,2.59,5.34,6.15,3.16
584,Ramanagara,1.74,1.92,1.04,2.12,2.35,1.41
