district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"30,52,032","21,34,792","9,17,240",64.21,58.85,80.66,73.48,69.28,85.56
556,Bagalkot,"11,13,412","7,04,912","4,08,500",57.30,51.23,71.75,68.82,64.20,78.58
557,Bijapur,"12,48,268","8,94,132","3,54,136",57.01,51.97,74.59,67.15,62.81,81.33
558,Bidar,"10,42,673","7,39,711","3,02,962",60.94,56.71,75.14,70.51,66.73,81.81
559,Raichur,"9,79,769","6,59,440","3,20,329",48.81,42.49,66.86,59.56,54.11,75.12
560,Koppal,"8,09,085","6,51,001","1,58,084",54.10,51.01,69.14,68.09,66.05,78.03
561,Gadag,"7,00,177","4,29,673","2,70,504",66.11,61.55,74.40,75.12,71.86,80.94
562,Dharwad,"13,01,664","5,01,954","7,99,710",71.61,60.77,80.31,80.00,72.09,85.92
563,Uttara Kannada,"10,81,906","7,41,129","3,40,777",76.60,72.65,86.27,84.06,81.31,90.73
564,Haveri,"10,85,443","8,25,101","2,60,342",67.79,65.91,74.98,77.40,75.69,83.39
565,Bellary,"14,21,621","8,09,312","6,12,309",57.40,50.29,70.24,67.43,61.81,76.63
566,Chitradurga,"10,87,392","8,34,419","2,52,973",64.45,60.72,81.14,73.71,70.68,85.89
567,Davanagere,"13,08,540","8,38,823","4,69,717",67.43,62.75,78.08,75.74,71.77,84.02
568,Shimoga,"12,63,016","7,70,817","4,92,199",74.52,69.61,83.60,80.45,76.37,87.79
569,Udupi,"9,26,429","6,45,246","2,81,183",81.25,79.35,89.47,86.24,83.91,92.13
570,Chikmagalur,"8,18,345","6,28,083","1,90,262",72.20,69.59,82.87,79.25,76.95,87.93
571,Tumkur,"18,13,391","13,44,438","4,68,953",67.01,63.39,81.80,75.14,71.66,87.32
572,Bangalore,"75,12,276","6,02,859","69,09,417",82.96,70.24,84.65,87.67,78.21,88.61
573,Mandya,"11,49,649","9,19,289","2,30,360",61.05,57.74,78.39,70.40,67.78,83.24
574,Hassan,"12,25,256","9,25,571","2,99,685",68.63,65.23,84.43,76.07,72.79,88.36
575,Dakshina Kannada,"16,66,323","8,38,316","8,28,007",83.35,79.72,89.10,88.57,85.33,92.12
576,Kodagu,"4,12,877","3,46,061","66,816",77.99,76.10,89.74,82.61,81.09,91.48
577,Mysore,"19,62,180","9,94,670","9,67,510",63.48,51.84,82.80,72.79,63.29,86.09
578,Chamarajanagar,"5,65,279","4,42,260","1,23,019",50.87,47.24,70.88,61.43,57.95,78.39
579,Gulbarga,"14,27,368","8,57,328","5,70,040",54.34,46.14,71.64,64.85,58.09,78.61
580,Yadgir,"5,10,003","3,74,244","1,35,759",39.90,34.88,63.59,51.83,47.05,72.01
581,Kolar,"10,16,219","6,49,421","3,66,798",65.84,58.88,82.58,74.39,69.08,86.13
582,Chikkaballapura,"7,83,222","5,80,231","2,02,991",59.24,55.20,76.16,69.76,66.39,81.57
583,Bangalore Rural,"6,88,749","4,84,632","2,04,117",69.59,67.23,77.71,77.93,75.16,85.37
584,Ramanagara,"6,74,758","4,81,311","1,93,447",60.71,57.15,74.42,69.22,65.26,81.54
