district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"17,25,548","12,33,802","4,91,746",75.70,71.53,88.43,82.20,79.12,91.10
556,Bagalkot,"6,41,388","4,16,846","2,24,542",70.88,66.01,82.40,79.23,75.77,86.55
557,Bijapur,"7,30,566","5,38,400","1,92,166",69.94,65.95,83.86,77.21,74.03,87.80
558,Bidar,"5,97,198","4,30,681","1,66,517",72.46,69.22,83.14,79.09,76.28,87.42
559,Raichur,"5,77,213","3,99,587","1,77,626",61.52,56.09,76.76,70.47,66.01,83.10
560,Koppal,"4,68,785","3,82,270","86,515",68.42,66.10,79.67,78.54,77.12,85.48
561,Gadag,"3,97,178","2,50,701","1,46,477",79.32,76.40,84.60,84.66,82.83,88.01
562,Dharwad,"7,11,776","2,89,171","4,22,605",80.82,73.13,87.00,86.37,80.98,90.49
563,Uttara Kannada,"5,82,099","4,03,419","1,78,680",84.53,81.56,91.79,89.63,87.63,94.49
564,Haveri,"6,03,793","4,65,603","1,38,190",77.61,76.61,81.44,84.00,83.05,87.39
565,Bellary,"8,13,440","4,78,100","3,35,340",69.20,63.49,79.41,76.64,72.42,83.58
566,Chitradurga,"6,07,188","4,74,285","1,32,903",74.66,71.84,87.21,81.37,79.19,90.22
567,Davanagere,"7,20,637","4,71,688","2,48,949",76.37,73.04,83.90,82.40,79.63,88.19
568,Shimoga,"6,74,938","4,19,590","2,55,348",82.01,78.45,88.53,86.07,83.14,91.35
569,Udupi,"4,65,704","3,24,309","1,41,395",88.23,86.85,93.83,91.41,89.85,95.22
570,Chikmagalur,"4,38,257","3,40,186","98,071",80.29,78.42,87.77,85.41,83.82,91.40
571,Tumkur,"10,06,024","7,60,322","2,45,702",76.78,74.25,86.91,82.81,80.48,90.93
572,Bangalore,"40,78,041","3,48,826","37,29,215",87.92,78.82,89.13,91.01,84.54,91.66
573,Mandya,"6,38,668","5,17,904","1,20,764",70.50,67.82,84.31,78.27,76.34,87.78
574,Hassan,"6,68,836","5,13,580","1,55,256",78.37,75.94,89.34,83.64,81.41,91.94
575,Dakshina Kannada,"8,64,019","4,40,804","4,23,215",89.70,87.07,93.78,93.13,90.97,95.50
576,Kodagu,"2,15,302","1,80,920","34,382",83.70,82.14,93.19,87.19,85.94,94.41
577,Mysore,"10,63,766","5,60,734","5,03,032",70.88,61.01,87.33,78.46,70.64,89.50
578,Chamarajanagar,"3,12,957","2,47,909","65,048",59.03,55.64,77.69,67.93,64.80,83.29
579,Gulbarga,"8,28,359","5,15,350","3,13,009",66.18,59.31,80.33,74.38,69.08,85.12
580,Yadgir,"3,06,751","2,30,998","75,753",51.35,46.49,74.07,62.25,58.02,80.03
581,Kolar,"5,64,110","3,71,785","1,92,325",75.99,70.97,88.10,81.81,78.11,90.05
582,Chikkaballapura,"4,42,158","3,34,340","1,07,818",69.80,66.68,82.71,77.75,75.41,86.01
583,Bangalore Rural,"3,85,311","2,75,457","1,09,854",78.99,77.57,83.81,84.82,83.06,89.57
584,Ramanagara,"3,78,461","2,75,870","1,02,591",69.88,67.31,79.64,76.76,73.96,85.47
