district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"13,26,484","9,00,990","4,25,494",52.32,45.80,72.53,64.58,59.20,79.95
556,Bagalkot,"4,72,024","2,88,066","1,83,958",43.56,36.33,60.87,58.40,52.58,70.65
557,Bijapur,"5,17,702","3,55,732","1,61,970",43.47,37.32,64.89,56.72,51.10,74.79
558,Bidar,"4,45,475","3,09,030","1,36,445",48.81,43.64,66.47,61.55,56.82,75.88
559,Raichur,"4,02,556","2,59,853","1,42,703",35.93,28.86,56.54,48.73,42.37,67.10
560,Koppal,"3,40,300","2,68,731","71,569",39.61,35.81,58.34,57.55,54.85,70.59
561,Gadag,"3,02,999","1,78,972","1,24,027",52.52,46.28,63.88,65.44,60.62,73.92
562,Dharwad,"5,89,888","2,12,783","3,77,105",61.92,47.70,73.28,73.46,62.72,81.31
563,Uttara Kannada,"4,99,807","3,37,710","1,62,097",68.47,63.52,80.59,78.39,74.87,86.91
564,Haveri,"4,81,650","3,59,498","1,22,152",57.37,54.52,68.17,70.46,67.89,79.29
565,Bellary,"6,08,181","3,31,212","2,76,969",45.28,36.82,60.69,58.09,51.02,69.62
566,Chitradurga,"4,80,204","3,60,134","1,20,070",53.78,49.12,74.74,65.88,61.91,81.55
567,Davanagere,"5,87,903","3,67,135","2,20,768",58.04,52.02,71.89,68.91,63.69,79.77
568,Shimoga,"5,88,078","3,51,227","2,36,851",66.88,60.66,78.50,74.84,69.60,84.24
569,Udupi,"4,60,725","3,20,937","1,39,788",75.19,72.97,85.31,81.58,78.65,89.21
570,Chikmagalur,"3,80,088","2,87,897","92,191",64.01,60.70,77.78,73.16,70.15,84.51
571,Tumkur,"8,07,367","5,84,116","2,23,251",56.94,52.29,76.35,67.38,62.71,83.67
572,Bangalore,"34,34,235","2,54,033","31,80,202",77.48,60.78,79.70,84.01,70.92,85.27
573,Mandya,"5,10,981","4,01,385","1,09,596",51.53,47.65,72.26,62.54,59.21,78.75
574,Hassan,"5,56,420","4,11,991","1,44,429",59.00,54.72,79.35,68.60,64.29,84.81
575,Dakshina Kannada,"8,02,304","3,97,512","4,04,792",77.21,72.69,84.47,84.13,79.83,88.83
576,Kodagu,"1,97,575","1,65,141","32,434",72.26,70.10,86.11,78.14,76.37,88.58
577,Mysore,"8,98,414","4,33,936","4,64,478",55.81,42.31,78.12,67.06,55.78,82.67
578,Chamarajanagar,"2,52,322","1,94,351","57,971",42.48,38.59,63.86,54.92,51.06,73.54
579,Gulbarga,"5,99,009","3,41,978","2,57,031",42.06,32.70,62.31,55.09,46.86,71.91
580,Yadgir,"2,03,252","1,43,246","60,006",28.32,23.20,52.80,41.38,36.05,63.92
581,Kolar,"4,52,109","2,77,636","1,74,473",55.46,46.51,76.95,66.84,59.82,82.18
582,Chikkaballapura,"3,41,064","2,45,891","95,173",48.33,43.39,69.28,61.55,57.10,77.06
583,Bangalore Rural,"3,03,438","2,09,175","94,263",59.67,56.35,71.17,70.63,66.80,80.95
584,Ramanagara,"2,96,297","2,05,441","90,856",51.22,46.70,68.89,61.50,56.36,77.51
