district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"21,05,668","16,75,994","4,29,674",44.56,48.06,33.47,44.05,46.97,35.48
556,Bagalkot,"8,18,081","5,95,392","2,22,689",43.57,47.49,33.94,43.29,46.09,37.25
557,Bijapur,"9,27,722","7,60,560","1,67,162",39.75,42.67,29.35,42.61,45.40,33.30
558,Bidar,"7,02,608","5,66,299","1,36,309",37.11,40.22,26.69,41.25,44.33,32.00
559,Raichur,"9,03,413","7,26,993","1,76,420",43.88,47.99,31.70,46.84,50.54,35.98
560,Koppal,"6,54,766","5,67,783","86,983",46.36,48.98,33.19,47.11,49.11,37.22
561,Gadag,"4,95,722","3,46,655","1,49,067",47.11,52.17,37.80,46.57,50.59,39.30
562,Dharwad,"7,84,833","4,07,220","3,77,613",42.67,54.30,33.14,42.49,51.06,35.98
563,Uttara Kannada,"6,08,526","4,63,305","1,45,221",42.94,46.75,33.45,42.34,45.50,34.66
564,Haveri,"7,30,066","5,99,152","1,30,914",46.33,49.24,35.23,45.70,48.23,36.83
565,Bellary,"11,16,880","7,75,319","3,41,561",45.42,50.82,35.34,45.54,50.60,37.12
566,Chitradurga,"8,56,587","7,33,242","1,23,345",47.55,50.84,32.66,51.62,55.13,37.43
567,Davanagere,"8,75,207","6,40,621","2,34,586",43.76,47.85,34.37,44.99,48.66,37.29
568,Shimoga,"7,80,598","5,54,351","2,26,247",43.51,48.34,34.45,44.54,49.10,36.27
569,Udupi,"5,13,241","3,76,475","1,36,766",43.89,45.11,38.55,43.59,44.64,40.94
570,Chikmagalur,"5,65,774","4,72,818","92,956",45.29,47.58,35.85,49.72,52.63,38.81
571,Tumkur,"13,54,646","11,20,199","2,34,447",50.95,54.29,37.29,50.57,53.86,39.13
572,Bangalore,"42,46,927","4,11,407","38,35,520",39.27,44.45,38.57,44.14,47.20,43.83
573,Mandya,"8,71,408","7,49,665","1,21,743",47.65,49.94,35.66,48.26,50.06,39.48
574,Hassan,"9,03,580","7,63,534","1,40,046",50.23,53.83,33.46,50.87,54.55,37.17
575,Dakshina Kannada,"9,97,721","5,68,551","4,29,170",49.87,54.11,43.08,47.75,51.99,43.09
576,Kodagu,"2,78,938","2,46,044","32,894",48.56,50.23,38.06,50.30,51.96,40.62
577,Mysore,"13,14,268","8,40,952","4,73,316",42.04,46.96,33.72,43.79,47.90,38.00
578,Chamarajanagar,"4,81,693","4,14,393","67,300",46.44,48.10,37.27,47.19,48.99,38.46
579,Gulbarga,"10,87,028","8,07,197","2,79,831",41.64,47.90,28.17,42.36,46.64,33.49
580,Yadgir,"5,47,696","4,68,074","79,622",46.48,49.14,33.53,46.64,49.09,36.08
581,Kolar,"7,17,872","5,45,094","1,72,778",45.74,51.41,31.94,46.72,51.60,35.99
582,Chikkaballapura,"6,39,778","5,29,246","1,10,532",52.28,55.91,37.02,50.97,54.34,39.32
583,Bangalore Rural,"4,59,891","3,50,621","1,09,270",46.56,49.01,38.16,46.41,48.55,40.66
584,Ramanagara,"5,31,459","4,25,074","1,06,385",48.16,50.64,38.77,49.09,52.16,39.73
