district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"13,72,422","10,36,706","3,35,716",55.90,56.96,52.55,56.64,57.24,54.86
556,Bagalkot,"5,11,575","3,51,296","1,60,279",53.68,54.76,51.03,53.84,54.02,53.45
557,Bijapur,"5,80,111","4,54,015","1,26,096",50.48,51.53,46.76,52.21,52.94,49.75
558,Bidar,"4,59,050","3,53,783","1,05,267",47.50,49.03,42.46,52.72,54.32,47.98
559,Raichur,"5,30,373","4,01,048","1,29,325",52.89,54.40,48.52,54.99,55.86,52.46
560,Koppal,"3,87,974","3,23,887","64,087",53.66,54.21,50.92,55.43,55.56,54.79
561,Gadag,"3,10,412","2,04,325","1,06,087",56.22,57.91,53.10,57.79,58.78,55.96
562,Dharwad,"5,43,776","2,50,619","2,93,157",56.02,61.51,51.50,58.02,61.21,55.54
563,Uttara Kannada,"4,30,565","3,15,493","1,15,072",57.63,59.59,52.76,59.29,61.27,54.45
564,Haveri,"4,90,731","3,89,871","1,00,860",58.24,59.45,53.62,59.91,61.07,55.82
565,Bellary,"7,03,258","4,44,370","2,58,888",54.61,55.85,52.32,56.85,57.41,55.93
566,Chitradurga,"5,13,311","4,20,603","92,708",57.00,58.10,52.01,61.05,62.26,56.09
567,Davanagere,"5,85,639","4,08,033","1,77,606",56.74,58.70,52.27,59.37,61.06,55.83
568,Shimoga,"5,34,487","3,55,267","1,79,220",58.68,60.63,55.03,60.92,62.79,57.52
569,Udupi,"3,35,399","2,39,467","95,932",55.14,55.18,54.97,59.67,60.04,58.75
570,Chikmagalur,"3,57,889","2,87,697","70,192",59.43,60.23,56.18,63.16,64.28,58.95
571,Tumkur,"8,37,512","6,65,024","1,72,488",60.24,61.62,54.68,62.01,63.41,57.14
572,Bangalore,"31,15,361","2,97,260","28,18,101",57.97,60.04,57.69,62.03,64.03,61.82
573,Mandya,"5,75,203","4,84,296","90,907",61.21,62.50,54.55,63.55,64.47,59.09
574,Hassan,"5,60,452","4,51,711","1,08,741",60.79,62.45,53.27,63.42,64.94,57.82
575,Dakshina Kannada,"6,20,903","3,35,739","2,85,164",58.23,59.71,55.88,60.01,62.00,57.82
576,Kodagu,"1,72,100","1,48,216","23,884",60.91,61.52,57.16,62.67,63.30,59.05
577,Mysore,"9,21,803","5,61,172","3,60,631",58.20,61.15,53.20,60.98,63.23,57.78
578,Chamarajanagar,"3,24,326","2,73,447","50,879",61.35,62.40,55.60,63.32,64.36,58.25
579,Gulbarga,"6,80,001","4,70,900","2,09,101",50.17,53.31,43.57,52.24,53.69,49.25
580,Yadgir,"3,17,135","2,61,181","55,954",53.10,54.42,46.74,53.72,54.52,50.30
581,Kolar,"4,54,048","3,23,441","1,30,607",56.31,59.09,49.56,58.48,60.41,54.20
582,Chikkaballapura,"3,84,452","3,03,901","80,551",60.26,61.26,56.09,60.41,61.46,56.74
583,Bangalore Rural,"3,15,499","2,32,568","82,931",59.61,59.81,58.90,61.96,62.62,60.18
584,Ramanagara,"3,44,349","2,66,090","78,259",59.61,60.78,55.23,62.84,64.52,57.73
