district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"7,33,246","6,39,288","93,958",32.74,38.82,13.37,31.11,36.38,15.68
556,Bagalkot,"3,06,506","2,44,096","62,410",33.25,40.10,16.32,32.62,38.04,20.94
557,Bijapur,"3,47,611","3,06,545","41,066",28.46,33.35,11.01,32.60,37.48,16.52
558,Bidar,"2,43,558","2,12,516","31,042",26.17,31.01,9.60,29.25,33.94,15.03
559,Raichur,"3,73,040","3,25,945","47,095",34.72,41.54,14.13,38.69,45.24,19.32
560,Koppal,"2,66,792","2,43,896","22,896",38.93,43.66,14.95,38.67,42.55,19.61
561,Gadag,"1,85,310","1,42,330","42,980",37.71,46.24,21.99,35.13,42.15,22.65
562,Dharwad,"2,41,057","1,56,601","84,456",28.60,46.67,13.85,26.50,40.35,16.19
563,Uttara Kannada,"1,77,961","1,47,812","30,149",27.81,33.54,13.53,25.03,29.37,14.52
564,Haveri,"2,39,335","2,09,281","30,054",33.71,38.41,15.81,30.74,34.67,17.19
565,Bellary,"4,13,622","3,30,949","82,673",35.94,45.67,17.60,34.03,43.65,18.08
566,Chitradurga,"3,43,276","3,12,639","30,637",37.68,43.25,12.25,41.93,47.78,18.65
567,Davanagere,"2,89,568","2,32,588","56,980",30.13,36.51,15.32,30.19,35.88,18.33
568,Shimoga,"2,46,111","1,99,084","47,027",28.00,35.83,13.16,28.12,35.35,15.07
569,Udupi,"1,77,842","1,37,008","40,834",33.94,36.36,22.75,28.91,30.83,23.91
570,Chikmagalur,"2,07,885","1,85,121","22,764",30.92,34.80,14.67,36.39,41.06,18.90
571,Tumkur,"5,17,134","4,55,175","61,959",41.35,46.76,18.75,38.93,44.14,20.85
572,Bangalore,"11,31,566","1,14,147","10,17,419",18.67,27.37,17.49,24.61,28.02,24.27
573,Mandya,"2,96,205","2,65,369","30,836",33.90,37.25,16.12,32.89,35.56,19.96
574,Hassan,"3,43,128","3,11,823","31,305",39.70,45.32,12.91,38.43,44.29,16.59
575,Dakshina Kannada,"3,76,818","2,32,812","1,44,006",41.70,48.69,30.33,35.72,42.17,28.64
576,Kodagu,"1,06,838","97,828","9,010",36.16,38.97,18.06,38.17,40.87,22.22
577,Mysore,"3,92,465","2,79,780","1,12,685",25.28,32.21,13.59,26.35,32.22,18.14
578,Chamarajanagar,"1,57,367","1,40,946","16,421",31.07,33.37,18.38,30.94,33.48,18.74
579,Gulbarga,"4,07,027","3,36,297","70,730",32.75,42.34,11.61,32.19,39.40,17.21
580,Yadgir,"2,30,561","2,06,893","23,668",39.74,43.78,19.85,39.48,43.60,21.63
581,Kolar,"2,63,824","2,21,653","42,171",34.91,43.55,13.92,34.71,42.55,17.64
582,Chikkaballapura,"2,55,326","2,25,345","29,981",44.01,50.40,16.94,41.27,46.99,21.55
583,Bangalore Rural,"1,44,392","1,18,053","26,339",32.76,37.63,15.92,29.97,33.65,20.12
584,Ramanagara,"1,87,110","1,58,984","28,126",36.29,40.18,21.36,35.00,39.51,21.28
