district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"17,34,501","13,55,409","3,79,092",81.89,79.94,90.70,82.37,80.87,88.23
556,Bagalkot,"6,76,407","4,85,014","1,91,393",78.03,74.82,89.04,82.68,81.46,85.95
557,Bijapur,"7,60,083","6,22,769","1,37,314",76.85,74.62,88.40,81.93,81.88,82.14
558,Bidar,"5,51,763","4,37,926","1,13,837",76.22,74.23,86.28,78.53,77.33,83.51
559,Raichur,"7,25,985","5,75,393","1,50,592",74.29,70.43,91.63,80.36,79.15,85.36
560,Koppal,"5,08,089","4,34,543","73,546",76.14,74.35,89.45,77.60,76.53,84.55
561,Gadag,"4,23,451","2,94,790","1,28,661",84.92,83.05,89.65,85.42,85.04,86.31
562,Dharwad,"6,90,948","3,52,687","3,38,261",85.76,81.00,92.15,88.04,86.61,89.58
563,Uttara Kannada,"4,98,304","3,70,334","1,27,970",78.33,75.93,86.68,81.89,79.93,88.12
564,Haveri,"6,01,951","4,89,263","1,12,688",79.68,77.94,88.95,82.45,81.66,86.08
565,Bellary,"9,69,388","6,61,534","3,07,854",87.03,84.81,92.99,86.79,85.32,90.13
566,Chitradurga,"6,67,479","5,60,184","1,07,295",79.80,78.00,92.55,77.92,76.40,86.99
567,Davanagere,"7,05,099","5,13,459","1,91,640",80.60,77.38,90.90,80.56,80.15,81.69
568,Shimoga,"6,52,789","4,49,946","2,02,843",82.11,78.79,90.85,83.63,81.17,89.66
569,Udupi,"4,59,446","3,33,571","1,25,875",85.48,84.02,92.99,89.52,88.60,92.04
570,Chikmagalur,"4,80,229","3,98,443","81,786",83.00,81.67,90.28,84.88,84.27,87.98
571,Tumkur,"10,78,431","8,76,518","2,01,913",79.75,77.81,91.36,79.61,78.25,86.12
572,Bangalore,"38,58,342","3,62,379","34,95,963",92.65,82.73,94.19,90.85,88.08,91.15
573,Mandya,"7,14,901","6,09,829","1,05,072",81.20,79.90,90.77,82.04,81.35,86.31
574,Hassan,"7,52,387","6,28,200","1,24,187",81.28,79.79,92.44,83.27,82.28,88.68
575,Dakshina Kannada,"9,14,476","5,12,709","4,01,767",88.92,86.35,94.08,91.66,90.18,93.61
576,Kodagu,"2,58,753","2,28,414","30,339",92.94,92.82,93.91,92.76,92.83,92.23
577,Mysore,"10,82,108","6,67,491","4,14,617",83.42,78.90,94.05,82.34,79.37,87.60
578,Chamarajanagar,"3,81,408","3,23,531","57,877",75.15,73.71,85.44,79.18,78.07,86.00
579,Gulbarga,"8,44,237","6,17,091","2,27,146",75.41,72.05,87.72,77.66,76.45,81.17
580,Yadgir,"4,37,241","3,70,338","66,903",73.68,72.29,83.63,79.83,79.12,84.03
581,Kolar,"5,84,590","4,31,414","1,53,176",82.53,80.14,91.88,81.43,79.14,88.65
582,Chikkaballapura,"5,35,565","4,40,963","94,602",81.76,80.27,91.21,83.71,83.32,85.59
583,Bangalore Rural,"3,89,989","2,92,534","97,455",83.70,81.17,94.79,84.80,83.43,89.19
584,Ramanagara,"4,58,841","3,64,229","94,612",79.59,77.56,89.65,86.34,85.69,88.93
