district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"12,38,010","9,32,494","3,05,516",92.94,92.61,94.07,90.21,89.95,91.00
556,Bagalkot,"4,55,410","3,12,009","1,43,401",90.30,89.00,93.70,89.02,88.82,89.47
557,Bijapur,"5,08,406","4,00,548","1,07,858",88.49,87.47,92.52,87.64,88.22,85.54
558,Bidar,"3,84,430","2,93,463","90,967",86.13,85.28,89.39,83.74,82.95,86.42
559,Raichur,"4,61,421","3,46,712","1,14,709",86.96,84.63,94.57,87.00,86.45,88.70
560,Koppal,"3,29,092","2,72,414","56,678",88.61,87.84,92.73,84.82,84.11,88.44
561,Gadag,"2,82,087","1,87,224","94,863",93.75,92.88,95.50,90.88,91.63,89.42
562,Dharwad,"5,00,900","2,32,906","2,67,994",93.29,91.74,94.81,92.12,92.93,91.42
563,Uttara Kannada,"3,80,745","2,77,300","1,03,445",88.61,88.12,89.98,88.43,87.89,89.90
564,Haveri,"4,38,760","3,48,798","89,962",90.35,89.59,93.54,89.41,89.46,89.19
565,Bellary,"6,41,681","4,02,088","2,39,593",93.69,92.87,95.32,91.24,90.48,92.55
566,Chitradurga,"4,44,024","3,60,218","83,806",90.33,89.41,94.94,86.50,85.64,90.40
567,Davanagere,"5,04,373","3,54,534","1,49,839",89.69,88.37,93.06,86.12,86.89,84.37
568,Shimoga,"4,80,996","3,17,081","1,63,915",91.57,90.88,93.00,89.99,89.25,91.46
569,Udupi,"3,09,998","2,20,593","89,405",91.42,90.56,95.01,92.43,92.12,93.20
570,Chikmagalur,"3,26,255","2,62,318","63,937",91.38,90.89,93.53,91.16,91.18,91.09
571,Tumkur,"7,38,124","5,84,984","1,53,140",91.27,90.47,94.85,88.13,87.96,88.78
572,Bangalore,"28,93,953","2,69,695","26,24,258",94.55,88.55,95.39,92.89,90.73,93.12
573,Mandya,"5,14,148","4,32,897","81,251",91.47,91.12,93.52,89.39,89.39,89.38
574,Hassan,"5,12,731","4,13,617","99,114",92.88,92.49,94.98,91.49,91.57,91.15
575,Dakshina Kannada,"5,82,498","3,12,594","2,69,904",92.60,91.04,95.23,93.81,93.11,94.65
576,Kodagu,"1,62,419","1,40,222","22,197",95.07,95.10,94.90,94.37,94.61,92.94
577,Mysore,"8,07,031","4,83,222","3,23,809",91.00,88.68,95.52,87.55,86.11,89.79
578,Chamarajanagar,"2,72,121","2,27,375","44,746",83.73,82.87,89.07,83.90,83.15,87.95
579,Gulbarga,"5,73,207","3,95,736","1,77,471",87.60,86.21,91.18,84.30,84.04,84.87
580,Yadgir,"2,76,472","2,27,172","49,300",87.57,86.98,90.88,87.18,86.98,88.11
581,Kolar,"3,94,176","2,76,268","1,17,908",91.01,89.91,94.22,86.81,85.42,90.28
582,Chikkaballapura,"3,41,335","2,69,952","71,383",91.07,90.31,94.53,88.78,88.83,88.62
583,Bangalore Rural,"2,82,416","2,06,882","75,534",91.95,90.59,96.67,89.51,88.96,91.08
584,Ramanagara,"3,12,618","2,41,705","70,913",90.21,89.78,91.95,90.79,90.84,90.61
