district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"4,96,491","4,22,915","73,576",62.23,60.66,76.80,67.71,66.15,78.31
556,Bagalkot,"2,20,997","1,73,005","47,992",57.82,55.15,74.05,72.10,70.88,76.90
557,Bijapur,"2,51,677","2,22,221","29,456",55.13,53.75,70.01,72.40,72.49,71.73
558,Bidar,"1,67,333","1,44,463","22,870",57.24,55.96,71.37,68.70,67.98,73.67
559,Raichur,"2,64,564","2,28,681","35,883",54.66,51.68,81.09,70.92,70.16,76.19
560,Koppal,"1,78,997","1,62,129","16,868",58.65,57.34,77.98,67.09,66.47,73.67
561,Gadag,"1,41,364","1,07,566","33,798",71.33,70.37,75.04,76.29,75.58,78.64
562,Dharwad,"1,90,048","1,19,781","70,267",70.21,66.02,81.72,78.84,76.49,83.20
563,Uttara Kannada,"1,17,559","93,034","24,525",56.38,53.63,73.41,66.06,62.94,81.35
564,Haveri,"1,63,191","1,40,465","22,726",60.14,58.80,72.56,68.19,67.12,75.62
565,Bellary,"3,27,707","2,59,446","68,261",76.58,74.70,85.76,79.23,78.39,82.57
566,Chitradurga,"2,23,455","1,99,966","23,489",63.14,61.98,81.82,65.09,63.96,76.67
567,Davanagere,"2,00,726","1,58,925","41,801",62.61,58.92,83.05,69.32,68.33,73.36
568,Shimoga,"1,71,793","1,32,865","38,928",61.83,58.00,81.55,69.80,66.74,82.78
569,Udupi,"1,49,448","1,12,978","36,470",76.94,75.40,88.30,84.03,82.46,89.31
570,Chikmagalur,"1,53,974","1,36,125","17,849",66.64,65.56,77.32,74.07,73.53,78.41
571,Tumkur,"3,40,307","2,91,534","48,773",62.41,60.68,80.49,65.81,64.05,78.72
572,Bangalore,"9,64,389","92,684","8,71,705",86.15,68.76,89.83,85.23,81.20,85.68
573,Mandya,"2,00,753","1,76,932","23,821",62.40,60.87,81.16,67.78,66.67,77.25
574,Hassan,"2,39,656","2,14,583","25,073",63.59,62.51,81.59,69.84,68.82,80.09
575,Dakshina Kannada,"3,31,978","2,00,115","1,31,863",83.89,80.79,91.97,88.10,85.96,91.57
576,Kodagu,"96,334","88,192","8,142",89.33,89.24,90.63,90.17,90.15,90.37
577,Mysore,"2,75,077","1,84,269","90,808",65.30,59.60,88.08,70.09,65.86,80.59
578,Chamarajanagar,"1,09,287","96,156","13,131",57.70,56.06,74.13,69.45,68.22,79.96
579,Gulbarga,"2,71,030","2,21,355","49,675",55.93,53.72,73.73,66.59,65.82,70.23
580,Yadgir,"1,60,769","1,43,166","17,603",54.79,53.77,65.92,69.73,69.20,74.37
581,Kolar,"1,90,414","1,55,146","35,268",68.52,66.57,83.34,72.17,69.99,83.63
582,Chikkaballapura,"1,94,230","1,71,011","23,219",68.57,67.70,79.62,76.07,75.89,77.45
583,Bangalore Rural,"1,07,573","85,652","21,921",67.79,65.40,87.32,74.50,72.55,83.23
584,Ramanagara,"1,46,223","1,22,524","23,699",61.51,58.49,83.35,78.15,77.07,84.26
