district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"3,71,167","3,20,585","50,582",18.11,20.06,9.30,17.63,19.13,11.77
556,Bagalkot,"1,41,674","1,10,378","31,296",21.97,25.18,10.96,17.32,18.54,14.05
557,Bijapur,"1,67,639","1,37,791","29,848",23.15,25.38,11.60,18.07,18.12,17.86
558,Bidar,"1,50,845","1,28,373","22,472",23.78,25.77,13.72,21.47,22.67,16.49
559,Raichur,"1,77,428","1,51,600","25,828",25.71,29.57,8.37,19.64,20.85,14.64
560,Koppal,"1,46,677","1,33,240","13,437",23.86,25.65,10.55,22.40,23.47,15.45
561,Gadag,"72,271","51,865","20,406",15.08,16.95,10.35,14.58,14.96,13.69
562,Dharwad,"93,885","54,533","39,352",14.24,19.00,7.85,11.96,13.39,10.42
563,Uttara Kannada,"1,10,222","92,971","17,251",21.67,24.07,13.32,18.11,20.07,11.88
564,Haveri,"1,28,115","1,09,889","18,226",20.32,22.06,11.05,17.55,18.34,13.92
565,Bellary,"1,47,492","1,13,785","33,707",12.97,15.19,7.01,13.21,14.68,9.87
566,Chitradurga,"1,89,108","1,73,058","16,050",20.20,22.00,7.45,22.08,23.60,13.01
567,Davanagere,"1,70,108","1,27,162","42,946",19.40,22.62,9.10,19.44,19.85,18.31
568,Shimoga,"1,27,809","1,04,405","23,404",17.89,21.21,9.15,16.37,18.83,10.34
569,Udupi,"53,795","42,904","10,891",14.52,15.98,7.01,10.48,11.40,7.96
570,Chikmagalur,"85,545","74,375","11,170",17.00,18.33,9.72,15.12,15.73,12.02
571,Tumkur,"2,76,215","2,43,681","32,534",20.25,22.19,8.64,20.39,21.75,13.88
572,Bangalore,"3,88,585","49,028","3,39,557",7.35,17.27,5.81,9.15,11.92,8.85
573,Mandya,"1,56,507","1,39,836","16,671",18.80,20.10,9.23,17.96,18.65,13.69
574,Hassan,"1,51,193","1,35,334","15,859",18.72,20.21,7.56,16.73,17.72,11.32
575,Dakshina Kannada,"83,245","55,842","27,403",11.08,13.65,5.92,8.34,9.82,6.39
576,Kodagu,"20,185","17,630","2,555",7.06,7.18,6.09,7.24,7.17,7.77
577,Mysore,"2,32,160","1,73,461","58,699",16.58,21.10,5.95,17.66,20.63,12.40
578,Chamarajanagar,"1,00,285","90,862","9,423",24.85,26.29,14.56,20.82,21.93,14.00
579,Gulbarga,"2,42,791","1,90,106","52,685",24.59,27.95,12.28,22.34,23.55,18.83
580,Yadgir,"1,10,455","97,736","12,719",26.32,27.71,16.37,20.17,20.88,15.97
581,Kolar,"1,33,282","1,13,680","19,602",17.47,19.86,8.12,18.57,20.86,11.35
582,Chikkaballapura,"1,04,213","88,283","15,930",18.24,19.73,8.79,16.29,16.68,14.41
583,Bangalore Rural,"69,902","58,087","11,815",16.30,18.83,5.21,15.20,16.57,10.81
584,Ramanagara,"72,618","60,845","11,773",20.41,22.44,10.35,13.66,14.31,11.07
