district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"1,34,412","1,04,212","30,200",7.06,7.39,5.93,9.79,10.05,9.00
556,Bagalkot,"56,165","39,287","16,878",9.70,11.00,6.30,10.98,11.18,10.53
557,Bijapur,"71,705","53,467","18,238",11.51,12.53,7.48,12.36,11.78,14.46
558,Bidar,"74,620","60,320","14,300",13.87,14.72,10.61,16.26,17.05,13.58
559,Raichur,"68,952","54,336","14,616",13.04,15.37,5.43,13.00,13.55,11.30
560,Koppal,"58,882","51,473","7,409",11.39,12.16,7.27,15.18,15.89,11.56
561,Gadag,"28,325","17,101","11,224",6.25,7.12,4.50,9.12,8.37,10.58
562,Dharwad,"42,876","17,713","25,163",6.71,8.26,5.19,7.88,7.07,8.58
563,Uttara Kannada,"49,820","38,193","11,627",11.39,11.88,10.02,11.57,12.11,10.10
564,Haveri,"51,971","41,073","10,898",9.65,10.41,6.46,10.59,10.54,10.81
565,Bellary,"61,577","42,282","19,295",6.31,7.13,4.68,8.76,9.52,7.45
566,Chitradurga,"69,287","60,385","8,902",9.67,10.59,5.06,13.50,14.36,9.60
567,Davanagere,"81,266","53,499","27,767",10.31,11.63,6.94,13.88,13.11,15.63
568,Shimoga,"53,491","38,186","15,305",8.43,9.12,7.00,10.01,10.75,8.54
569,Udupi,"25,401","18,874","6,527",8.58,9.44,4.99,7.57,7.88,6.80
570,Chikmagalur,"31,634","25,379","6,255",8.62,9.11,6.47,8.84,8.82,8.91
571,Tumkur,"99,388","80,040","19,348",8.73,9.53,5.15,11.87,12.04,11.22
572,Bangalore,"2,21,408","27,565","1,93,843",5.45,11.45,4.61,7.11,9.27,6.88
573,Mandya,"61,055","51,399","9,656",8.53,8.88,6.48,10.61,10.61,10.62
574,Hassan,"47,721","38,094","9,627",7.12,7.51,5.02,8.51,8.43,8.85
575,Dakshina Kannada,"38,405","23,145","15,260",7.40,8.96,4.77,6.19,6.89,5.35
576,Kodagu,"9,681","7,994","1,687",4.93,4.90,5.10,5.63,5.39,7.06
577,Mysore,"1,14,772","77,950","36,822",9.00,11.32,4.48,12.45,13.89,10.21
578,Chamarajanagar,"52,205","46,072","6,133",16.27,17.13,10.93,16.10,16.85,12.05
579,Gulbarga,"1,06,794","75,164","31,630",12.40,13.79,8.82,15.70,15.96,15.13
580,Yadgir,"40,663","34,009","6,654",12.43,13.02,9.12,12.82,13.02,11.89
581,Kolar,"59,872","47,173","12,699",8.99,10.09,5.78,13.19,14.58,9.72
582,Chikkaballapura,"43,117","33,949","9,168",8.93,9.69,5.47,11.22,11.17,11.38
583,Bangalore Rural,"33,083","25,686","7,397",8.05,9.41,3.33,10.49,11.04,8.92
584,Ramanagara,"31,731","24,385","7,346",9.79,10.22,8.05,9.21,9.16,9.39
