district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"2,36,755","2,16,373","20,382",37.77,39.34,23.20,32.29,33.85,21.69
556,Bagalkot,"85,509","71,091","14,418",42.18,44.85,25.95,27.90,29.12,23.10
557,Bijapur,"95,934","84,324","11,610",44.87,46.25,29.99,27.60,27.51,28.27
558,Bidar,"76,225","68,053","8,172",42.76,44.04,28.63,31.30,32.02,26.33
559,Raichur,"1,08,476","97,264","11,212",45.34,48.32,18.91,29.08,29.84,23.81
560,Koppal,"87,795","81,767","6,028",41.35,42.66,22.02,32.91,33.53,26.33
561,Gadag,"43,946","34,764","9,182",28.67,29.63,24.96,23.71,24.42,21.36
562,Dharwad,"51,009","36,820","14,189",29.79,33.98,18.28,21.16,23.51,16.80
563,Uttara Kannada,"60,402","54,778","5,624",43.62,46.37,26.59,33.94,37.06,18.65
564,Haveri,"76,144","68,816","7,328",39.86,41.20,27.44,31.81,32.88,24.38
565,Bellary,"85,915","71,503","14,412",23.42,25.30,14.24,20.77,21.61,17.43
566,Chitradurga,"1,19,821","1,12,673","7,148",36.86,38.02,18.18,34.91,36.04,23.33
567,Davanagere,"88,842","73,663","15,179",37.39,41.08,16.95,30.68,31.67,26.64
568,Shimoga,"74,318","66,219","8,099",38.17,42.00,18.45,30.20,33.26,17.22
569,Udupi,"28,394","24,030","4,364",23.06,24.60,11.70,15.97,17.54,10.69
570,Chikmagalur,"53,911","48,996","4,915",33.36,34.44,22.68,25.93,26.47,21.59
571,Tumkur,"1,76,827","1,63,641","13,186",37.59,39.32,19.51,34.19,35.95,21.28
572,Bangalore,"1,67,177","21,463","1,45,714",13.85,31.24,10.17,14.77,18.80,14.32
573,Mandya,"95,452","88,437","7,015",37.60,39.13,18.84,32.22,33.33,22.75
574,Hassan,"1,03,472","97,240","6,232",36.41,37.49,18.41,30.16,31.18,19.91
575,Dakshina Kannada,"44,840","32,697","12,143",16.11,19.21,8.03,11.90,14.04,8.43
576,Kodagu,"10,504","9,636",868,10.67,10.76,9.37,9.83,9.85,9.63
577,Mysore,"1,17,388","95,511","21,877",34.70,40.40,11.92,29.91,34.14,19.41
578,Chamarajanagar,"48,080","44,790","3,290",42.30,43.94,25.87,30.55,31.78,20.04
579,Gulbarga,"1,35,997","1,14,942","21,055",44.07,46.28,26.27,33.41,34.18,29.77
580,Yadgir,"69,792","63,727","6,065",45.21,46.23,34.08,30.27,30.80,25.63
581,Kolar,"73,410","66,507","6,903",31.48,33.43,16.66,27.83,30.01,16.37
582,Chikkaballapura,"61,096","54,334","6,762",31.43,32.30,20.38,23.93,24.11,22.55
583,Bangalore Rural,"36,819","32,401","4,418",32.21,34.60,12.68,25.50,27.45,16.77
584,Ramanagara,"40,887","36,460","4,427",38.49,41.51,16.65,21.85,22.93,15.74
