district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"7,11,980","6,88,442","23,538",37.62,44.30,7.32,33.81,41.08,5.48
556,Bagalkot,"1,96,199","1,87,302","8,897",27.13,33.53,5.14,23.98,31.46,4.00
557,Bijapur,"2,62,217","2,55,255","6,962",30.22,35.03,5.31,28.26,33.56,4.16
558,Bidar,"1,41,302","1,37,568","3,734",24.89,29.32,2.50,20.11,24.29,2.74
559,Raichur,"2,45,299","2,37,366","7,933",28.21,33.38,4.95,27.15,32.65,4.50
560,Koppal,"1,63,413","1,60,424","2,989",30.37,33.79,4.99,24.96,28.25,3.44
561,Gadag,"1,27,441","1,13,172","14,269",30.44,37.68,12.04,25.71,32.65,9.57
562,Dharwad,"1,64,279","1,47,277","17,002",25.80,41.18,5.15,20.93,36.17,4.50
563,Uttara Kannada,"1,11,581","1,07,089","4,492",24.66,30.48,4.44,18.34,23.11,3.09
564,Haveri,"2,03,055","1,95,926","7,129",30.54,35.04,6.57,27.81,32.70,5.45
565,Bellary,"2,58,080","2,44,270","13,810",27.28,35.30,5.74,23.11,31.51,4.04
566,Chitradurga,"2,86,245","2,82,576","3,669",38.42,43.46,2.82,33.42,38.54,2.97
567,Davanagere,"2,30,846","2,24,465","6,381",30.76,39.24,3.62,26.38,35.04,2.72
568,Shimoga,"2,04,493","1,97,135","7,358",30.47,40.59,3.82,26.20,35.56,3.25
569,Udupi,"63,143","59,590","3,553",19.92,23.08,3.71,12.30,15.83,2.60
570,Chikmagalur,"1,55,392","1,51,744","3,648",28.64,33.00,4.78,27.47,32.09,3.92
571,Tumkur,"5,05,910","4,96,557","9,353",45.74,52.51,5.37,37.35,44.33,3.99
572,Bangalore,"95,619","60,435","35,184",3.34,22.33,0.39,2.25,14.69,0.92
573,Mandya,"3,88,981","3,81,536","7,445",48.93,54.62,7.24,44.64,50.89,6.12
574,Hassan,"4,37,034","4,31,714","5,320",55.03,61.92,3.47,48.37,56.54,3.80
575,Dakshina Kannada,"33,810","28,567","5,243",5.25,7.09,1.55,3.39,5.02,1.22
576,Kodagu,"21,174","20,927",247,7.90,8.77,0.73,7.59,8.51,0.75
577,Mysore,"3,49,337","3,39,942","9,395",35.84,50.05,2.44,26.58,40.42,1.98
578,Chamarajanagar,"1,13,105","1,10,099","3,006",27.73,30.94,4.81,23.48,26.57,4.47
579,Gulbarga,"2,20,198","2,13,022","7,176",24.53,30.45,2.86,20.26,26.39,2.56
580,Yadgir,"1,59,333","1,54,076","5,257",32.19,35.75,6.81,29.09,32.92,6.60
581,Kolar,"1,83,057","1,78,897","4,160",33.04,40.94,2.16,25.50,32.82,2.41
582,Chikkaballapura,"2,12,226","2,07,530","4,696",40.56,46.33,3.99,33.17,39.21,4.25
583,Bangalore Rural,"1,27,770","1,23,448","4,322",37.33,44.72,4.81,27.78,35.21,3.96
584,Ramanagara,"2,08,130","2,04,579","3,551",44.57,53.01,2.78,39.16,48.13,3.34
