district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"5,09,184","4,90,586","18,598",39.93,49.70,6.66,37.10,47.32,5.54
556,Bagalkot,"1,49,478","1,42,078","7,400",32.94,43.31,5.83,29.22,40.44,4.62
557,Bijapur,"1,95,380","1,89,649","5,731",36.48,44.33,5.70,33.68,41.77,4.54
558,Bidar,"1,02,112","99,169","2,943",27.65,34.28,2.42,22.24,28.03,2.80
559,Raichur,"1,77,666","1,71,071","6,595",37.14,46.90,5.22,33.50,42.66,5.10
560,Koppal,"1,20,405","1,17,940","2,465",38.54,44.78,5.36,31.03,36.41,3.85
561,Gadag,"94,710","83,640","11,070",35.27,46.28,13.21,30.51,40.93,10.43
562,Dharwad,"1,19,544","1,05,998","13,546",26.22,47.84,5.01,21.98,42.29,4.62
563,Uttara Kannada,"80,891","77,318","3,573",23.81,30.81,4.13,18.79,24.51,3.11
564,Haveri,"1,64,407","1,57,999","6,408",37.35,44.34,7.74,33.50,40.53,6.35
565,Bellary,"1,80,732","1,69,655","11,077",31.51,44.40,6.04,25.70,38.18,4.28
566,Chitradurga,"1,98,978","1,95,965","3,013",43.59,51.65,2.92,38.76,46.59,3.25
567,Davanagere,"1,85,493","1,80,007","5,486",36.19,48.72,4.14,31.67,44.12,3.09
568,Shimoga,"1,57,747","1,51,085","6,662",33.34,47.51,4.29,29.51,42.53,3.72
569,Udupi,"38,477","36,133","2,344",18.45,22.02,3.53,11.47,15.09,2.44
570,Chikmagalur,"1,10,592","1,07,368","3,224",34.24,40.86,5.45,30.90,37.32,4.59
571,Tumkur,"3,55,277","3,47,297","7,980",48.88,58.46,5.47,42.42,52.22,4.63
572,Bangalore,"67,241","46,286","20,955",3.20,23.62,0.34,2.16,15.57,0.74
573,Mandya,"2,86,040","2,79,511","6,529",53.28,60.86,8.31,49.73,57.71,7.18
574,Hassan,"2,87,621","2,83,092","4,529",55.49,65.25,3.57,51.32,62.67,4.16
575,Dakshina Kannada,"25,302","21,491","3,811",6.46,9.28,1.70,4.08,6.40,1.34
576,Kodagu,"13,795","13,598",197,8.89,10.12,0.83,8.02,9.17,0.82
577,Mysore,"2,62,372","2,54,678","7,694",36.68,54.22,2.55,28.46,45.38,2.13
578,Chamarajanagar,"90,613","87,759","2,854",33.59,38.08,5.83,27.94,32.09,5.61
579,Gulbarga,"1,67,762","1,62,076","5,686",30.18,40.83,2.74,24.67,34.42,2.72
580,Yadgir,"1,22,031","1,17,708","4,323",43.22,49.53,7.86,38.48,45.07,7.73
581,Kolar,"1,20,749","1,17,443","3,306",33.43,44.26,2.06,26.59,36.31,2.53
582,Chikkaballapura,"1,36,546","1,32,902","3,644",42.96,51.52,4.07,35.52,43.73,4.52
583,Bangalore Rural,"92,771","89,242","3,529",39.08,48.94,5.09,29.40,38.37,4.26
584,Ramanagara,"1,39,792","1,36,933","2,859",46.69,57.28,3.07,40.60,51.46,3.65
