district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"2,02,796","1,97,856","4,940",33.52,36.06,10.06,27.66,30.95,5.26
556,Bagalkot,"46,721","45,224","1,497",17.56,19.97,2.94,15.24,18.53,2.40
557,Bijapur,"66,837","65,606","1,231",18.54,19.92,3.58,19.23,21.40,3.00
558,Bidar,"39,190","38,399",791,19.60,21.12,2.90,16.09,18.07,2.55
559,Raichur,"67,633","66,295","1,338",14.37,15.54,3.97,18.13,20.34,2.84
560,Koppal,"43,008","42,484",524,18.90,19.93,3.68,16.12,17.42,2.29
561,Gadag,"32,731","29,532","3,199",22.99,26.58,9.11,17.66,20.75,7.44
562,Dharwad,"44,735","41,279","3,456",24.92,31.90,5.73,18.56,26.36,4.09
563,Uttara Kannada,"30,690","29,771",919,26.49,29.85,5.70,17.25,20.14,3.05
564,Haveri,"38,648","37,927",721,18.07,19.76,2.38,16.15,18.12,2.40
565,Bellary,"77,348","74,615","2,733",20.65,23.88,4.83,18.70,22.55,3.31
566,Chitradurga,"87,267","86,611",656,30.23,31.96,2.40,25.42,27.70,2.14
567,Davanagere,"45,353","44,458",895,20.00,23.30,1.75,15.66,19.11,1.57
568,Shimoga,"46,746","46,050",696,24.31,28.68,1.77,18.99,23.13,1.48
569,Udupi,"24,666","23,457","1,209",22.04,24.47,4.12,13.87,17.12,2.96
570,Chikmagalur,"44,800","44,376",424,17.70,19.26,2.10,21.55,23.97,1.86
571,Tumkur,"1,50,633","1,49,260","1,373",41.00,44.46,5.05,29.13,32.79,2.22
572,Bangalore,"28,378","14,149","14,229",3.83,19.24,0.56,2.51,12.40,1.40
573,Mandya,"1,02,941","1,02,025",916,40.97,44.03,3.48,34.75,38.45,2.97
574,Hassan,"1,49,413","1,48,622",791,54.31,57.37,3.08,43.54,47.66,2.53
575,Dakshina Kannada,"8,508","7,076","1,432",3.59,4.48,1.27,2.26,3.04,0.99
576,Kodagu,"7,379","7,329",50,6.22,6.64,0.39,6.91,7.49,0.55
577,Mysore,"86,965","85,264","1,701",33.84,41.82,1.97,22.16,30.48,1.51
578,Chamarajanagar,"22,492","22,340",152,15.79,17.20,1.63,14.29,15.85,0.93
579,Gulbarga,"52,436","50,946","1,490",15.50,17.01,3.36,12.88,15.15,2.11
580,Yadgir,"37,302","36,368",934,17.19,18.38,4.25,16.18,17.58,3.95
581,Kolar,"62,308","61,454",854,32.39,36.33,2.49,23.62,27.73,2.03
582,Chikkaballapura,"75,680","74,628","1,052",37.17,39.82,3.69,29.64,33.12,3.51
583,Bangalore Rural,"34,999","34,206",793,33.96,37.66,3.70,24.24,28.98,3.01
584,Ramanagara,"68,338","67,646",692,40.94,46.33,1.98,36.52,42.55,2.46
