district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"6,49,517","6,16,189","33,328",31.29,36.27,8.67,30.85,36.77,7.76
556,Bagalkot,"3,03,243","2,78,402","24,841",37.91,45.35,12.36,37.07,46.76,11.16
557,Bijapur,"3,51,600","3,37,640","13,960",39.92,45.72,9.93,37.90,44.39,8.35
558,Bidar,"2,80,091","2,68,669","11,422",37.49,43.55,6.84,39.86,47.44,8.38
559,Raichur,"3,83,526","3,65,934","17,592",44.83,52.41,10.77,42.45,50.34,9.97
560,Koppal,"2,73,016","2,63,976","9,040",42.38,46.06,15.04,41.70,46.49,10.39
561,Gadag,"2,00,310","1,70,796","29,514",39.23,46.20,21.52,40.41,49.27,19.80
562,Dharwad,"2,07,642","1,78,905","28,737",27.25,41.16,8.59,26.46,43.93,7.61
563,Uttara Kannada,"1,16,336","1,10,836","5,500",14.55,17.75,3.41,19.12,23.92,3.79
564,Haveri,"3,11,263","2,93,204","18,059",43.69,48.74,16.76,42.63,48.94,13.79
565,Bellary,"4,06,092","3,67,039","39,053",39.25,48.40,14.68,36.36,47.34,11.43
566,Chitradurga,"2,94,337","2,90,192","4,145",33.45,37.73,3.20,34.36,39.58,3.36
567,Davanagere,"2,95,873","2,83,978","11,895",34.54,43.73,5.13,33.81,44.33,5.07
568,Shimoga,"2,46,464","2,32,826","13,638",31.36,39.81,9.12,31.57,42.00,6.03
569,Udupi,"63,390","58,864","4,526",17.98,20.38,5.65,12.35,15.64,3.31
570,Chikmagalur,"1,26,600","1,20,626","5,974",21.10,23.67,7.09,22.38,25.51,6.43
571,Tumkur,"3,52,286","3,45,071","7,215",23.84,27.20,3.75,26.01,30.80,3.08
572,Bangalore,"97,914","46,718","51,196",2.61,16.78,0.41,2.31,11.36,1.33
573,Mandya,"2,16,159","2,07,857","8,302",24.52,26.73,8.38,24.81,27.73,6.82
574,Hassan,"1,65,910","1,61,805","4,105",14.65,16.32,2.13,18.36,21.19,2.93
575,Dakshina Kannada,"29,274","24,854","4,420",4.50,6.21,1.05,2.93,4.37,1.03
576,Kodagu,"15,153","14,808",345,4.31,4.75,0.68,5.43,6.02,1.05
577,Mysore,"3,11,002","2,96,613","14,389",22.55,31.03,2.61,23.66,35.27,3.04
578,Chamarajanagar,"2,14,303","2,06,561","7,742",43.04,47.46,11.59,44.49,49.85,11.50
579,Gulbarga,"4,15,267","3,96,785","18,482",39.65,48.37,7.73,38.20,49.16,6.60
580,Yadgir,"2,34,655","2,24,499","10,156",40.61,44.69,11.50,42.84,47.96,12.76
581,Kolar,"2,01,233","1,93,865","7,368",25.37,31.10,2.97,28.03,35.57,4.26
582,Chikkaballapura,"2,06,939","1,99,796","7,143",29.47,33.40,4.57,32.35,37.75,6.46
583,Bangalore Rural,"84,108","80,266","3,842",21.40,24.87,6.16,18.29,22.89,3.52
584,Ramanagara,"1,02,460","99,639","2,821",19.62,23.00,2.92,19.28,23.44,2.65
