district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"2,85,981","2,68,282","17,699",20.45,24.83,5.55,20.84,25.88,5.27
556,Bagalkot,"1,28,333","1,15,613","12,720",23.63,29.70,7.79,25.09,32.91,7.94
557,Bijapur,"1,53,584","1,46,360","7,224",26.28,31.36,6.35,26.47,32.24,5.73
558,Bidar,"1,40,518","1,34,015","6,503",26.08,31.71,4.62,30.61,37.88,6.18
559,Raichur,"1,56,852","1,48,293","8,559",28.15,34.89,6.12,29.57,36.98,6.62
560,Koppal,"1,10,161","1,06,195","3,966",26.02,29.24,8.87,28.39,32.79,6.19
561,Gadag,"87,914","74,254","13,660",24.65,31.13,11.65,28.32,36.34,12.88
562,Dharwad,"95,598","80,292","15,306",16.48,28.23,4.95,17.58,32.04,5.22
563,Uttara Kannada,"61,302","57,779","3,523",9.57,12.18,2.24,14.24,18.31,3.06
564,Haveri,"1,60,135","1,47,799","12,336",31.07,35.05,14.20,32.63,37.91,12.23
565,Bellary,"1,75,992","1,56,079","19,913",25.72,34.07,9.22,25.03,35.12,7.69
566,Chitradurga,"1,25,031","1,22,698","2,333",21.62,25.47,2.21,24.36,29.17,2.52
567,Davanagere,"1,47,543","1,40,594","6,949",23.63,31.46,3.61,25.19,34.46,3.91
568,Shimoga,"1,26,718","1,18,139","8,579",21.70,29.01,6.72,23.71,33.25,4.79
569,Udupi,"31,032","29,031","2,001",12.95,15.30,3.15,9.25,12.12,2.09
570,Chikmagalur,"59,233","55,680","3,553",14.77,16.98,5.15,16.55,19.35,5.06
571,Tumkur,"1,42,073","1,37,929","4,144",14.92,17.65,2.55,16.96,20.74,2.40
572,Bangalore,"62,549","27,088","35,461",1.80,12.08,0.36,2.01,9.11,1.26
573,Mandya,"1,01,222","96,558","4,664",16.96,18.78,6.11,17.60,19.94,5.13
574,Hassan,"62,993","60,548","2,445",8.44,9.77,1.41,11.24,13.40,2.25
575,Dakshina Kannada,"21,384","18,363","3,021",5.13,7.68,0.84,3.44,5.47,1.06
576,Kodagu,"7,636","7,411",225,3.61,4.09,0.44,4.44,5.00,0.94
577,Mysore,"1,66,378","1,57,071","9,307",16.22,23.50,2.04,18.05,27.99,2.58
578,Chamarajanagar,"1,22,735","1,17,668","5,067",34.85,38.88,9.87,37.84,43.03,9.96
579,Gulbarga,"1,84,016","1,73,464","10,552",24.21,31.82,4.59,27.06,36.84,5.05
580,Yadgir,"87,048","83,103","3,945",22.46,25.47,5.60,27.45,31.82,7.05
581,Kolar,"96,325","91,822","4,503",17.35,22.66,1.97,21.21,28.39,3.45
582,Chikkaballapura,"95,588","91,588","4,000",20.64,24.53,2.97,24.86,30.14,4.97
583,Bangalore Rural,"40,018","37,791","2,227",14.28,17.13,4.42,12.68,16.25,2.69
584,Ramanagara,"47,387","45,609","1,778",13.28,16.02,1.99,13.76,17.14,2.27
