district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"3,63,536","3,47,907","15,629",50.55,53.69,21.59,49.58,54.42,16.63
556,Bagalkot,"1,74,910","1,62,789","12,121",61.42,67.08,27.09,57.07,66.69,19.42
557,Bijapur,"1,98,016","1,91,280","6,736",65.40,69.05,25.92,56.96,62.40,16.40
558,Bidar,"1,39,573","1,34,654","4,919",59.33,63.12,17.47,57.31,63.36,15.85
559,Raichur,"2,26,674","2,17,641","9,033",70.66,75.53,27.41,60.76,66.77,19.18
560,Koppal,"1,62,855","1,57,781","5,074",65.32,67.26,36.66,61.04,64.69,22.16
561,Gadag,"1,12,396","96,542","15,854",61.66,65.66,46.16,60.65,67.83,36.89
562,Dharwad,"1,12,044","98,613","13,431",49.49,59.19,22.82,46.48,62.97,15.90
563,Uttara Kannada,"55,034","53,057","1,977",25.18,27.94,8.09,30.92,35.89,6.56
564,Haveri,"1,51,128","1,45,405","5,723",66.80,71.23,25.91,63.14,69.48,19.04
565,Bellary,"2,30,100","2,10,960","19,140",60.47,66.36,31.65,55.63,63.74,23.15
566,Chitradurga,"1,69,306","1,67,494","1,812",52.17,54.94,7.64,49.32,53.57,5.91
567,Davanagere,"1,48,330","1,43,384","4,946",56.12,64.34,10.66,51.22,61.65,8.68
568,Shimoga,"1,19,746","1,14,687","5,059",52.08,58.39,19.52,48.66,57.61,10.76
569,Udupi,"32,358","29,833","2,525",25.20,27.07,11.46,18.19,21.77,6.18
570,Chikmagalur,"67,367","64,946","2,421",33.47,35.35,14.82,32.41,35.08,10.64
571,Tumkur,"2,10,213","2,07,142","3,071",37.26,40.12,7.51,40.65,45.51,4.96
572,Bangalore,"35,365","19,630","15,735",5.41,28.08,0.61,3.13,17.20,1.55
573,Mandya,"1,14,937","1,11,299","3,638",38.39,40.19,16.30,38.80,41.94,11.80
574,Hassan,"1,02,917","1,01,257","1,660",24.11,25.24,5.19,29.99,32.47,5.30
575,Dakshina Kannada,"7,890","6,491","1,399",3.63,4.47,1.44,2.09,2.79,0.97
576,Kodagu,"7,517","7,397",120,5.49,5.78,1.49,7.04,7.56,1.33
577,Mysore,"1,44,624","1,39,542","5,082",37.67,45.88,4.89,36.85,49.88,4.51
578,Chamarajanagar,"91,568","88,893","2,675",59.70,63.96,16.92,58.19,63.07,16.29
579,Gulbarga,"2,31,251","2,23,321","7,930",64.34,69.79,20.43,56.81,66.41,11.21
580,Yadgir,"1,47,607","1,41,396","6,211",65.30,68.94,25.90,64.02,68.34,26.24
581,Kolar,"1,04,908","1,02,043","2,865",38.62,42.83,6.58,39.76,46.04,6.79
582,Chikkaballapura,"1,11,351","1,08,208","3,143",41.99,44.51,10.14,43.61,48.02,10.48
583,Bangalore Rural,"44,090","42,475","1,615",35.12,37.83,13.05,30.53,35.98,6.13
584,Ramanagara,"55,073","54,030","1,043",30.43,33.88,5.46,29.43,33.98,3.71
