district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"22,020","15,971","6,049",3.54,2.74,10.91,3.00,2.50,6.44
556,Bagalkot,"16,909","5,674","11,235",7.56,4.14,28.29,5.52,2.32,18.00
557,Bijapur,"10,493","7,576","2,917",2.68,2.30,6.77,3.02,2.47,7.10
558,Bidar,"6,917","5,105","1,812",2.90,2.42,8.24,2.84,2.40,5.84
559,Raichur,"8,236","6,436","1,800",1.90,1.57,4.82,2.21,1.97,3.82
560,Koppal,"8,003","6,565","1,438",3.20,2.71,10.49,3.00,2.69,6.28
561,Gadag,"5,792","2,254","3,538",3.74,2.18,9.80,3.13,1.58,8.23
562,Dharwad,"5,569","1,804","3,765",3.50,1.88,7.97,2.31,1.15,4.46
563,Uttara Kannada,"2,359","1,531",828,2.12,1.68,4.80,1.33,1.04,2.75
564,Haveri,"9,086","4,675","4,411",5.93,3.28,30.33,3.80,2.23,14.68
565,Bellary,"9,501","6,030","3,471",3.50,2.11,10.28,2.30,1.82,4.20
566,Chitradurga,"12,133","9,608","2,525",4.04,3.53,12.29,3.53,3.07,8.24
567,Davanagere,"15,427","7,339","8,088",6.28,2.57,26.80,5.33,3.16,14.19
568,Shimoga,"5,778","3,879","1,899",3.38,2.42,8.33,2.35,1.95,4.04
569,Udupi,"5,070","3,345","1,725",26.14,25.63,29.88,2.85,2.44,4.22
570,Chikmagalur,"3,273","2,661",612,2.67,2.37,5.66,1.57,1.44,2.69
571,Tumkur,"31,865","21,008","10,857",6.99,5.06,27.12,6.16,4.62,17.52
572,Bangalore,"35,387","4,057","31,330",5.52,5.38,5.55,3.13,3.55,3.08
573,Mandya,"8,373","6,066","2,307",3.09,2.37,11.90,2.83,2.29,7.48
574,Hassan,"6,426","5,368","1,058",1.70,1.23,9.62,1.87,1.72,3.38
575,Dakshina Kannada,"1,72,058","1,21,266","50,792",46.07,44.11,51.18,45.66,52.09,35.27
576,Kodagu,560,468,92,1.15,1.13,1.35,0.52,0.48,1.02
577,Mysore,"11,312","5,818","5,494",3.85,1.34,13.86,2.88,2.08,4.88
578,Chamarajanagar,"6,901","5,193","1,708",6.92,4.76,28.63,4.39,3.68,10.40
579,Gulbarga,"10,578","6,889","3,689",2.38,2.04,5.16,2.60,2.05,5.22
580,Yadgir,"6,228","3,688","2,540",3.78,1.84,24.88,2.70,1.78,10.73
581,Kolar,"12,944","6,802","6,142",5.34,3.07,22.60,4.91,3.07,14.56
582,Chikkaballapura,"9,440","5,993","3,447",3.11,2.57,10.03,3.70,2.66,11.50
583,Bangalore Rural,"7,346","4,654","2,692",5.75,3.87,21.15,5.09,3.94,10.22
584,Ramanagara,"8,260","4,391","3,869",6.39,3.36,28.29,4.41,2.76,13.76
