district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"38,322","24,627","13,695",3.48,3.07,4.86,2.79,2.38,4.08
556,Bagalkot,"27,888","9,734","18,154",7.49,4.67,14.85,5.45,2.77,11.33
557,Bijapur,"14,886","10,376","4,510",3.08,3.06,3.20,2.57,2.29,3.58
558,Bidar,"11,178","8,181","2,997",2.31,2.30,2.37,2.44,2.31,2.85
559,Raichur,"10,859","7,632","3,227",2.02,1.85,2.60,2.05,1.90,2.50
560,Koppal,"10,791","8,643","2,148",3.37,3.28,3.84,2.78,2.67,3.35
561,Gadag,"9,693","4,940","4,753",3.59,3.10,4.58,3.12,2.42,4.48
562,Dharwad,"10,894","4,147","6,747",2.58,2.46,2.70,2.00,1.65,2.30
563,Uttara Kannada,"7,133","4,039","3,094",2.31,1.86,3.55,1.66,1.28,2.69
564,Haveri,"11,131","7,501","3,630",3.17,2.77,4.88,2.27,1.92,3.60
565,Bellary,"13,331","7,298","6,033",2.35,2.09,2.86,1.90,1.64,2.33
566,Chitradurga,"14,102","9,513","4,589",2.90,2.83,3.26,2.75,2.26,4.95
567,Davanagere,"16,011","9,511","6,500",2.64,2.19,3.77,2.73,2.33,3.66
568,Shimoga,"9,309","5,367","3,942",2.15,1.96,2.54,1.74,1.51,2.20
569,Udupi,"5,510","3,992","1,518",3.30,3.42,2.77,1.64,1.67,1.58
570,Chikmagalur,"5,600","4,369","1,231",2.16,2.08,2.47,1.56,1.52,1.75
571,Tumkur,"22,658","15,610","7,048",3.06,2.81,4.17,2.71,2.35,4.09
572,Bangalore,"73,511","7,267","66,244",1.87,2.58,1.77,2.36,2.44,2.35
573,Mandya,"9,461","7,838","1,623",1.55,1.57,1.41,1.64,1.62,1.79
574,Hassan,"9,700","7,174","2,526",1.56,1.38,2.53,1.73,1.59,2.32
575,Dakshina Kannada,"16,149","10,392","5,757",2.93,3.11,2.61,2.60,3.10,2.02
576,Kodagu,989,801,188,0.83,0.77,1.20,0.57,0.54,0.79
577,Mysore,"16,850","9,082","7,768",1.15,0.88,1.68,1.83,1.62,2.15
578,Chamarajanagar,"7,106","5,738","1,368",3.12,2.60,6.28,2.19,2.10,2.69
579,Gulbarga,"15,313","9,600","5,713",2.18,2.37,1.69,2.25,2.04,2.73
580,Yadgir,"6,964","5,061","1,903",2.66,2.25,4.97,2.20,1.94,3.40
581,Kolar,"11,234","6,040","5,194",2.51,1.96,4.13,2.47,1.87,3.98
582,Chikkaballapura,"10,836","5,496","5,340",2.74,2.43,4.15,2.82,1.81,6.63
583,Bangalore Rural,"12,111","6,074","6,037",5.05,2.71,13.15,3.84,2.61,7.28
584,Ramanagara,"9,463","4,443","5,020",3.12,2.17,7.04,2.75,1.67,6.41
