district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"60,342","40,598","19,744",3.50,2.94,6.04,2.87,2.42,4.60
556,Bagalkot,"44,797","15,408","29,389",7.51,4.45,18.04,5.48,2.59,13.20
557,Bijapur,"25,379","17,952","7,427",2.94,2.77,3.85,2.74,2.36,4.44
558,Bidar,"18,095","13,286","4,809",2.51,2.34,3.38,2.58,2.35,3.53
559,Raichur,"19,095","14,068","5,027",1.98,1.73,3.09,2.11,1.94,2.85
560,Koppal,"18,794","15,208","3,586",3.30,3.03,5.32,2.87,2.68,4.12
561,Gadag,"15,485","7,194","8,291",3.65,2.70,6.07,3.12,2.08,5.56
562,Dharwad,"16,463","5,951","10,512",2.88,2.22,3.77,2.10,1.46,2.78
563,Uttara Kannada,"9,492","5,570","3,922",2.24,1.80,3.80,1.56,1.20,2.70
564,Haveri,"20,217","12,176","8,041",4.15,2.96,10.44,2.77,2.03,6.14
565,Bellary,"22,832","13,328","9,504",2.80,2.10,4.66,2.04,1.72,2.78
566,Chitradurga,"26,235","19,121","7,114",3.34,3.12,4.91,3.06,2.61,5.77
567,Davanagere,"31,438","16,850","14,588",3.86,2.33,8.74,3.59,2.63,6.22
568,Shimoga,"15,087","9,246","5,841",2.54,2.13,3.63,1.93,1.67,2.58
569,Udupi,"10,580","7,337","3,243",12.66,13.00,10.92,2.06,1.95,2.37
570,Chikmagalur,"8,873","7,030","1,843",2.33,2.19,3.11,1.57,1.49,1.98
571,Tumkur,"54,523","36,618","17,905",4.63,3.77,9.75,4.02,3.27,7.64
572,Bangalore,"1,08,898","11,324","97,574",2.70,3.40,2.59,2.56,2.75,2.54
573,Mandya,"17,834","13,904","3,930",2.09,1.87,3.74,2.05,1.85,3.23
574,Hassan,"16,126","12,542","3,584",1.62,1.31,3.88,1.78,1.64,2.56
575,Dakshina Kannada,"1,88,207","1,31,658","56,549",21.16,21.86,19.75,18.86,23.16,13.18
576,Kodagu,"1,549","1,269",280,0.95,0.91,1.23,0.56,0.52,0.85
577,Mysore,"28,162","14,900","13,262",1.95,1.03,4.09,2.14,1.77,2.80
578,Chamarajanagar,"14,007","10,931","3,076",4.37,3.34,11.71,2.91,2.64,4.57
579,Gulbarga,"25,891","16,489","9,402",2.26,2.23,2.38,2.38,2.04,3.36
580,Yadgir,"13,192","8,749","4,443",3.14,2.07,10.76,2.41,1.87,5.58
581,Kolar,"24,178","12,842","11,336",3.58,2.42,8.11,3.37,2.36,6.56
582,Chikkaballapura,"20,276","11,489","8,787",2.90,2.49,5.46,3.17,2.17,7.95
583,Bangalore Rural,"19,457","10,728","8,729",5.29,3.14,14.76,4.23,3.06,7.99
584,Ramanagara,"17,723","8,834","8,889",4.33,2.63,12.72,3.33,2.08,8.36
