district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"1,13,202","88,981","24,221",84.22,85.38,80.20
556,Bagalkot,"50,157","35,238","14,919",89.30,89.69,88.39
557,Bijapur,"62,589","46,709","15,880",87.29,87.36,87.07
558,Bidar,"65,648","53,578","12,070",87.98,88.82,84.41
559,Raichur,"60,054","47,464","12,590",87.10,87.35,86.14
560,Koppal,"51,153","44,893","6,260",86.87,87.22,84.49
561,Gadag,"24,936","15,071","9,865",88.04,88.13,87.89
562,Dharwad,"35,357","14,407","20,950",82.46,81.34,83.26
563,Uttara Kannada,"39,587","30,470","9,117",79.46,79.78,78.41
564,Haveri,"46,284","36,954","9,330",89.06,89.97,85.61
565,Bellary,"54,471","37,877","16,594",88.46,89.58,86.00
566,Chitradurga,"58,629","51,450","7,179",84.62,85.20,80.64
567,Davanagere,"70,565","47,235","23,330",86.83,88.29,84.02
568,Shimoga,"46,300","33,234","13,066",86.56,87.03,85.37
569,Udupi,"22,931","17,129","5,802",90.28,90.75,88.89
570,Chikmagalur,"27,547","22,012","5,535",87.08,86.73,88.49
571,Tumkur,"86,482","69,991","16,491",87.01,87.45,85.23
572,Bangalore,"1,98,392","24,000","1,74,392",89.60,87.07,89.97
573,Mandya,"52,919","44,639","8,280",86.67,86.85,85.75
574,Hassan,"41,102","33,094","8,008",86.13,86.87,83.18
575,Dakshina Kannada,"32,358","19,388","12,970",84.25,83.77,84.99
576,Kodagu,"8,315","6,882","1,433",85.89,86.09,84.94
577,Mysore,"99,270","68,144","31,126",86.49,87.42,84.53
578,Chamarajanagar,"45,840","41,493","4,347",87.81,90.06,70.88
579,Gulbarga,"92,885","66,030","26,855",86.98,87.85,84.90
580,Yadgir,"36,309","30,599","5,710",89.29,89.97,85.81
581,Kolar,"52,434","41,376","11,058",87.58,87.71,87.08
582,Chikkaballapura,"37,027","29,399","7,628",85.88,86.60,83.20
583,Bangalore Rural,"28,384","21,909","6,475",85.80,85.30,87.54
584,Ramanagara,"26,967","20,726","6,241",84.99,84.99,84.96
