district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"1,44,894","77,554","67,340",12.38,7.51,57.44,19.76,12.13,71.67
556,Bagalkot,"67,966","30,409","37,557",13.46,8.80,41.68,22.17,12.46,60.18
557,Bijapur,"72,265","42,083","30,182",13.39,8.73,63.72,20.79,13.73,73.50
558,Bidar,"57,878","34,358","23,520",18.17,13.35,71.39,23.76,16.17,75.77
559,Raichur,"70,497","35,573","34,924",13.07,7.36,63.80,18.90,10.91,74.16
560,Koppal,"52,926","37,066","15,860",12.57,10.10,49.16,19.84,15.20,69.27
561,Gadag,"34,391","14,002","20,389",11.60,5.58,34.93,18.56,9.84,47.44
562,Dharwad,"78,709","14,905","63,804",22.09,7.04,63.49,32.65,9.52,75.55
563,Uttara Kannada,"89,878","63,453","26,425",46.22,40.52,81.41,50.50,42.93,87.65
564,Haveri,"40,473","21,274","19,199",9.21,5.72,41.39,16.91,10.17,63.88
565,Bellary,"96,673","39,344","57,329",15.38,7.64,53.24,23.37,11.89,69.34
566,Chitradurga,"74,570","48,926","25,644",13.56,9.57,77.68,21.72,15.65,83.70
567,Davanagere,"80,458","37,407","43,051",17.60,9.79,60.79,27.79,16.08,75.55
568,Shimoga,"73,841","34,468","39,373",20.23,10.50,70.39,30.00,17.31,83.72
569,Udupi,"1,15,748","80,373","35,375",26.62,22.83,54.54,65.08,58.66,86.63
570,Chikmagalur,"92,445","73,138","19,307",46.17,43.02,77.42,44.47,39.51,84.81
571,Tumkur,"1,24,423","77,765","46,658",14.74,10.37,60.33,24.06,17.08,75.30
572,Bangalore,"10,32,436","76,311","9,56,125",85.24,47.30,93.27,91.24,66.85,93.98
573,Mandya,"69,954","45,979","23,975",17.55,13.40,68.32,23.62,17.33,77.75
574,Hassan,"84,372","56,576","27,796",19.88,16.16,82.10,24.59,18.14,88.79
575,Dakshina Kannada,"1,88,362","97,979","90,383",46.71,46.94,46.11,49.99,42.09,62.76
576,Kodagu,"91,382","82,634","8,748",87.14,86.44,96.77,85.53,84.47,97.09
577,Mysore,"1,49,564","49,156","1,00,408",24.63,10.95,79.28,38.11,17.57,89.11
578,Chamarajanagar,"36,406","24,520","11,886",17.59,14.08,52.81,23.13,17.40,72.38
579,Gulbarga,"1,12,762","55,141","57,621",17.78,11.16,71.05,27.70,16.40,81.47
580,Yadgir,"39,424","25,441","13,983",13.72,10.84,44.97,17.10,12.30,59.08
581,Kolar,"83,664","51,354","32,310",23.65,17.77,68.34,31.71,23.17,76.62
582,Chikkaballapura,"58,855","36,516","22,339",17.73,13.10,76.14,23.05,16.20,74.51
583,Bangalore Rural,"57,957","36,718","21,239",25.17,20.65,62.10,40.14,31.10,80.64
584,Ramanagara,"55,439","32,917","22,522",22.24,16.43,64.27,29.63,20.70,80.08
