district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"5,38,935","2,53,211","2,85,724",36.15,22.40,82.93,39.27,24.42,85.11
556,Bagalkot,"2,05,876","83,871","1,22,005",35.94,22.33,71.53,40.24,23.87,76.12
557,Bijapur,"2,16,261","1,07,630","1,08,631",34.16,21.26,84.75,37.28,23.71,86.15
558,Bidar,"2,05,242","1,12,418","92,824",43.96,31.71,90.60,44.71,31.78,88.18
559,Raichur,"1,84,996","74,052","1,10,944",32.69,16.36,86.05,34.88,18.46,85.79
560,Koppal,"1,46,617","91,109","55,508",32.07,22.70,81.93,37.79,28.13,86.61
561,Gadag,"1,18,095","41,491","76,604",36.49,19.49,70.56,38.04,20.31,72.21
562,Dharwad,"3,17,740","60,182","2,57,558",54.71,21.47,87.34,58.43,24.01,87.86
563,Uttara Kannada,"2,81,239","1,76,357","1,04,882",64.31,55.14,90.08,65.32,55.90,91.14
564,Haveri,"1,55,058","76,572","78,486",28.40,17.84,73.18,31.60,19.64,77.82
565,Bellary,"3,33,203","1,11,338","2,21,865",40.42,19.44,81.89,47.38,25.06,85.70
566,Chitradurga,"1,75,200","92,427","82,773",31.89,20.05,91.61,34.13,21.97,89.28
567,Davanagere,"2,36,592","77,921","1,58,671",37.54,17.63,88.48,40.40,19.10,89.34
568,Shimoga,"2,40,713","80,676","1,60,037",42.81,21.52,86.45,45.04,22.71,89.30
569,Udupi,"2,60,380","1,70,311","90,069",65.30,59.26,90.55,77.63,71.12,93.89
570,Chikmagalur,"1,82,464","1,20,280","62,184",48.83,40.08,86.93,50.98,41.81,88.59
571,Tumkur,"3,17,504","1,64,188","1,53,316",33.14,21.07,87.82,37.91,24.69,88.89
572,Bangalore,"29,12,060","2,16,619","26,95,441",93.13,61.72,97.53,93.47,72.87,95.65
573,Mandya,"1,78,480","1,00,389","78,091",28.22,18.79,84.17,31.03,20.73,85.90
574,Hassan,"2,00,138","1,00,897","99,241",34.50,23.60,92.49,35.71,22.34,91.26
575,Dakshina Kannada,"5,58,068","2,85,493","2,72,575",85.48,79.93,94.85,89.88,85.03,95.59
576,Kodagu,"1,49,680","1,26,406","23,274",86.67,85.02,97.53,86.97,85.28,97.45
577,Mysore,"4,76,203","1,40,341","3,35,862",45.95,21.41,93.73,51.66,25.01,93.13
578,Chamarajanagar,"1,03,872","62,282","41,590",28.44,20.44,78.02,32.03,22.78,81.74
579,Gulbarga,"3,12,910","1,25,760","1,87,150",43.43,24.98,90.98,46.02,26.71,89.50
580,Yadgir,"1,01,092","55,309","45,783",31.66,22.75,81.57,31.88,21.18,81.82
581,Kolar,"2,25,740","1,08,136","1,17,604",46.70,31.12,91.83,49.72,33.43,90.04
582,Chikkaballapura,"1,41,482","73,915","67,567",33.66,21.52,88.81,36.80,24.32,83.88
583,Bangalore Rural,"1,70,599","99,461","71,138",41.59,31.22,77.34,54.07,42.77,85.78
584,Ramanagara,"1,47,707","79,105","68,602",36.90,24.53,87.91,42.89,29.73,87.66
