district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
555,Belgaum,"6,83,829","3,30,765","3,53,064",27.59,16.50,77.97,32.48,19.74,82.17
556,Bagalkot,"2,73,842","1,14,280","1,59,562",27.45,16.66,64.46,33.47,19.19,71.65
557,Bijapur,"2,88,526","1,49,713","1,38,813",26.91,16.49,80.91,31.10,19.68,83.04
558,Bidar,"2,63,120","1,46,776","1,16,344",35.10,24.79,87.28,37.45,25.92,85.35
559,Raichur,"2,55,493","1,09,625","1,45,868",24.99,12.48,81.20,28.28,15.08,82.68
560,Koppal,"1,99,543","1,28,175","71,368",23.95,17.12,74.66,30.48,22.57,82.05
561,Gadag,"1,52,486","55,493","96,993",26.69,13.42,60.37,30.76,16.01,65.07
562,Dharwad,"3,96,449","75,087","3,21,362",44.07,15.44,82.48,50.51,18.44,85.10
563,Uttara Kannada,"3,71,117","2,39,810","1,31,307",58.54,49.97,88.35,60.99,51.76,90.42
564,Haveri,"1,95,531","97,846","97,685",21.62,13.25,66.23,26.78,16.33,74.62
565,Bellary,"4,29,876","1,50,682","2,79,194",30.67,14.20,74.91,38.49,19.43,81.74
566,Chitradurga,"2,49,770","1,41,353","1,08,417",24.79,15.69,89.07,29.16,19.28,87.90
567,Davanagere,"3,17,050","1,15,328","2,01,722",30.85,14.70,82.50,36.23,18.00,85.99
568,Shimoga,"3,14,554","1,15,144","1,99,410",35.63,17.47,83.43,40.30,20.77,88.14
569,Udupi,"3,76,128","2,50,684","1,25,444",49.44,43.54,79.72,73.28,66.59,91.72
570,Chikmagalur,"2,74,909","1,93,418","81,491",47.93,41.15,85.02,48.59,40.91,87.67
571,Tumkur,"4,41,927","2,41,953","1,99,974",25.80,16.52,81.13,32.62,21.60,85.30
572,Bangalore,"39,44,496","2,92,930","36,51,566",91.35,57.48,96.61,92.88,71.20,95.20
573,Mandya,"2,48,434","1,46,368","1,02,066",24.45,16.79,80.64,28.51,19.52,83.84
574,Hassan,"2,84,510","1,57,473","1,27,037",28.71,20.45,90.52,31.49,20.62,90.71
575,Dakshina Kannada,"7,46,430","3,83,472","3,62,958",69.09,64.84,77.65,74.81,67.45,84.57
576,Kodagu,"2,41,062","2,09,040","32,022",86.84,85.57,97.35,86.42,84.96,97.35
577,Mysore,"6,25,767","1,89,497","4,36,270",39.66,17.89,90.87,47.61,22.53,92.17
578,Chamarajanagar,"1,40,278","86,802","53,476",24.86,18.26,71.89,29.12,20.95,79.46
579,Gulbarga,"4,25,672","1,80,901","2,44,771",33.56,18.95,87.03,39.16,22.41,87.47
580,Yadgir,"1,40,516","80,750","59,766",24.06,17.48,70.93,25.66,17.25,75.06
581,Kolar,"3,09,404","1,59,490","1,49,914",38.01,25.53,86.77,43.10,29.26,86.77
582,Chikkaballapura,"2,00,337","1,10,431","89,906",27.07,17.78,85.99,31.31,20.87,81.34
583,Bangalore Rural,"2,28,556","1,36,179","92,377",35.97,27.27,74.27,49.70,38.84,84.54
584,Ramanagara,"2,03,146","1,12,022","91,124",31.48,21.36,81.58,38.22,26.35,85.65
