district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
555,Belgaum,"47,718","38,650","9,068",12.86,12.06,17.93
556,Bagalkot,"14,738","10,687","4,051",10.40,9.68,12.94
557,Bijapur,"19,656","15,916","3,740",11.73,11.55,12.53
558,Bidar,"17,815","14,069","3,746",11.81,10.96,16.67
559,Raichur,"20,273","16,851","3,422",11.43,11.12,13.25
560,Koppal,"17,707","15,557","2,150",12.07,11.68,16.00
561,Gadag,"7,193","4,837","2,356",9.95,9.33,11.55
562,Dharwad,"13,984","7,661","6,323",14.89,14.05,16.07
563,Uttara Kannada,"24,073","20,334","3,739",21.84,21.87,21.67
564,Haveri,"11,962","9,549","2,413",9.34,8.69,13.24
565,Bellary,"14,882","10,189","4,693",10.09,8.95,13.92
566,Chitradurga,"25,558","22,609","2,949",13.52,13.06,18.37
567,Davanagere,"21,241","14,399","6,842",12.49,11.32,15.93
568,Shimoga,"17,489","13,750","3,739",13.68,13.17,15.98
569,Udupi,"6,106","4,761","1,345",11.35,11.10,12.35
570,Chikmagalur,"10,016","8,567","1,449",11.71,11.52,12.97
571,Tumkur,"30,111","25,079","5,032",10.90,10.29,15.47
572,Bangalore,"38,597","6,215","32,382",9.93,12.68,9.54
573,Mandya,"19,338","16,756","2,582",12.36,11.98,15.49
574,Hassan,"16,315","13,457","2,858",10.79,9.94,18.02
575,Dakshina Kannada,"13,673","9,422","4,251",16.43,16.87,15.51
576,Kodagu,"3,496","3,086",410,17.32,17.50,16.05
577,Mysore,"30,162","21,287","8,875",12.99,12.27,15.12
578,Chamarajanagar,"12,112","9,524","2,588",12.08,10.48,27.46
579,Gulbarga,"29,076","21,578","7,498",11.98,11.35,14.23
580,Yadgir,"11,007","9,201","1,806",9.97,9.41,14.20
581,Kolar,"16,506","13,939","2,567",12.38,12.26,13.10
582,Chikkaballapura,"13,295","10,590","2,705",12.76,12.00,16.98
583,Bangalore Rural,"9,503","7,942","1,561",13.59,13.67,13.21
584,Ramanagara,"10,167","8,315","1,852",14.00,13.67,15.73
