district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"5,881,610","5,681,536","200,074",40.4,43.2,13.8,51.5,57.0,13.8
418,Sheopur,"53,697","52,313","1,384",40.5,41.5,21.8,57.3,59.7,22.8
419,Morena,"38,615","37,909",706,16.0,16.6,7.5,25.6,27.5,5.5
420,Bhind,"25,862","23,588","2,274",26.5,27.0,21.0,39.8,43.6,20.8
421,Gwalior,"44,558","41,276","3,282",30.8,44.6,5.1,32.6,53.8,5.5
422,Datia,"38,535","36,775","1,760",21.7,22.8,8.6,40.4,43.9,14.9
423,Shivpuri,"104,245","102,637","1,608",25.4,25.9,15.3,37.5,39.2,9.7
424,Tikamgarh,"113,676","107,266","6,410",24.5,25.0,20.3,45.0,47.0,26.5
425,Chhatarpur,"116,671","111,092","5,579",31.9,33.0,21.7,43.2,45.9,19.6
426,Panna,"91,459","89,011","2,448",42.9,43.9,22.5,58.4,60.5,25.8
427,Sagar,"138,487","134,900","3,587",29.4,35.6,2.5,42.7,52.6,5.3
428,Damoh,"101,614","100,120","1,494",33.5,36.9,4.0,49.1,54.7,6.3
429,Satna,"171,173","166,276","4,897",43.5,46.8,13.1,53.3,58.3,13.6
430,Rewa,"211,479","203,622","7,857",43.1,44.4,25.2,56.4,60.0,22.1
431,Umaria,"71,630","69,812","1,818",52.5,53.6,37.0,62.8,65.5,24.6
432,Neemuch,"74,548","67,325","7,223",33.9,34.5,28.5,43.1,45.4,29.4
433,Mandsaur,"144,371","138,031","6,340",39.4,40.6,24.2,51.2,53.4,27.2
434,Ratlam,"162,181","155,829","6,352",43.0,45.9,15.2,58.0,63.1,19.6
435,Ujjain,"152,980","145,741","7,239",37.2,41.5,9.9,46.6,54.5,11.9
436,Shajapur,"156,830","148,952","7,878",42.9,43.7,31.8,54.8,56.7,33.7
437,Dewas,"158,620","147,499","11,121",48.0,49.4,34.1,54.5,57.3,32.9
438,Dhar,"232,582","223,945","8,637",38.8,39.4,28.8,54.0,56.2,26.8
439,Indore,"88,704","80,158","8,546",30.3,47.7,5.0,27.0,56.3,4.6
440,Khargone (West Nimar),"215,589","209,750","5,839",44.0,44.6,32.4,57.4,59.1,27.6
441,Barwani,"143,960","136,842","7,118",34.1,33.8,38.7,50.0,50.6,40.2
442,Rajgarh,"181,202","174,530","6,672",37.5,38.3,24.2,57.4,59.4,30.1
443,Vidisha,"87,547","85,784","1,763",56.5,61.5,7.8,58.8,66.4,9.0
444,Bhopal,"46,876","42,280","4,596",23.7,50.7,2.2,21.1,59.1,3.0
445,Sehore,"114,109","110,757","3,352",49.0,50.6,18.0,51.5,54.0,20.5
446,Raisen,"88,813","86,101","2,712",54.6,58.4,14.6,60.2,66.3,15.5
447,Betul,"198,519","194,736","3,783",53.2,54.6,19.1,59.6,62.5,17.8
448,Harda,"45,028","44,341",687,53.2,54.9,22.8,60.7,65.1,11.4
449,Hoshangabad,"75,824","74,700","1,124",56.3,63.5,6.6,57.2,67.6,5.1
450,Katni,"105,089","104,121",968,46.2,49.0,6.4,53.8,58.6,5.5
451,Jabalpur,"124,137","117,759","6,378",41.4,58.1,4.0,41.4,66.5,5.2
452,Narsimhapur,"108,824","106,090","2,734",60.4,63.7,11.5,70.5,75.8,19.0
453,Dindori,"103,307","102,804",503,34.8,35.0,20.5,55.4,56.1,15.7
454,Mandla,"170,805","167,514","3,291",51.0,52.1,15.7,65.8,67.9,25.9
455,Chhindwara,"221,346","210,337","11,009",51.4,53.6,28.5,58.9,63.0,26.4
456,Seoni,"193,049","191,320","1,729",53.8,55.0,11.3,66.6,69.1,13.5
457,Balaghat,"245,442","237,936","7,506",48.2,49.4,25.6,60.7,62.9,28.9
458,Guna,"87,488","84,945","2,543",38.1,40.8,9.2,48.8,52.9,13.5
459,Ashoknagar,"48,384","47,667",717,53.4,57.4,6.2,58.0,64.6,7.5
460,Shahdol,"130,587","128,795","1,792",58.7,61.3,13.2,65.1,68.9,13.1
461,Anuppur,"71,096","69,814","1,282",42.5,44.2,16.8,51.1,54.4,12.0
462,Sidhi,"117,394","114,097","3,297",47.9,48.4,28.5,66.1,67.6,38.5
463,Singrauli,"118,129","116,128","2,001",35.6,36.5,18.1,60.5,63.3,17.0
464,Jhabua,"72,409","71,571",838,22.0,22.5,5.9,29.0,29.7,9.3
465,Alirajpur,"45,725","45,271",454,13.8,13.9,6.4,25.7,26.2,8.7
466,Khandwa (East Nimar),"153,768","151,363","2,405",52.1,54.0,17.2,63.2,66.7,14.7
467,Burhanpur,"74,647","70,106","4,541",57.5,61.9,30.5,64.1,70.4,27.0
