district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"511,048","286,345","224,703",3.2,2.9,4.3,2.5,1.9,4.2
418,Sheopur,"2,161","1,326",835,1.1,0.9,1.9,1.2,0.8,3.0
419,Morena,"8,766","5,315","3,451",1.4,1.2,2.5,1.7,1.3,3.0
420,Bhind,"6,328","3,249","3,079",1.6,1.2,3.2,1.4,0.9,3.0
421,Gwalior,"14,752","3,726","11,026",2.0,1.2,2.6,2.7,1.8,3.3
422,Datia,"3,397","1,712","1,685",1.7,1.4,3.1,1.5,1.0,3.5
423,Shivpuri,"7,309","5,039","2,270",1.5,1.3,2.2,1.5,1.2,3.0
424,Tikamgarh,"8,293","5,463","2,830",2.8,2.3,5.0,2.1,1.6,4.4
425,Chhatarpur,"13,726","9,005","4,721",3.5,3.3,3.9,2.9,2.4,4.6
426,Panna,"6,950","5,606","1,344",3.2,3.1,4.1,2.5,2.3,4.2
427,Sagar,"49,079","28,348","20,731",14.1,12.7,17.8,7.2,5.8,10.6
428,Damoh,"22,243","17,065","5,178",13.2,12.7,16.1,6.0,5.7,7.6
429,Satna,"23,875","15,772","8,103",6.1,5.9,7.0,4.0,3.4,6.5
430,Rewa,"28,386","20,867","7,519",4.6,4.0,7.8,4.6,4.0,7.5
431,Umaria,"4,741","3,642","1,099",3.2,2.8,5.1,2.7,2.5,3.9
432,Neemuch,"2,659","1,207","1,452",1.5,1.2,2.4,1.1,0.7,2.0
433,Mandsaur,"5,724","3,195","2,529",1.6,1.2,3.3,1.4,1.0,3.2
434,Ratlam,"8,267","3,081","5,186",2.1,1.4,3.9,2.0,1.0,4.4
435,Ujjain,"12,080","4,344","7,736",2.2,1.6,3.2,2.1,1.2,3.6
436,Shajapur,"5,732","3,583","2,149",1.7,1.6,2.1,1.3,1.0,2.7
437,Dewas,"7,754","4,225","3,529",1.8,1.5,2.9,1.7,1.3,2.9
438,Dhar,"9,678","6,452","3,226",1.5,1.4,2.2,1.6,1.3,2.7
439,Indore,"31,586","3,937","27,649",3.3,2.0,3.9,3.4,1.6,4.0
440,Khargone (West Nimar),"7,499","4,456","3,043",1.8,1.5,3.7,1.4,1.0,3.8
441,Barwani,"4,812","2,618","2,194",1.6,1.3,3.7,1.3,0.8,4.0
442,Rajgarh,"7,326","4,231","3,095",2.2,1.9,3.5,1.7,1.2,4.3
443,Vidisha,"7,010","3,854","3,156",2.0,1.7,3.0,1.7,1.2,3.6
444,Bhopal,"16,725","2,452","14,273",1.6,1.5,1.6,2.6,2.0,2.7
445,Sehore,"5,950","4,505","1,445",1.9,1.6,3.1,1.6,1.5,2.2
446,Raisen,"7,722","4,926","2,796",3.1,2.7,4.7,2.1,1.7,3.4
447,Betul,"7,033","4,708","2,325",2.1,1.9,2.6,1.5,1.3,2.8
448,Harda,"4,168","2,140","2,028",2.0,1.8,3.1,2.7,1.7,6.5
449,Hoshangabad,"6,472","3,880","2,592",2.3,2.2,2.6,1.9,1.6,2.5
450,Katni,"13,916","11,444","2,472",6.7,7.5,3.1,4.0,4.1,3.5
451,Jabalpur,"37,215","13,436","23,779",6.5,6.6,6.5,5.3,4.5,5.9
452,Narsimhapur,"7,067","4,425","2,642",3.5,2.9,7.2,2.2,1.7,4.7
453,Dindori,"3,975","3,349",626,2.2,2.1,4.4,2.0,1.7,7.2
454,Mandla,"5,364","4,130","1,234",1.9,1.9,2.4,1.8,1.6,3.6
455,Chhindwara,"9,875","5,795","4,080",1.8,1.6,2.6,1.7,1.3,3.1
456,Seoni,"7,008","5,355","1,653",1.8,1.6,4.0,1.8,1.5,3.8
457,Balaghat,"10,155","8,352","1,803",3.8,4.0,2.4,2.1,2.0,2.8
458,Guna,"7,137","3,828","3,309",2.2,1.5,4.5,2.1,1.5,4.1
459,Ashoknagar,"6,104","2,519","3,585",2.9,1.8,9.5,2.6,1.3,8.9
460,Shahdol,"8,435","5,789","2,646",3.1,3.1,2.9,2.9,2.4,4.8
461,Anuppur,"4,335","2,772","1,563",2.2,2.1,2.4,2.1,1.8,3.1
462,Sidhi,"8,977","8,064",913,3.7,3.7,3.7,3.2,3.1,4.0
463,Singrauli,"5,533","4,023","1,510",1.8,1.8,1.8,1.8,1.6,2.7
464,Jhabua,"2,924","1,935",989,1.0,0.7,4.2,1.1,0.8,4.2
465,Alirajpur,"2,316","1,543",773,1.3,0.9,6.5,1.2,0.9,5.3
466,Khandwa (East Nimar),"7,038","3,261","3,777",1.7,1.4,3.2,1.9,1.1,5.5
467,Burhanpur,"5,471","2,396","3,075",2.2,1.6,3.4,2.6,1.7,4.3
