district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"8,578,168","2,954,012","5,624,156",24.5,11.1,81.8,27.2,12.0,82.0
418,Sheopur,"51,283","25,591","25,692",17.8,10.1,79.3,18.5,10.5,76.5
419,Morena,"206,743","105,955","100,788",29.8,20.2,81.8,30.6,19.4,78.1
420,Bhind,"121,479","48,208","73,271",25.6,17.1,67.3,23.3,11.9,63.6
421,Gwalior,"411,785","57,269","354,516",56.8,18.0,91.0,60.1,19.9,89.0
422,Datia,"67,674","24,020","43,654",19.1,9.8,77.3,21.1,9.2,72.8
423,Shivpuri,"142,422","64,315","78,107",16.3,8.2,84.6,18.8,9.7,83.7
424,Tikamgarh,"109,985","59,007","50,978",15.4,9.7,52.1,16.8,10.4,57.3
425,Chhatarpur,"184,815","91,819","92,996",20.3,11.2,65.9,24.6,14.8,70.7
426,Panna,"85,505","56,764","28,741",17.7,12.5,72.7,19.8,14.5,69.3
427,Sagar,"283,417","98,844","184,573",23.3,11.1,61.6,28.2,13.3,70.3
428,Damoh,"142,436","72,990","69,446",19.3,12.3,61.5,24.8,15.1,75.4
429,Satna,"265,742","141,670","124,072",25.2,15.5,74.4,29.2,18.9,77.6
430,Rewa,"219,241","124,746","94,495",17.0,10.8,64.2,22.1,14.6,69.3
431,Umaria,"69,865","42,281","27,584",20.1,13.7,69.0,24.1,16.7,76.9
432,Neemuch,"102,730","33,879","68,851",23.4,11.0,74.3,24.5,10.5,72.0
433,Mandsaur,"123,352","48,700","74,652",18.7,10.4,72.2,18.1,8.4,73.5
434,Ratlam,"154,414","33,633","120,781",23.6,8.1,83.3,22.3,6.2,80.3
435,Ujjain,"286,748","53,201","233,547",30.3,8.9,87.1,32.0,8.5,85.1
436,Shajapur,"117,981","46,730","71,251",17.3,9.7,69.2,16.4,7.6,69.2
437,Dewas,"160,032","44,506","115,526",21.6,9.0,74.9,21.5,7.6,74.2
438,Dhar,"189,185","71,105","118,080",17.0,8.6,78.5,18.4,8.1,78.9
439,Indore,"888,176","80,728","807,448",65.1,19.8,92.4,70.0,20.9,91.6
440,Khargone (West Nimar),"149,798","67,966","81,832",16.7,9.4,79.0,16.8,8.6,80.6
441,Barwani,"91,546","40,781","50,765",14.4,7.9,71.2,14.0,7.0,70.4
442,Rajgarh,"117,565","50,267","67,298",16.2,8.9,75.4,15.8,7.7,72.1
443,Vidisha,"141,071","51,148","89,923",23.2,10.9,84.9,25.6,11.6,83.1
444,Bhopal,"664,184","36,742","627,442",75.1,15.0,96.0,76.6,18.9,93.3
445,Sehore,"147,837","82,341","65,496",17.3,8.4,81.9,25.2,16.3,79.8
446,Raisen,"133,646","55,955","77,691",23.6,14.2,76.9,25.8,13.4,78.4
447,Betul,"163,372","75,450","87,922",18.7,10.0,85.7,20.8,11.0,84.5
448,Harda,"55,245","25,305","29,940",18.0,8.0,81.9,23.9,13.1,80.7
449,Hoshangabad,"169,693","57,439","112,254",34.0,15.7,90.7,35.5,16.3,89.3
450,Katni,"175,899","95,613","80,286",27.7,16.5,90.1,32.3,21.0,90.7
451,Jabalpur,"545,160","86,220","458,940",50.0,16.3,86.6,54.2,18.0,87.0
452,Narsimhapur,"95,493","40,201","55,292",19.6,11.4,81.2,20.0,9.9,78.4
453,Dindori,"40,921","32,017","8,904",7.8,5.9,79.8,10.5,8.5,74.5
454,Mandla,"82,356","47,516","34,840",13.0,8.3,84.8,14.7,9.3,73.9
455,Chhindwara,"237,620","103,482","134,138",24.1,12.7,79.1,24.8,13.2,76.9
456,Seoni,"122,408","74,407","48,001",15.3,10.5,87.4,17.9,11.8,85.3
457,Balaghat,"156,188","89,610","66,578",17.0,11.7,74.1,17.5,11.2,73.4
458,Guna,"113,254","33,906","79,348",20.0,7.9,80.0,22.0,8.2,80.1
459,Ashoknagar,"65,411","27,003","38,408",17.8,9.2,75.6,20.7,10.2,77.0
460,Shahdol,"123,942","66,505","57,437",23.2,12.6,87.9,25.1,15.7,83.1
461,Anuppur,"93,596","40,367","53,229",23.5,9.9,85.3,27.0,14.2,86.3
462,Sidhi,"81,432","61,860","19,572",13.6,10.2,70.9,17.6,14.4,62.0
463,Singrauli,"114,379","59,407","54,972",17.2,7.0,78.2,22.9,13.8,80.0
464,Jhabua,"65,165","39,015","26,150",13.1,8.8,78.4,12.7,8.1,79.8
465,Alirajpur,"32,645","17,386","15,259",10.3,7.1,76.8,8.9,5.0,76.8
466,Khandwa (East Nimar),"117,164","44,574","72,590",19.2,9.2,86.9,19.1,8.4,85.1
467,Burhanpur,"96,168","25,568","70,600",29.5,9.7,80.8,29.3,10.6,80.4
