district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"6,734,201","2,145,530","4,588,671",32.6,14.9,86.6,33.4,14.6,84.9
418,Sheopur,"40,597","18,210","22,387",22.5,12.1,83.0,22.1,11.7,81.4
419,Morena,"145,873","55,730","90,143",27.8,14.5,83.8,27.8,13.6,77.4
420,Bhind,"102,990","36,869","66,121",24.4,12.8,68.8,22.6,10.5,63.4
421,Gwalior,"350,563","45,703","304,860",63.2,21.8,93.2,63.9,21.7,90.1
422,Datia,"54,016","17,445","36,571",24.4,12.2,81.2,23.9,9.8,75.9
423,Shivpuri,"111,297","45,766","65,531",22.3,11.1,88.5,23.1,11.3,85.4
424,Tikamgarh,"83,595","42,228","41,367",20.8,12.8,63.0,20.8,12.5,63.9
425,Chhatarpur,"141,703","65,072","76,631",26.3,14.4,73.1,29.4,17.2,74.4
426,Panna,"62,938","39,745","23,193",22.2,15.3,77.1,22.9,16.3,72.4
427,Sagar,"226,505","72,740","153,765",30.4,14.1,74.5,33.2,14.9,78.9
428,Damoh,"103,929","48,982","54,947",25.1,15.1,74.9,28.3,16.4,80.6
429,Satna,"208,027","107,119","100,908",33.5,21.0,82.4,35.2,23.0,81.4
430,Rewa,"166,958","91,945","75,013",24.7,16.2,73.2,27.1,17.8,74.3
431,Umaria,"51,045","28,092","22,953",27.0,18.4,76.3,29.1,19.1,80.7
432,Neemuch,"84,477","26,856","57,621",34.5,17.3,83.6,34.4,15.4,81.1
433,Mandsaur,"101,392","39,452","61,940",27.2,15.8,80.6,25.5,12.4,79.1
434,Ratlam,"124,638","25,036","99,602",33.2,12.1,87.7,30.3,8.5,84.4
435,Ujjain,"228,277","40,311","187,966",40.8,13.4,90.9,40.1,11.3,87.9
436,Shajapur,"97,152","37,288","59,864",25.8,15.1,77.6,22.5,10.6,75.2
437,Dewas,"131,659","35,359","96,300",31.0,14.0,80.9,29.2,10.7,79.0
438,Dhar,"150,136","52,514","97,622",25.1,13.1,83.7,25.1,10.9,83.1
439,Indore,"709,528","66,653","642,875",73.7,27.5,93.8,75.6,27.3,92.5
440,Khargone (West Nimar),"122,309","53,959","68,350",24.7,14.5,84.5,23.6,12.3,84.9
441,Barwani,"72,625","30,758","41,867",20.9,11.4,78.8,19.8,9.9,77.0
442,Rajgarh,"92,851","37,234","55,617",24.5,14.0,82.4,21.6,10.4,78.0
443,Vidisha,"112,860","38,379","74,481",26.9,12.7,86.8,28.1,12.3,84.1
444,Bhopal,"517,770","27,517","490,253",80.9,18.9,96.8,80.3,22.4,93.9
445,Sehore,"107,594","52,717","54,877",24.3,12.3,84.8,29.5,17.6,83.5
446,Raisen,"108,645","42,609","66,036",27.6,16.2,81.6,29.3,14.8,81.0
447,Betul,"123,711","51,361","72,350",26.9,14.5,89.1,27.3,13.8,87.5
448,Harda,"44,589","19,214","25,375",25.7,11.9,85.9,28.4,15.3,81.6
449,Hoshangabad,"136,452","43,738","92,714",39.8,18.6,92.1,39.5,18.1,89.6
450,Katni,"134,269","69,079","65,190",36.1,21.8,92.8,38.5,24.9,92.0
451,Jabalpur,"426,220","65,043","361,177",59.5,21.4,90.8,60.4,21.6,89.2
452,Narsimhapur,"75,430","30,327","45,103",24.1,14.0,84.5,23.3,11.3,80.4
453,Dindori,"25,885","19,095","6,790",11.4,8.5,83.8,12.7,9.8,77.6
454,Mandla,"58,546","31,722","26,824",19.0,12.2,87.9,19.5,11.9,77.9
455,Chhindwara,"183,035","75,703","107,332",32.8,18.1,83.8,31.4,16.8,80.9
456,Seoni,"90,548","52,546","38,002",22.5,15.7,90.4,22.9,15.0,87.4
457,Balaghat,"113,770","62,498","51,272",25.5,18.1,82.0,23.3,14.7,79.2
458,Guna,"92,811","25,658","67,153",26.7,10.6,85.2,27.7,10.1,83.7
459,Ashoknagar,"53,211","20,659","32,552",21.3,10.7,81.7,23.0,10.8,80.9
460,Shahdol,"91,556","44,430","47,126",31.7,17.2,90.7,31.3,18.8,84.9
461,Anuppur,"72,471","27,455","45,016",32.8,14.4,87.9,34.9,17.5,88.3
462,Sidhi,"61,496","45,744","15,752",19.2,14.5,78.0,21.6,17.5,68.4
463,Singrauli,"94,936","47,797","47,139",25.5,10.5,83.6,31.2,19.3,82.7
464,Jhabua,"45,671","25,567","20,104",18.1,11.5,84.7,17.2,10.6,84.8
465,Alirajpur,"22,909","10,889","12,020",13.4,8.6,81.9,12.1,6.3,82.1
466,Khandwa (East Nimar),"94,298","34,458","59,840",26.9,13.4,89.7,25.5,11.5,86.8
467,Burhanpur,"80,438","20,259","60,179",40.0,14.3,86.3,38.0,14.4,84.8
