district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"1,843,967","808,482","1,035,485",10.9,5.7,60.7,16.1,8.1,71.2
418,Sheopur,"10,686","7,381","3,305",9.5,6.9,59.6,11.4,8.4,54.3
419,Morena,"60,870","50,225","10,645",34.7,32.4,67.5,40.4,36.4,83.6
420,Bhind,"18,489","11,339","7,150",28.7,26.5,56.6,28.4,21.0,65.5
421,Gwalior,"61,222","11,566","49,656",32.5,8.8,76.8,44.9,15.1,83.0
422,Datia,"13,658","6,575","7,083",11.0,6.6,63.7,14.3,7.9,60.0
423,Shivpuri,"31,125","18,549","12,576",6.5,4.1,62.1,11.2,7.1,75.6
424,Tikamgarh,"26,390","16,779","9,611",7.8,5.5,27.6,10.4,7.3,39.8
425,Chhatarpur,"43,112","26,747","16,365",9.0,5.8,38.0,16.0,11.1,57.4
426,Panna,"22,567","17,019","5,548",10.5,8.4,55.4,14.4,11.6,58.5
427,Sagar,"56,912","26,104","30,808",9.7,5.9,26.1,17.6,10.2,45.5
428,Damoh,"38,507","24,008","14,499",9.8,7.9,26.3,18.6,13.1,60.8
429,Satna,"57,715","34,551","23,164",11.1,7.2,46.2,18.0,12.1,64.6
430,Rewa,"52,283","32,801","19,482",6.2,4.0,37.0,14.0,9.7,54.9
431,Umaria,"18,820","14,189","4,631",9.0,6.8,40.9,16.5,13.3,62.6
432,Neemuch,"18,253","7,023","11,230",7.2,3.5,39.8,10.6,4.7,45.8
433,Mandsaur,"21,960","9,248","12,712",6.5,3.4,44.3,7.8,3.6,54.5
434,Ratlam,"29,776","8,597","21,179",8.8,3.2,62.8,10.7,3.5,65.2
435,Ujjain,"58,471","12,890","45,581",12.5,3.2,70.7,17.8,4.8,75.2
436,Shajapur,"20,829","9,442","11,387",5.3,2.7,39.7,7.3,3.6,48.7
437,Dewas,"28,373","9,147","19,226",7.2,2.7,50.1,9.7,3.6,56.9
438,Dhar,"39,049","18,591","20,458",6.0,3.3,55.2,9.1,4.7,63.5
439,Indore,"178,648","14,075","164,573",39.6,8.2,85.1,54.3,9.9,88.1
440,Khargone (West Nimar),"27,489","14,007","13,482",5.5,3.0,55.6,7.3,3.9,63.8
441,Barwani,"18,921","10,023","8,898",6.2,4.0,46.2,6.6,3.7,50.2
442,Rajgarh,"24,714","13,033","11,681",5.4,2.8,49.9,7.8,4.4,52.8
443,Vidisha,"28,211","12,769","15,442",12.8,6.5,74.2,19.0,9.9,78.5
444,Bhopal,"146,414","9,225","137,189",54.8,8.5,91.5,65.8,12.9,90.9
445,Sehore,"40,243","29,624","10,619",6.1,3.1,66.0,18.2,14.4,64.9
446,Raisen,"25,001","13,346","11,655",13.2,9.5,52.6,17.0,10.3,66.6
447,Betul,"39,661","24,089","15,572",7.0,4.4,66.5,11.9,7.7,73.2
448,Harda,"10,656","6,091","4,565",5.7,2.8,58.8,14.4,8.9,75.6
449,Hoshangabad,"33,241","13,701","19,540",18.6,9.6,81.8,25.1,12.4,88.3
450,Katni,"41,630","26,534","15,096",13.0,8.6,75.7,21.3,14.9,85.2
451,Jabalpur,"118,940","21,177","97,763",26.6,8.1,68.2,39.7,12.0,79.8
452,Narsimhapur,"20,063","9,874","10,189",10.3,6.6,65.8,13.0,7.1,70.6
453,Dindori,"15,036","12,922","2,114",4.0,3.3,64.8,8.1,7.0,66.0
454,Mandla,"23,810","15,794","8,016",6.1,4.1,73.7,9.2,6.4,63.1
455,Chhindwara,"54,585","27,779","26,806",10.0,5.3,59.3,14.5,8.3,64.3
456,Seoni,"31,860","21,861","9,999",6.3,4.4,74.6,11.0,7.9,78.2
457,Balaghat,"42,418","27,112","15,306",7.2,4.9,52.7,10.5,7.2,58.9
458,Guna,"20,443","8,248","12,195",8.3,3.8,56.5,11.4,5.1,64.8
459,Ashoknagar,"12,200","6,344","5,856",9.1,5.8,47.6,14.6,8.6,60.9
460,Shahdol,"32,386","22,075","10,311",10.0,6.4,72.1,16.1,11.8,75.5
461,Anuppur,"21,125","12,912","8,213",8.0,4.1,67.2,15.2,10.1,76.7
462,Sidhi,"19,936","16,116","3,820",5.0,3.9,43.1,11.2,9.5,44.6
463,Singrauli,"19,443","11,610","7,833",4.9,2.6,46.8,10.0,6.3,66.6
464,Jhabua,"19,494","13,448","6,046",7.7,6.1,58.3,7.8,5.6,66.9
465,Alirajpur,"9,736","6,497","3,239",6.9,5.6,60.8,5.5,3.8,62.1
466,Khandwa (East Nimar),"22,866","10,116","12,750",6.9,3.3,71.8,9.4,4.5,78.1
467,Burhanpur,"15,730","5,309","10,421",10.8,3.7,55.4,13.5,5.3,61.9
