district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"3,146,582","2,695,259","451,323",83.1,82.8,85.0
418,Sheopur,"26,905","24,188","2,717",87.9,89.5,76.0
419,Morena,"64,727","52,497","12,230",84.3,83.7,86.8
420,Bhind,"58,320","45,588","12,732",86.0,85.2,89.1
421,Gwalior,"58,412","32,792","25,620",84.2,83.9,84.7
422,Datia,"24,047","20,490","3,557",87.5,87.4,88.1
423,Shivpuri,"55,726","48,089","7,637",83.8,83.3,87.4
424,Tikamgarh,"57,386","49,615","7,771",85.8,85.7,86.1
425,Chhatarpur,"65,020","55,701","9,319",83.2,82.8,86.0
426,Panna,"55,887","51,008","4,879",79.7,79.4,84.0
427,Sagar,"82,246","68,824","13,422",84.8,84.0,89.2
428,Damoh,"67,701","60,212","7,489",83.8,83.9,83.4
429,Satna,"114,751","103,578","11,173",82.7,82.6,84.2
430,Rewa,"139,704","126,958","12,746",82.9,83.0,81.6
431,Umaria,"56,646","52,108","4,538",76.1,76.0,77.5
432,Neemuch,"18,541","15,224","3,317",84.5,84.0,86.6
433,Mandsaur,"39,347","34,591","4,756",86.3,85.8,90.4
434,Ratlam,"78,920","69,492","9,428",86.8,86.9,86.7
435,Ujjain,"70,405","55,305","15,100",84.0,83.4,86.6
436,Shajapur,"58,130","50,961","7,169",85.3,85.0,87.5
437,Dewas,"53,075","44,328","8,747",77.0,75.2,87.1
438,Dhar,"82,407","75,417","6,990",86.2,86.7,81.2
439,Indore,"53,011","21,669","31,342",87.4,88.0,87.0
440,Khargone (West Nimar),"43,666","39,111","4,555",85.1,85.3,82.8
441,Barwani,"37,172","34,367","2,805",84.3,85.1,75.8
442,Rajgarh,"83,033","75,986","7,047",84.5,84.5,84.8
443,Vidisha,"59,495","53,474","6,021",82.4,82.9,77.9
444,Bhopal,"72,854","22,029","50,825",84.9,82.3,86.1
445,Sehore,"61,060","54,179","6,881",79.1,78.7,81.8
446,Raisen,"58,327","51,183","7,144",84.1,84.3,82.8
447,Betul,"83,983","76,318","7,665",77.6,77.2,82.1
448,Harda,"24,309","21,586","2,723",82.3,82.3,82.3
449,Hoshangabad,"46,767","38,343","8,424",84.1,83.3,88.0
450,Katni,"89,709","83,683","6,026",79.8,79.4,85.1
451,Jabalpur,"116,781","73,929","42,852",82.6,82.4,82.8
452,Narsimhapur,"48,451","43,332","5,119",86.5,86.3,87.8
453,Dindori,"47,723","46,556","1,167",78.6,78.6,78.9
454,Mandla,"85,362","81,667","3,695",82.1,82.1,82.8
455,Chhindwara,"96,743","83,498","13,245",82.1,81.6,85.5
456,Seoni,"103,955","100,002","3,953",83.8,83.7,87.5
457,Balaghat,"127,861","120,016","7,845",85.1,84.9,87.1
458,Guna,"49,348","41,682","7,666",83.3,82.9,85.5
459,Ashoknagar,"27,918","25,351","2,567",86.1,86.3,84.3
460,Shahdol,"102,196","94,440","7,756",83.7,83.7,84.0
461,Anuppur,"42,718","38,849","3,869",81.2,81.0,82.7
462,Sidhi,"72,949","70,981","1,968",81.5,81.4,85.8
463,Singrauli,"53,650","48,117","5,533",86.5,86.8,84.1
464,Jhabua,"40,959","39,448","1,511",75.4,75.1,82.5
465,Alirajpur,"28,165","27,288",877,77.1,76.9,82.4
466,Khandwa (East Nimar),"39,807","34,578","5,229",85.8,85.8,85.7
467,Burhanpur,"20,307","16,631","3,676",88.9,90.3,83.0
