district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"924,165","863,563","60,602",18.2,18.3,17.1
418,Sheopur,"8,515","7,816",699,16.8,16.2,29.4
419,Morena,"13,266","12,741",525,17.0,17.1,13.6
420,Bhind,"6,032","5,560",472,19.5,19.9,16.0
421,Gwalior,"10,987","8,975","2,012",19.6,20.5,16.3
422,Datia,"7,185","6,596",589,15.5,15.3,17.0
423,Shivpuri,"15,194","14,480",714,13.2,13.1,15.5
424,Tikamgarh,"15,904","14,956",948,13.5,13.7,11.1
425,Chhatarpur,"20,486","19,193","1,293",17.1,17.3,14.6
426,Panna,"19,032","18,165",867,22.3,22.2,24.1
427,Sagar,"21,063","19,680","1,383",16.2,16.6,12.3
428,Damoh,"19,750","18,711","1,039",19.0,19.1,17.2
429,Satna,"30,941","29,114","1,827",19.3,19.4,17.9
430,Rewa,"38,925","36,148","2,777",20.1,20.0,22.0
431,Umaria,"21,372","20,255","1,117",27.9,27.6,33.5
432,Neemuch,"5,381","4,573",808,14.1,13.7,16.9
433,Mandsaur,"12,279","11,595",684,12.4,12.4,11.5
434,Ratlam,"17,826","16,403","1,423",13.8,13.5,19.0
435,Ujjain,"22,766","20,762","2,004",17.3,17.5,15.7
436,Shajapur,"21,035","19,457","1,578",14.9,14.7,18.0
437,Dewas,"29,106","27,502","1,604",20.0,20.3,16.4
438,Dhar,"20,248","18,716","1,532",13.6,13.2,21.6
439,Indore,"9,751","5,970","3,781",13.9,14.2,13.4
440,Khargone (West Nimar),"11,693","11,002",691,13.6,13.4,18.0
441,Barwani,"9,582","8,955",627,11.4,11.1,18.4
442,Rajgarh,"27,165","25,415","1,750",15.5,15.2,20.9
443,Vidisha,"20,174","19,060","1,114",24.9,25.0,24.7
444,Bhopal,"11,932","7,155","4,777",15.8,19.0,12.6
445,Sehore,"30,118","28,777","1,341",22.0,22.0,22.5
446,Raisen,"18,753","17,728","1,025",24.0,24.2,20.8
447,Betul,"37,043","35,707","1,336",22.1,22.1,23.2
448,Harda,"9,519","9,108",411,25.3,25.3,24.8
449,Hoshangabad,"14,135","13,420",715,23.2,23.7,16.7
450,Katni,"27,252","26,460",792,23.6,23.8,19.7
451,Jabalpur,"23,938","19,037","4,901",20.0,20.8,17.3
452,Narsimhapur,"10,549","10,003",546,16.6,16.6,16.1
453,Dindori,"17,436","17,195",241,22.1,22.1,21.7
454,Mandla,"23,927","23,321",606,18.3,18.3,18.4
455,Chhindwara,"31,062","29,421","1,641",18.7,18.8,16.4
456,Seoni,"31,791","31,249",542,19.5,19.6,17.4
457,Balaghat,"40,679","38,614","2,065",19.2,19.0,22.3
458,Guna,"16,547","15,665",882,16.2,16.3,15.1
459,Ashoknagar,"9,098","8,593",505,21.9,21.8,24.5
460,Shahdol,"26,613","25,602","1,011",20.4,20.4,20.5
461,Anuppur,"14,350","13,707",643,21.5,21.5,20.8
462,Sidhi,"21,383","20,897",486,22.1,22.1,21.1
463,Singrauli,"11,849","11,194",655,13.3,13.2,15.5
464,Jhabua,"15,356","15,006",350,17.0,17.0,17.6
465,Alirajpur,"10,226","10,078",148,15.7,15.8,12.0
466,Khandwa (East Nimar),"11,540","10,874",666,15.6,15.5,17.3
467,Burhanpur,"3,411","2,952",459,11.2,10.9,12.8
