district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"72,626,809","52,557,404","20,069,405",20.3,18.4,25.7
418,Sheopur,"687,861","580,509","107,352",22.9,23.3,21.2
419,Morena,"1,965,970","1,495,508","470,462",23.4,19.7,37.0
420,Bhind,"1,703,005","1,270,083","432,922",19.2,16.6,27.7
421,Gwalior,"2,032,036","758,244","1,273,792",24.5,16.8,29.6
422,Datia,"786,754","604,772","181,982",18.5,14.8,32.3
423,Shivpuri,"1,726,050","1,430,627","295,423",22.8,22.7,23.3
424,Tikamgarh,"1,445,166","1,195,293","249,873",20.1,20.7,17.5
425,Chhatarpur,"1,762,375","1,363,359","399,016",19.5,18.5,23.0
426,Panna,"1,016,520","891,185","125,335",18.7,19.1,15.9
427,Sagar,"2,378,458","1,669,662","708,796",17.6,16.7,20.0
428,Damoh,"1,264,219","1,013,668","250,551",16.6,15.2,22.6
429,Satna,"2,228,935","1,754,517","474,418",19.2,18.2,23.0
430,Rewa,"2,365,106","1,969,321","395,785",19.9,19.2,23.5
431,Umaria,"644,758","534,214","110,544",25.0,23.4,33.0
432,Neemuch,"826,067","580,837","245,230",13.8,11.0,20.8
433,Mandsaur,"1,340,411","1,062,807","277,604",13.2,10.4,25.8
434,Ratlam,"1,455,069","1,020,038","435,031",19.7,20.4,18.1
435,Ujjain,"1,986,864","1,207,651","779,213",16.1,15.2,17.6
436,Shajapur,"1,512,681","1,219,133","293,548",17.2,15.9,22.7
437,Dewas,"1,563,715","1,111,956","451,759",19.5,17.1,26.1
438,Dhar,"2,185,793","1,772,572","413,221",25.6,22.1,43.4
439,Indore,"3,276,697","848,988","2,427,709",32.9,15.4,40.3
440,Khargone (West Nimar),"1,873,046","1,574,190","298,856",22.9,22.1,26.9
441,Barwani,"1,385,881","1,181,812","204,069",27.6,27.3,29.2
442,Rajgarh,"1,545,814","1,269,357","276,457",23.3,22.4,27.2
443,Vidisha,"1,458,875","1,119,257","339,618",20.1,17.3,30.4
444,Bhopal,"2,371,061","454,010","1,917,051",28.6,25.8,29.3
445,Sehore,"1,311,332","1,062,870","248,462",21.5,20.1,28.2
446,Raisen,"1,331,597","1,028,172","303,425",18.3,12.0,46.7
447,Betul,"1,575,362","1,266,211","309,151",12.9,11.5,19.3
448,Harda,"570,465","451,101","119,364",20.2,20.9,18.0
449,Hoshangabad,"1,241,350","851,364","389,986",14.5,13.5,16.6
450,Katni,"1,292,042","1,028,499","263,543",21.4,22.6,17.0
451,Jabalpur,"2,463,289","1,023,255","1,440,034",14.5,10.8,17.3
452,Narsimhapur,"1,091,854","888,314","203,540",14.0,10.4,32.9
453,Dindori,"704,524","672,206","32,318",21.3,21.4,20.3
454,Mandla,"1,054,905","924,716","130,189",18.0,15.3,41.6
455,Chhindwara,"2,090,922","1,585,739","505,183",13.1,13.5,11.7
456,Seoni,"1,379,131","1,215,241","163,890",18.2,16.2,35.8
457,Balaghat,"1,701,698","1,456,882","244,816",13.6,11.7,26.2
458,Guna,"1,241,519","928,844","312,675",27.0,25.7,30.9
459,Ashoknagar,"845,071","691,387","153,684",22.7,20.7,32.6
460,Shahdol,"1,066,063","846,463","219,600",17.4,20.0,8.3
461,Anuppur,"749,237","543,996","205,241",12.3,15.3,5.1
462,Sidhi,"1,127,033","1,033,912","93,121",23.7,22.8,35.5
463,Singrauli,"1,178,273","951,487","226,786",28.0,30.7,17.9
464,Jhabua,"1,025,048","933,065","91,983",30.7,31.8,20.1
465,Alirajpur,"728,999","671,925","57,074",19.5,18.7,28.5
466,Khandwa (East Nimar),"1,310,061","1,050,625","259,436",21.5,21.9,19.9
467,Burhanpur,"757,847","497,560","260,287",19.4,27.1,6.9
