district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"37,612,306","27,149,388","10,462,918",19.6,17.9,24.4
418,Sheopur,"361,784","305,360","56,424",22.5,23.1,19.6
419,Morena,"1,068,417","815,218","253,199",22.2,18.5,35.8
420,Bhind,"926,843","694,756","232,087",18.7,16.4,26.2
421,Gwalior,"1,090,327","409,349","680,978",23.4,15.6,28.7
422,Datia,"420,157","323,966","96,191",17.4,13.9,30.8
423,Shivpuri,"919,795","763,554","156,241",21.6,21.5,22.2
424,Tikamgarh,"760,355","629,477","130,878",19.2,19.7,16.8
425,Chhatarpur,"936,121","725,273","210,848",18.7,17.8,21.8
426,Panna,"533,480","467,473","66,007",18.4,18.9,15.1
427,Sagar,"1,256,257","884,133","372,124",17.1,16.1,19.3
428,Damoh,"661,873","530,471","131,402",16.1,14.7,22.1
429,Satna,"1,157,495","907,904","249,591",19.2,18.4,21.8
430,Rewa,"1,225,100","1,017,839","207,261",20.5,20.3,21.4
431,Umaria,"330,674","273,064","57,610",24.7,23.1,32.8
432,Neemuch,"422,653","295,013","127,640",13.5,10.5,21.1
433,Mandsaur,"682,851","540,987","141,864",12.8,10.1,24.8
434,Ratlam,"738,241","516,468","221,773",18.9,19.8,16.9
435,Ujjain,"1,016,289","616,353","399,936",15.1,14.4,16.2
436,Shajapur,"780,520","629,273","151,247",16.5,15.4,21.4
437,Dewas,"805,359","571,720","233,639",18.8,16.4,25.1
438,Dhar,"1,112,725","895,113","217,612",25.0,21.5,41.6
439,Indore,"1,699,627","436,755","1,262,872",31.8,15.0,38.8
440,Khargone (West Nimar),"953,121","799,396","153,725",21.9,21.1,25.8
441,Barwani,"699,340","594,907","104,433",26.9,26.7,28.2
442,Rajgarh,"790,212","648,407","141,805",21.7,21.1,24.9
443,Vidisha,"769,568","591,962","177,606",18.8,16.1,28.7
444,Bhopal,"1,236,130","238,025","998,105",27.1,24.4,27.8
445,Sehore,"683,743","554,636","129,107",21.0,19.8,26.6
446,Raisen,"700,358","539,960","160,398",17.1,10.8,44.7
447,Betul,"799,236","640,358","158,878",12.6,11.4,17.5
448,Harda,"294,838","233,312","61,526",19.3,20.2,15.8
449,Hoshangabad,"648,725","445,062","203,663",13.5,12.6,15.4
450,Katni,"662,013","525,188","136,825",20.7,22.0,15.9
451,Jabalpur,"1,277,278","527,031","750,247",13.3,9.9,15.8
452,Narsimhapur,"568,810","462,699","106,111",13.4,9.8,32.0
453,Dindori,"351,913","335,393","16,520",20.6,20.7,19.6
454,Mandla,"525,272","459,151","66,121",17.3,14.6,40.0
455,Chhindwara,"1,064,468","806,199","258,269",12.4,13.2,9.9
456,Seoni,"695,879","612,314","83,565",18.2,16.3,33.9
457,Balaghat,"842,178","719,794","122,384",13.7,12.1,24.3
458,Guna,"649,362","486,127","163,235",25.5,24.2,29.6
459,Ashoknagar,"443,837","363,411","80,426",21.1,18.9,31.9
460,Shahdol,"540,021","426,583","113,438",16.2,19.2,6.0
461,Anuppur,"379,114","272,030","107,084",11.4,14.6,4.1
462,Sidhi,"575,912","527,378","48,534",22.7,22.1,30.6
463,Singrauli,"613,637","493,324","120,313",28.2,31.7,15.7
464,Jhabua,"515,023","467,468","47,555",30.0,31.2,19.7
465,Alirajpur,"362,542","333,593","28,949",18.5,17.9,25.5
466,Khandwa (East Nimar),"674,329","541,183","133,146",20.8,21.3,18.7
467,Burhanpur,"388,504","254,978","133,526",18.9,26.7,6.5
