district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"35,014,503","25,408,016","9,606,487",21.1,19.0,27.2
418,Sheopur,"326,077","275,149","50,928",23.4,23.5,23.1
419,Morena,"897,553","680,290","217,263",24.9,21.1,38.5
420,Bhind,"776,162","575,327","200,835",19.8,16.8,29.6
421,Gwalior,"941,709","348,895","592,814",25.8,18.3,30.6
422,Datia,"366,597","280,806","85,791",19.7,15.9,34.1
423,Shivpuri,"806,255","667,073","139,182",24.1,24.1,24.5
424,Tikamgarh,"684,811","565,816","118,995",21.2,21.8,18.2
425,Chhatarpur,"826,254","638,086","188,168",20.5,19.4,24.4
426,Panna,"483,040","423,712","59,328",19.0,19.3,16.7
427,Sagar,"1,122,201","785,529","336,672",18.3,17.3,20.7
428,Damoh,"602,346","483,197","119,149",17.3,15.9,23.1
429,Satna,"1,071,440","846,613","224,827",19.2,17.9,24.4
430,Rewa,"1,140,006","951,482","188,524",19.2,17.9,25.8
431,Umaria,"314,084","261,150","52,934",25.2,23.7,33.2
432,Neemuch,"403,414","285,824","117,590",14.1,11.6,20.5
433,Mandsaur,"657,560","521,820","135,740",13.6,10.6,26.9
434,Ratlam,"716,828","503,570","213,258",20.6,21.1,19.3
435,Ujjain,"970,575","591,298","379,277",17.2,16.0,19.1
436,Shajapur,"732,161","589,860","142,301",17.9,16.5,24.1
437,Dewas,"758,356","540,236","218,120",20.3,17.7,27.2
438,Dhar,"1,073,068","877,459","195,609",26.3,22.6,45.5
439,Indore,"1,577,070","412,233","1,164,837",34.1,15.8,41.9
440,Khargone (West Nimar),"919,925","774,794","145,131",23.9,23.1,28.1
441,Barwani,"686,541","586,905","99,636",28.3,27.9,30.2
442,Rajgarh,"755,602","620,950","134,652",24.9,23.9,29.7
443,Vidisha,"689,307","527,295","162,012",21.6,18.6,32.4
444,Bhopal,"1,134,931","215,985","918,946",30.3,27.5,31.0
445,Sehore,"627,589","508,234","119,355",22.2,20.4,30.1
446,Raisen,"631,239","488,212","143,027",19.8,13.3,49.0
447,Betul,"776,126","625,853","150,273",13.3,11.5,21.3
448,Harda,"275,627","217,789","57,838",21.3,21.6,20.4
449,Hoshangabad,"592,625","406,302","186,323",15.6,14.6,18.0
450,Katni,"630,029","503,311","126,718",22.1,23.2,18.2
451,Jabalpur,"1,186,011","496,224","689,787",15.8,11.7,19.0
452,Narsimhapur,"523,044","425,615","97,429",14.7,11.0,34.0
453,Dindori,"352,611","336,813","15,798",22.0,22.1,21.0
454,Mandla,"529,633","465,565","64,068",18.7,15.9,43.4
455,Chhindwara,"1,026,454","779,540","246,914",13.8,13.9,13.6
456,Seoni,"683,252","602,927","80,325",18.2,16.0,37.9
457,Balaghat,"859,520","737,088","122,432",13.5,11.4,28.2
458,Guna,"592,157","442,717","149,440",28.6,27.4,32.3
459,Ashoknagar,"401,234","327,976","73,258",24.5,22.7,33.4
460,Shahdol,"526,042","419,880","106,162",18.6,20.8,10.8
461,Anuppur,"370,123","271,966","98,157",13.2,16.0,6.2
462,Sidhi,"551,121","506,534","44,587",24.7,23.5,41.3
463,Singrauli,"564,636","458,163","106,473",27.9,29.7,20.5
464,Jhabua,"510,025","465,597","44,428",31.4,32.5,20.5
465,Alirajpur,"366,457","338,332","28,125",20.4,19.5,31.7
466,Khandwa (East Nimar),"635,732","509,442","126,290",22.3,22.6,21.2
467,Burhanpur,"369,343","242,582","126,761",19.8,27.6,7.3
