district_code,district_name,col_0,col_1
23,MADHYA PRADESH,196,236
418,Sheopur,85,104
419,Morena,319,394
420,Bhind,320,382
421,Gwalior,358,446
422,Datia,229,271
423,Shivpuri,140,171
424,Tikamgarh,238,286
425,Chhatarpur,170,203
426,Panna,120,142
427,Sagar,197,232
428,Damoh,148,173
429,Satna,249,297
430,Rewa,313,375
431,Umaria,127,158
432,Neemuch,171,194
433,Mandsaur,214,242
434,Ratlam,250,299
435,Ujjain,281,326
436,Shajapur,208,244
437,Dewas,186,223
438,Dhar,213,268
439,Indore,633,841
440,Khargone (West Nimar),190,233
441,Barwani,200,255
442,Rajgarh,204,251
443,Vidisha,165,198
444,Bhopal,665,855
445,Sehore,164,199
446,Raisen,133,157
447,Betul,139,157
448,Harda,142,171
449,Hoshangabad,162,185
450,Katni,215,261
451,Jabalpur,413,473
452,Narsimhapur,187,213
453,Dindori,78,94
454,Mandla,154,182
455,Chhindwara,157,177
456,Seoni,133,157
457,Balaghat,162,184
458,Guna,153,194
459,Ashoknagar,147,181
460,Shahdol,146,172
461,Anuppur,178,200
462,Sidhi,188,232
463,Singrauli,162,208
464,Jhabua,218,285
465,Alirajpur,192,229
466,Khandwa (East Nimar),147,178
467,Burhanpur,185,221
