district_code,district_name,col_0,col_1,col_2,col_3
23,MADHYA PRADESH,73.5,26.5,72.4,27.6
418,Sheopur,84.2,15.8,84.4,15.6
419,Morena,78.4,21.6,76.1,23.9
420,Bhind,76.3,23.7,74.6,25.4
421,Gwalior,39.8,60.2,37.3,62.7
422,Datia,79.3,20.7,76.9,23.1
423,Shivpuri,83.0,17.0,82.9,17.1
424,Tikamgarh,82.3,17.7,82.7,17.3
425,Chhatarpur,78.0,22.0,77.4,22.6
426,Panna,87.4,12.6,87.7,12.3
427,Sagar,70.8,29.2,70.2,29.8
428,Damoh,81.1,18.9,80.2,19.8
429,Satna,79.4,20.6,78.7,21.3
430,Rewa,83.8,16.2,83.3,16.7
431,Umaria,83.9,16.1,82.9,17.1
432,Neemuch,72.0,28.0,70.3,29.7
433,Mandsaur,81.4,18.6,79.3,20.7
434,Ratlam,69.7,30.3,70.1,29.9
435,Ujjain,61.3,38.7,60.8,39.2
436,Shajapur,81.5,18.5,80.6,19.4
437,Dewas,72.6,27.4,71.1,28.9
438,Dhar,83.4,16.6,81.1,18.9
439,Indore,29.8,70.2,25.9,74.1
440,Khargone (West Nimar),84.6,15.4,84.0,16.0
441,Barwani,85.5,14.5,85.3,14.7
442,Rajgarh,82.7,17.3,82.1,17.9
443,Vidisha,78.6,21.4,76.7,23.3
444,Bhopal,19.6,80.4,19.1,80.9
445,Sehore,82.0,18.0,81.1,18.9
446,Raisen,81.6,18.4,77.2,22.8
447,Betul,81.4,18.6,80.4,19.6
448,Harda,78.7,21.3,79.1,20.9
449,Hoshangabad,69.2,30.8,68.6,31.4
450,Katni,78.8,21.2,79.6,20.4
451,Jabalpur,42.9,57.1,41.5,58.5
452,Narsimhapur,84.0,16.0,81.4,18.6
453,Dindori,95.4,4.6,95.4,4.6
454,Mandla,89.7,10.3,87.7,12.3
455,Chhindwara,75.5,24.5,75.8,24.2
456,Seoni,89.7,10.3,88.1,11.9
457,Balaghat,87.1,12.9,85.6,14.4
458,Guna,75.6,24.4,74.8,25.2
459,Ashoknagar,83.2,16.8,81.8,18.2
460,Shahdol,77.7,22.3,79.4,20.6
461,Anuppur,70.7,29.3,72.6,27.4
462,Sidhi,92.5,7.5,91.7,8.3
463,Singrauli,79.1,20.9,80.8,19.2
464,Jhabua,90.2,9.8,91.0,9.0
465,Alirajpur,92.7,7.3,92.2,7.8
466,Khandwa (East Nimar),79.9,20.1,80.2,19.8
467,Burhanpur,61.6,38.4,65.7,34.3
