district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"10,809,395","8,325,731","2,483,664",17.9,19.0,14.6,14.9,15.8,12.4
418,Sheopur,"116,639","101,213","15,426",20.1,20.4,18.2,17.0,17.4,14.4
419,Morena,"305,156","239,309","65,847",18.7,19.3,16.6,15.5,16.0,14.0
420,Bhind,"248,230","189,328","58,902",17.8,18.2,16.6,14.6,14.9,13.6
421,Gwalior,"261,418","114,953","146,465",15.6,18.2,13.9,12.9,15.2,11.5
422,Datia,"110,114","86,717","23,397",17.3,17.7,15.7,14.0,14.3,12.9
423,Shivpuri,"285,770","245,774","39,996",19.6,20.3,16.2,16.6,17.2,13.5
424,Tikamgarh,"227,564","193,219","34,345",19.1,19.5,17.3,15.7,16.2,13.7
425,Chhatarpur,"282,794","228,834","53,960",19.6,20.4,16.7,16.0,16.8,13.5
426,Panna,"163,620","147,739","15,881",20.0,20.5,16.4,16.1,16.6,12.7
427,Sagar,"356,903","265,661","91,242",18.3,19.5,15.3,15.0,15.9,12.9
428,Damoh,"191,968","159,999","31,969",18.1,18.8,14.9,15.2,15.8,12.8
429,Satna,"330,661","271,421","59,240",18.5,19.2,15.9,14.8,15.5,12.5
430,Rewa,"351,983","303,761","48,222",19.0,19.7,15.5,14.9,15.4,12.2
431,Umaria,"103,414","89,929","13,485",18.9,19.6,15.5,16.0,16.8,12.2
432,Neemuch,"107,384","78,184","29,200",16.0,16.7,14.4,13.0,13.5,11.9
433,Mandsaur,"177,659","144,814","32,845",16.6,17.2,14.2,13.3,13.6,11.8
434,Ratlam,"218,354","166,351","52,003",17.6,19.2,13.9,15.0,16.3,12.0
435,Ujjain,"271,306","179,161","92,145",16.3,17.9,13.7,13.7,14.8,11.8
436,Shajapur,"217,759","178,681","39,078",18.2,18.6,16.3,14.4,14.7,13.3
437,Dewas,"229,339","171,150","58,189",17.7,18.5,15.4,14.7,15.4,12.9
438,Dhar,"359,949","300,042","59,907",19.5,20.0,16.5,16.5,16.9,14.5
439,Indore,"421,380","124,904","296,476",15.0,17.6,13.9,12.9,14.7,12.2
440,Khargone (West Nimar),"299,990","261,527","38,463",19.0,19.7,15.3,16.0,16.6,12.9
441,Barwani,"265,299","237,316","27,983",22.0,23.0,16.1,19.1,20.1,13.7
442,Rajgarh,"231,987","193,193","38,794",18.5,18.9,16.7,15.0,15.2,14.0
443,Vidisha,"235,391","188,854","46,537",19.0,19.9,16.0,16.1,16.9,13.7
444,Bhopal,"304,713","73,163","231,550",15.7,20.2,14.6,12.9,16.1,12.1
445,Sehore,"197,429","165,220","32,209",19.0,19.8,15.7,15.1,15.5,13.0
446,Raisen,"207,699","164,550","43,149",18.9,19.4,16.6,15.6,16.0,14.2
447,Betul,"211,433","178,470","32,963",16.8,17.8,12.5,13.4,14.1,10.7
448,Harda,"84,191","69,504","14,687",18.3,19.4,14.6,14.8,15.4,12.3
449,Hoshangabad,"164,602","120,738","43,864",16.2,17.7,13.0,13.3,14.2,11.2
450,Katni,"193,395","162,016","31,379",17.9,19.0,13.9,15.0,15.8,11.9
451,Jabalpur,"296,565","141,756","154,809",14.3,16.8,12.3,12.0,13.9,10.8
452,Narsimhapur,"142,250","119,361","22,889",16.1,16.5,13.6,13.0,13.4,11.2
453,Dindori,"111,820","107,702","4,118",16.8,16.9,13.7,15.9,16.0,12.7
454,Mandla,"150,263","136,223","14,040",16.1,16.6,12.4,14.2,14.7,10.8
455,Chhindwara,"272,289","217,696","54,593",16.1,17.2,12.7,13.0,13.7,10.8
456,Seoni,"180,784","162,978","17,806",16.9,17.3,13.0,13.1,13.4,10.9
457,Balaghat,"212,931","186,683","26,248",15.4,15.8,13.0,12.5,12.8,10.7
458,Guna,"207,177","162,565","44,612",19.6,20.5,16.8,16.7,17.5,14.3
459,Ashoknagar,"138,787","116,890","21,897",19.6,20.2,17.0,16.4,16.9,14.2
460,Shahdol,"159,806","134,299","25,507",17.4,18.5,13.8,15.0,15.9,11.6
461,Anuppur,"106,071","82,311","23,760",16.4,17.2,14.6,14.2,15.1,11.6
462,Sidhi,"194,528","181,480","13,048",19.9,20.2,15.7,17.3,17.6,14.0
463,Singrauli,"209,792","178,988","30,804",21.3,22.4,17.3,17.8,18.8,13.6
464,Jhabua,"211,869","198,754","13,115",22.7,23.5,15.4,20.7,21.3,14.3
465,Alirajpur,"147,961","139,536","8,425",23.2,23.8,16.2,20.3,20.8,14.8
466,Khandwa (East Nimar),"208,140","174,888","33,252",18.1,19.1,14.2,15.9,16.6,12.8
467,Burhanpur,"122,869","87,926","34,943",18.0,19.9,15.0,16.2,17.7,13.4
