district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"5,636,172","4,329,993","1,306,179",17.7,18.9,14.6,15.0,15.9,12.5
418,Sheopur,"61,490","53,362","8,128",19.7,20.0,18.1,17.0,17.5,14.4
419,Morena,"166,858","130,850","36,008",18.6,19.1,16.7,15.6,16.1,14.2
420,Bhind,"134,705","102,840","31,865",17.8,18.2,16.7,14.5,14.8,13.7
421,Gwalior,"142,098","62,354","79,744",15.6,17.9,14.0,13.0,15.2,11.7
422,Datia,"59,335","46,768","12,567",17.2,17.5,15.7,14.1,14.4,13.1
423,Shivpuri,"150,950","129,712","21,238",19.1,19.7,16.0,16.4,17.0,13.6
424,Tikamgarh,"120,303","102,120","18,183",18.8,19.1,17.1,15.8,16.2,13.9
425,Chhatarpur,"148,861","120,252","28,609",19.1,19.9,16.5,15.9,16.6,13.6
426,Panna,"85,494","77,201","8,293",19.7,20.1,16.5,16.0,16.5,12.6
427,Sagar,"185,400","138,138","47,262",17.8,19.0,15.0,14.8,15.6,12.7
428,Damoh,"99,544","82,799","16,745",17.8,18.5,14.7,15.0,15.6,12.7
429,Satna,"173,093","141,919","31,174",18.4,19.2,15.6,15.0,15.6,12.5
430,Rewa,"186,697","160,943","25,754",19.1,19.9,15.3,15.2,15.8,12.4
431,Umaria,"53,237","46,241","6,996",18.8,19.5,15.3,16.1,16.9,12.1
432,Neemuch,"55,724","40,468","15,256",16.2,16.9,14.4,13.2,13.7,12.0
433,Mandsaur,"92,188","75,122","17,066",16.7,17.3,14.1,13.5,13.9,12.0
434,Ratlam,"112,637","85,789","26,848",17.6,19.2,14.0,15.3,16.6,12.1
435,Ujjain,"140,597","92,643","47,954",16.3,17.9,13.8,13.8,15.0,12.0
436,Shajapur,"113,404","93,056","20,348",18.1,18.5,16.2,14.5,14.8,13.5
437,Dewas,"119,566","89,011","30,555",17.7,18.5,15.6,14.8,15.6,13.1
438,Dhar,"186,684","155,148","31,536",19.6,20.3,16.2,16.8,17.3,14.5
439,Indore,"221,612","65,330","156,282",15.0,17.7,13.9,13.0,15.0,12.4
440,Khargone (West Nimar),"154,758","134,532","20,226",18.9,19.6,15.4,16.2,16.8,13.2
441,Barwani,"136,212","121,431","14,781",22.0,23.0,16.1,19.5,20.4,14.2
442,Rajgarh,"120,815","100,462","20,353",18.5,18.8,16.7,15.3,15.5,14.4
443,Vidisha,"122,200","97,964","24,236",18.4,19.1,15.7,15.9,16.5,13.6
444,Bhopal,"158,721","37,990","120,731",15.4,19.8,14.4,12.8,16.0,12.1
445,Sehore,"103,240","86,369","16,871",18.8,19.6,15.5,15.1,15.6,13.1
446,Raisen,"107,499","85,017","22,482",18.3,18.8,16.1,15.3,15.7,14.0
447,Betul,"108,034","91,050","16,984",16.8,17.8,12.4,13.5,14.2,10.7
448,Harda,"43,667","36,012","7,655",18.3,19.3,14.4,14.8,15.4,12.4
449,Hoshangabad,"85,781","62,809","22,972",16.0,17.4,12.9,13.2,14.1,11.3
450,Katni,"99,761","83,220","16,541",17.8,18.9,13.9,15.1,15.8,12.1
451,Jabalpur,"154,210","73,183","81,027",14.1,16.7,12.2,12.1,13.9,10.8
452,Narsimhapur,"74,445","62,300","12,145",16.0,16.4,13.7,13.1,13.5,11.4
453,Dindori,"56,767","54,706","2,061",16.8,17.0,13.6,16.1,16.3,12.5
454,Mandla,"76,288","68,942","7,346",16.3,16.7,12.7,14.5,15.0,11.1
455,Chhindwara,"139,220","111,228","27,992",16.1,17.2,12.7,13.1,13.8,10.8
456,Seoni,"92,567","83,218","9,349",16.9,17.3,13.3,13.3,13.6,11.2
457,Balaghat,"108,278","94,690","13,588",15.8,16.3,13.2,12.9,13.2,11.1
458,Guna,"108,473","84,946","23,527",19.2,20.0,16.7,16.7,17.5,14.4
459,Ashoknagar,"72,239","60,811","11,428",19.1,19.5,16.9,16.3,16.7,14.2
460,Shahdol,"81,943","68,686","13,257",17.3,18.4,13.6,15.2,16.1,11.7
461,Anuppur,"54,388","42,018","12,370",16.3,17.2,14.3,14.3,15.4,11.6
462,Sidhi,"101,633","94,723","6,910",19.8,20.2,15.1,17.6,18.0,14.2
463,Singrauli,"109,094","92,875","16,219",21.0,22.2,16.6,17.8,18.8,13.5
464,Jhabua,"109,040","102,214","6,826",22.8,23.7,15.4,21.2,21.9,14.4
465,Alirajpur,"74,818","70,536","4,282",23.4,24.0,16.0,20.6,21.1,14.8
466,Khandwa (East Nimar),"107,730","90,364","17,366",18.0,18.9,14.2,16.0,16.7,13.0
467,Burhanpur,"63,874","45,631","18,243",18.1,20.0,15.1,16.4,17.9,13.7
