district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"5,173,223","3,995,738","1,177,485",18.0,19.2,14.7,14.8,15.7,12.3
418,Sheopur,"55,149","47,851","7,298",20.5,20.9,18.2,16.9,17.4,14.3
419,Morena,"138,298","108,459","29,839",18.9,19.6,16.5,15.4,15.9,13.7
420,Bhind,"113,525","86,488","27,037",17.9,18.3,16.4,14.6,15.0,13.5
421,Gwalior,"119,320","52,599","66,721",15.7,18.6,13.8,12.7,15.1,11.3
422,Datia,"50,779","39,949","10,830",17.5,18.0,15.7,13.9,14.2,12.6
423,Shivpuri,"134,820","116,062","18,758",20.2,21.0,16.5,16.7,17.4,13.5
424,Tikamgarh,"107,261","91,099","16,162",19.4,19.8,17.6,15.7,16.1,13.6
425,Chhatarpur,"133,933","108,582","25,351",20.2,21.1,17.0,16.2,17.0,13.5
426,Panna,"78,126","70,538","7,588",20.3,20.9,16.3,16.2,16.6,12.8
427,Sagar,"171,503","127,523","43,980",18.8,20.1,15.6,15.3,16.2,13.1
428,Damoh,"92,424","77,200","15,224",18.4,19.2,15.1,15.3,16.0,12.8
429,Satna,"157,568","129,502","28,066",18.6,19.1,16.2,14.7,15.3,12.5
430,Rewa,"165,286","142,818","22,468",18.8,19.4,15.8,14.5,15.0,11.9
431,Umaria,"50,177","43,688","6,489",19.1,19.7,15.7,16.0,16.7,12.3
432,Neemuch,"51,660","37,716","13,944",15.9,16.4,14.4,12.8,13.2,11.9
433,Mandsaur,"85,471","69,692","15,779",16.5,17.0,14.2,13.0,13.4,11.6
434,Ratlam,"105,717","80,562","25,155",17.6,19.2,13.8,14.7,16.0,11.8
435,Ujjain,"130,709","86,518","44,191",16.3,17.9,13.6,13.5,14.6,11.7
436,Shajapur,"104,355","85,625","18,730",18.3,18.7,16.3,14.3,14.5,13.2
437,Dewas,"109,773","82,139","27,634",17.7,18.6,15.3,14.5,15.2,12.7
438,Dhar,"173,265","144,894","28,371",19.3,19.8,16.7,16.1,16.5,14.5
439,Indore,"199,768","59,574","140,194",15.0,17.6,13.8,12.7,14.5,12.0
440,Khargone (West Nimar),"145,232","126,995","18,237",19.2,19.9,15.2,15.8,16.4,12.6
441,Barwani,"129,087","115,885","13,202",22.0,22.9,16.0,18.8,19.7,13.3
442,Rajgarh,"111,172","92,731","18,441",18.6,19.0,16.7,14.7,14.9,13.7
443,Vidisha,"113,191","90,890","22,301",19.8,20.7,16.4,16.4,17.2,13.8
444,Bhopal,"145,992","35,173","110,819",15.9,20.5,14.8,12.9,16.3,12.1
445,Sehore,"94,189","78,851","15,338",19.2,19.9,15.9,15.0,15.5,12.9
446,Raisen,"100,200","79,533","20,667",19.5,20.0,17.2,15.9,16.3,14.4
447,Betul,"103,399","87,420","15,979",16.9,17.8,12.5,13.3,14.0,10.6
448,Harda,"40,524","33,492","7,032",18.4,19.4,14.8,14.7,15.4,12.2
449,Hoshangabad,"78,821","57,929","20,892",16.5,18.0,13.1,13.3,14.3,11.2
450,Katni,"93,634","78,796","14,838",18.0,19.1,13.9,14.9,15.7,11.7
451,Jabalpur,"142,355","68,573","73,782",14.4,17.0,12.5,12.0,13.8,10.7
452,Narsimhapur,"67,805","57,061","10,744",16.1,16.6,13.4,13.0,13.4,11.0
453,Dindori,"55,053","52,996","2,057",16.8,16.9,13.8,15.6,15.7,13.0
454,Mandla,"73,975","67,281","6,694",16.0,16.5,12.1,14.0,14.5,10.4
455,Chhindwara,"133,069","106,468","26,601",16.2,17.3,12.8,13.0,13.7,10.8
456,Seoni,"88,217","79,760","8,457",16.8,17.3,12.7,12.9,13.2,10.5
457,Balaghat,"104,653","91,993","12,660",15.0,15.3,12.8,12.2,12.5,10.3
458,Guna,"98,704","77,619","21,085",20.0,21.0,17.0,16.7,17.5,14.1
459,Ashoknagar,"66,548","56,079","10,469",20.2,20.9,17.2,16.6,17.1,14.3
460,Shahdol,"77,863","65,613","12,250",17.6,18.6,13.9,14.8,15.6,11.5
461,Anuppur,"51,683","40,293","11,390",16.6,17.2,14.9,14.0,14.8,11.6
462,Sidhi,"92,895","86,757","6,138",20.0,20.3,16.4,16.9,17.1,13.8
463,Singrauli,"100,698","86,113","14,585",21.7,22.7,18.0,17.8,18.8,13.7
464,Jhabua,"102,829","96,540","6,289",22.5,23.3,15.3,20.2,20.7,14.2
465,Alirajpur,"73,143","69,000","4,143",23.1,23.6,16.4,20.0,20.4,14.7
466,Khandwa (East Nimar),"100,410","84,524","15,886",18.2,19.2,14.3,15.8,16.6,12.6
467,Burhanpur,"58,995","42,295","16,700",17.9,19.9,14.8,16.0,17.4,13.2
