district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"11,342,320","8,268,002","3,074,318",23.9,19.6,37.2
418,Sheopur,"108,391","91,800","16,591",19.9,18.9,25.4
419,Morena,"421,519","321,530","99,989",25.6,20.9,43.5
420,Bhind,"374,799","284,499","90,300",22.2,17.4,39.9
421,Gwalior,"393,068","161,091","231,977",27.3,12.9,39.8
422,Datia,"200,270","164,777","35,493",21.1,17.3,42.2
423,Shivpuri,"321,515","273,869","47,646",22.6,21.5,29.3
424,Tikamgarh,"361,604","308,062","53,542",23.8,24.2,21.0
425,Chhatarpur,"405,313","334,176","71,137",18.2,16.9,24.6
426,Panna,"207,990","184,883","23,107",21.4,20.6,28.4
427,Sagar,"501,630","349,843","151,787",20.8,18.5,26.2
428,Damoh,"246,337","195,673","50,664",16.6,14.2,27.1
429,Satna,"398,569","320,757","77,812",31.0,26.8,51.8
430,Rewa,"383,508","334,878","48,630",24.8,24.1,30.0
431,Umaria,"58,147","45,117","13,030",65.5,65.8,64.7
432,Neemuch,"111,162","79,193","31,969",22.0,19.0,30.4
433,Mandsaur,"249,024","218,175","30,849",17.3,14.6,41.2
434,Ratlam,"198,612","151,828","46,784",21.8,21.4,23.4
435,Ujjain,"523,869","375,705","148,164",23.9,19.4,36.9
436,Shajapur,"353,914","312,523","41,391",24.8,21.8,53.5
437,Dewas,"292,007","214,408","77,599",22.2,16.3,42.3
438,Dhar,"145,436","109,481","35,955",28.7,21.7,56.0
439,Indore,"545,239","164,465","380,774",40.4,16.4,54.0
440,Khargone (West Nimar),"209,091","177,708","31,383",20.5,18.0,36.4
441,Barwani,"87,991","64,344","23,647",26.9,23.3,37.8
442,Rajgarh,"295,718","249,329","46,389",35.2,30.1,71.8
443,Vidisha,"292,144","237,791","54,353",21.2,17.4,41.0
444,Bhopal,"357,516","95,945","261,571",38.5,29.5,42.1
445,Sehore,"271,281","231,398","39,883",22.7,19.9,42.4
446,Raisen,"225,891","183,615","42,276",22.6,15.7,65.9
447,Betul,"159,296","107,791","51,505",7.9,4.3,16.4
448,Harda,"92,865","73,519","19,346",21.9,19.4,32.1
449,Hoshangabad,"205,007","138,650","66,357",20.0,16.6,27.9
450,Katni,"155,717","121,924","33,793",27.5,26.4,31.3
451,Jabalpur,"348,029","138,878","209,151",27.0,19.7,32.4
452,Narsimhapur,"184,155","153,789","30,366",19.2,16.0,37.9
453,Dindori,"39,782","37,813","1,969",17.5,17.0,28.4
454,Mandla,"48,425","36,205","12,220",17.2,10.0,45.5
455,Chhindwara,"232,244","158,112","74,132",8.4,7.2,11.2
456,Seoni,"130,797","112,436","18,361",8.4,5.1,34.7
457,Balaghat,"125,426","99,608","25,818",8.1,3.0,33.6
458,Guna,"193,115","142,818","50,297",25.8,22.3,37.1
459,Ashoknagar,"175,764","149,988","25,776",25.5,22.6,46.0
460,Shahdol,"89,733","69,764","19,969",32.9,34.4,28.0
461,Anuppur,"74,385","49,977","24,408",53.8,71.3,27.1
462,Sidhi,"130,202","120,372","9,830",28.8,28.0,39.1
463,Singrauli,"150,664","120,460","30,204",30.0,32.2,21.6
464,Jhabua,"17,427","11,397","6,030",27.0,27.4,26.3
465,Alirajpur,"26,877","23,503","3,374",5.1,3.0,22.1
466,Khandwa (East Nimar),"156,601","122,463","34,138",17.4,14.4,29.7
467,Burhanpur,"64,254","41,672","22,582",14.1,17.1,9.0
