district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"5,908,638","4,311,490","1,597,148","5,433,682","3,956,512","1,477,170"
418,Sheopur,"57,838","49,091","8,747","50,553","42,709","7,844"
419,Morena,"228,548","174,854","53,694","192,971","146,676","46,295"
420,Bhind,"204,212","155,669","48,543","170,587","128,830","41,757"
421,Gwalior,"210,354","86,564","123,790","182,714","74,527","108,187"
422,Datia,"107,132","88,263","18,869","93,138","76,514","16,624"
423,Shivpuri,"171,565","146,477","25,088","149,950","127,392","22,558"
424,Tikamgarh,"190,666","162,474","28,192","170,938","145,588","25,350"
425,Chhatarpur,"215,258","177,720","37,538","190,055","156,456","33,599"
426,Panna,"109,421","97,285","12,136","98,569","87,598","10,971"
427,Sagar,"266,306","186,321","79,985","235,324","163,522","71,802"
428,Damoh,"129,877","103,224","26,653","116,460","92,449","24,011"
429,Satna,"205,987","165,704","40,283","192,582","155,053","37,529"
430,Rewa,"198,144","172,785","25,359","185,364","162,093","23,271"
431,Umaria,"29,902","23,089","6,813","28,245","22,028","6,217"
432,Neemuch,"56,400","39,997","16,403","54,762","39,196","15,566"
433,Mandsaur,"126,822","111,292","15,530","122,202","106,883","15,319"
434,Ratlam,"100,629","76,926","23,703","97,983","74,902","23,081"
435,Ujjain,"267,235","191,518","75,717","256,634","184,187","72,447"
436,Shajapur,"182,961","161,692","21,269","170,953","150,831","20,122"
437,Dewas,"150,260","110,249","40,011","141,747","104,159","37,588"
438,Dhar,"74,291","55,518","18,773","71,145","53,963","17,182"
439,Indore,"280,184","83,900","196,284","265,055","80,565","184,490"
440,Khargone (West Nimar),"107,013","90,912","16,101","102,078","86,796","15,282"
441,Barwani,"44,478","32,479","11,999","43,513","31,865","11,648"
442,Rajgarh,"151,260","127,721","23,539","144,458","121,608","22,850"
443,Vidisha,"154,504","126,119","28,385","137,640","111,672","25,968"
444,Bhopal,"185,902","50,342","135,560","171,614","45,603","126,011"
445,Sehore,"141,366","120,906","20,460","129,915","110,492","19,423"
446,Raisen,"119,226","96,859","22,367","106,665","86,756","19,909"
447,Betul,"81,621","55,268","26,353","77,675","52,523","25,152"
448,Harda,"48,553","38,545","10,008","44,312","34,974","9,338"
449,Hoshangabad,"107,237","72,832","34,405","97,770","65,818","31,952"
450,Katni,"79,369","62,077","17,292","76,348","59,847","16,501"
451,Jabalpur,"179,858","71,893","107,965","168,171","66,985","101,186"
452,Narsimhapur,"96,079","80,330","15,749","88,076","73,459","14,617"
453,Dindori,"20,366","19,384",982,"19,416","18,429",987
454,Mandla,"24,652","18,450","6,202","23,773","17,755","6,018"
455,Chhindwara,"118,465","80,981","37,484","113,779","77,131","36,648"
456,Seoni,"66,830","57,463","9,367","63,967","54,973","8,994"
457,Balaghat,"61,576","48,756","12,820","63,850","50,852","12,998"
458,Guna,"100,646","74,562","26,084","92,469","68,256","24,213"
459,Ashoknagar,"92,216","78,784","13,432","83,548","71,204","12,344"
460,Shahdol,"45,547","35,351","10,196","44,186","34,413","9,773"
461,Anuppur,"37,841","25,180","12,661","36,544","24,797","11,747"
462,Sidhi,"66,174","61,138","5,036","64,028","59,234","4,794"
463,Singrauli,"77,882","62,171","15,711","72,782","58,289","14,493"
464,Jhabua,"8,770","5,724","3,046","8,657","5,673","2,984"
465,Alirajpur,"13,481","11,776","1,705","13,396","11,727","1,669"
466,Khandwa (East Nimar),"80,697","63,348","17,349","75,904","59,115","16,789"
467,Burhanpur,"33,037","21,527","11,510","31,217","20,145","11,072"
