district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,15.2,15.6,14.0,15.6,15.7,15.3
418,Sheopur,16.2,16.4,14.9,15.8,15.8,15.5
419,Morena,21.1,21.3,20.3,21.4,21.5,21.3
420,Bhind,21.5,22.2,19.0,22.0,22.4,20.9
421,Gwalior,18.9,22.0,16.9,19.3,21.2,18.2
422,Datia,24.9,26.7,18.1,25.5,27.2,19.5
423,Shivpuri,18.6,19.3,15.4,18.6,19.1,16.1
424,Tikamgarh,24.3,25.0,20.8,25.0,25.8,21.4
425,Chhatarpur,23.3,24.9,17.6,23.0,24.5,17.8
426,Panna,20.0,20.5,16.6,20.5,20.7,18.4
427,Sagar,20.5,20.6,20.3,21.1,21.0,21.4
428,Damoh,19.5,19.5,19.5,19.5,19.3,20.2
429,Satna,16.3,17.0,13.3,17.9,18.3,16.4
430,Rewa,15.6,16.3,11.7,16.2,17.0,12.3
431,Umaria,6.8,6.3,9.5,9.0,8.4,11.8
432,Neemuch,12.5,12.7,12.1,13.5,13.6,13.0
433,Mandsaur,17.9,19.8,9.9,18.6,20.5,11.1
434,Ratlam,13.4,14.8,10.3,13.6,14.9,10.8
435,Ujjain,24.7,30.0,16.3,26.4,31.1,19.0
436,Shajapur,22.0,24.4,11.3,23.4,25.6,14.1
437,Dewas,18.3,19.4,15.2,18.7,19.3,17.2
438,Dhar,6.5,6.2,8.0,6.7,6.2,8.7
439,Indore,15.8,19.2,14.3,16.6,19.4,15.7
440,Khargone (West Nimar),11.4,11.7,9.8,11.2,11.3,10.5
441,Barwani,6.4,5.6,10.9,6.3,5.4,11.6
442,Rajgarh,17.4,18.5,12.4,19.1,19.6,16.8
443,Vidisha,19.8,21.2,14.8,20.0,21.2,16.0
444,Bhopal,14.0,20.5,12.4,15.1,21.1,13.6
445,Sehore,20.5,21.8,14.5,20.7,21.8,16.1
446,Raisen,16.4,17.3,12.3,17.0,17.9,13.9
447,Betul,10.6,9.1,17.1,10.1,8.5,16.7
448,Harda,16.1,16.5,14.5,16.3,16.3,16.2
449,Hoshangabad,15.8,15.9,15.5,16.5,16.3,17.0
450,Katni,11.5,11.5,11.4,12.1,11.9,12.8
451,Jabalpur,12.7,12.6,12.9,14.1,13.6,14.5
452,Narsimhapur,16.1,16.5,14.4,16.9,17.3,14.9
453,Dindori,5.8,5.8,5.7,5.6,5.6,6.1
454,Mandla,4.6,4.1,9.1,4.6,3.9,9.4
455,Chhindwara,11.6,10.6,14.7,11.1,10.0,14.7
456,Seoni,10.3,10.2,11.3,9.5,9.3,11.2
457,Balaghat,7.7,7.4,10.0,7.4,6.8,10.5
458,Guna,15.7,15.8,15.4,15.6,15.4,16.1
459,Ashoknagar,20.3,21.4,15.2,20.8,21.7,16.8
460,Shahdol,7.4,7.4,7.7,8.4,8.2,9.1
461,Anuppur,7.3,6.2,9.8,9.9,9.2,11.9
462,Sidhi,11.1,11.2,10.3,11.6,11.6,10.6
463,Singrauli,12.6,12.5,12.9,12.8,12.7,13.3
464,Jhabua,1.7,1.3,6.2,1.7,1.2,6.6
465,Alirajpur,4.2,4.0,6.2,3.7,3.5,5.9
466,Khandwa (East Nimar),12.4,12.4,12.2,12.0,11.7,13.2
467,Burhanpur,8.9,9.1,8.5,8.5,8.4,8.7
