district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,"15,316,784","14,276,874","1,039,910",25.2,24.7,32.1
418,Sheopur,"161,448","157,227","4,221",34.0,36.1,-14.2
419,Morena,"17,030","14,362","2,668",31.3,23.8,93.8
420,Bhind,"6,131","1,425","4,706",-8.8,-33.4,2.8
421,Gwalior,"72,133","54,777","17,356",26.7,31.0,14.8
422,Datia,"15,061","10,889","4,172",37.9,18.0,146.4
423,Shivpuri,"227,802","219,140","8,662",42.0,42.5,30.4
424,Tikamgarh,"67,857","61,540","6,317",30.6,31.3,24.4
425,Chhatarpur,"73,597","68,928","4,669",42.6,42.0,53.7
426,Panna,"170,879","164,136","6,743",29.7,29.1,44.2
427,Sagar,"221,936","208,315","13,621",13.0,11.8,33.4
428,Damoh,"166,295","160,453","5,842",22.1,21.7,34.8
429,Satna,"319,975","298,980","20,995",19.3,20.4,6.0
430,Rewa,"311,985","286,278","25,707",22.8,22.2,29.6
431,Umaria,"300,687","274,774","25,913",32.3,31.6,40.2
432,Neemuch,"71,441","62,901","8,540",15.6,15.6,15.7
433,Mandsaur,"33,092","28,643","4,449",-11.8,-16.7,42.1
434,Ratlam,"409,865","387,743","22,122",30.2,28.8,61.5
435,Ujjain,"48,730","33,656","15,074",-8.5,-14.7,9.5
436,Shajapur,"37,836","34,226","3,610",7.2,9.1,-8.1
437,Dewas,"272,701","247,061","25,640",26.7,27.2,22.1
438,Dhar,"1,222,814","1,142,263","80,551",28.9,27.2,59.8
439,Indore,"217,679","134,702","82,977",32.8,21.4,56.7
440,Khargone (West Nimar),"730,169","700,953","29,216",34.7,34.2,47.2
441,Barwani,"962,145","925,650","36,495",32.6,31.8,58.3
442,Rajgarh,"53,751","48,668","5,083",13.5,22.3,-33.0
443,Vidisha,"67,603","63,134","4,469",14.0,12.7,35.4
444,Bhopal,"69,429","19,124","50,305",14.6,17.2,13.7
445,Sehore,"145,512","137,928","7,584",25.3,26.7,4.0
446,Raisen,"205,006","190,082","14,924",15.7,13.8,48.1
447,Betul,"667,018","638,348","28,670",21.3,20.2,51.6
448,Harda,"159,678","153,583","6,095",26.4,26.2,32.4
449,Hoshangabad,"197,300","175,876","21,424",20.3,19.3,29.3
450,Katni,"317,699","296,037","21,662",29.4,30.1,20.7
451,Jabalpur,"375,231","294,787","80,444",16.2,14.6,22.5
452,Narsimhapur,"145,879","135,056","10,823",15.6,14.1,39.0
453,Dindori,"455,789","448,420","7,369",21.7,21.6,27.1
454,Mandla,"610,528","590,435","20,093",19.3,17.8,91.9
455,Chhindwara,"769,778","713,572","56,206",20.0,20.1,18.4
456,Seoni,"519,856","505,730","14,126",21.1,20.5,51.9
457,Balaghat,"383,026","346,461","36,565",17.3,16.3,27.7
458,Guna,"190,819","181,678","9,141",33.2,33.3,29.5
459,Ashoknagar,"82,072","77,631","4,441",35.8,34.8,55.9
460,Shahdol,"476,008","447,402","28,606",21.7,22.1,16.9
461,Anuppur,"358,543","317,627","40,916",15.8,16.1,13.6
462,Sidhi,"313,304","302,717","10,587",25.0,24.3,50.4
463,Singrauli,"383,994","361,302","22,692",29.4,30.3,16.0
464,Jhabua,"891,818","861,498","30,320",33.3,33.3,31.4
465,Alirajpur,"648,638","627,835","20,803",19.7,19.0,44.4
466,Khandwa (East Nimar),"459,122","440,789","18,333",34.9,34.1,56.3
467,Burhanpur,"230,095","222,132","7,963",36.8,37.1,28.1
