district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,975,979,912,984,986,956
418,Sheopur,945,949,842,954,955,889
419,Morena,894,908,784,903,909,875
420,Bhind,877,893,870,867,880,864
421,Gwalior,912,920,889,913,930,862
422,Datia,909,925,824,914,906,933
423,Shivpuri,946,947,921,945,944,963
424,Tikamgarh,947,945,964,943,945,929
425,Chhatarpur,919,922,873,933,935,899
426,Panna,943,945,892,949,949,926
427,Sagar,942,945,895,934,935,916
428,Damoh,950,950,943,961,962,939
429,Satna,949,950,932,961,962,943
430,Rewa,924,927,891,929,931,912
431,Umaria,972,972,968,978,978,981
432,Neemuch,933,934,928,945,953,888
433,Mandsaur,945,943,965,944,942,958
434,Ratlam,975,980,855,987,990,937
435,Ujjain,920,933,883,955,953,960
436,Shajapur,918,923,879,949,945,988
437,Dewas,955,958,923,959,960,956
438,Dhar,981,984,925,990,991,971
439,Indore,918,945,863,932,946,909
440,Khargone (West Nimar),976,978,926,990,991,990
441,Barwani,982,986,885,995,997,950
442,Rajgarh,928,933,904,956,960,918
443,Vidisha,916,921,841,932,933,922
444,Bhopal,901,925,892,930,929,931
445,Sehore,943,949,870,956,961,865
446,Raisen,932,937,864,941,944,906
447,Betul,994,997,903,"1,002","1,002","1,013"
448,Harda,943,945,886,961,958,"1,038"
449,Hoshangabad,932,938,881,953,952,956
450,Katni,981,983,953,988,988,989
451,Jabalpur,958,976,892,976,985,944
452,Narsimhapur,955,957,925,968,969,950
453,Dindori,"1,011","1,010","1,055","1,019","1,020",981
454,Mandla,"1,028","1,030",946,"1,036","1,036","1,029"
455,Chhindwara,989,992,952,995,995,"1,003"
456,Seoni,"1,016","1,018",959,"1,014","1,013","1,053"
457,Balaghat,"1,050","1,053","1,019","1,048","1,047","1,058"
458,Guna,924,924,938,943,944,915
459,Ashoknagar,927,930,863,934,934,925
460,Shahdol,988,991,942,"1,009","1,008","1,023"
461,Anuppur,999,"1,005",959,"1,015","1,018",985
462,Sidhi,951,955,824,968,971,883
463,Singrauli,949,955,877,958,960,928
464,Jhabua,987,990,900,998,"1,001",926
465,Alirajpur,"1,001","1,004",916,"1,015","1,017",975
466,Khandwa (East Nimar),953,956,876,955,955,939
467,Burhanpur,971,972,950,976,977,951
